#    L    TT             EE             BB             TE          
     2    0.17482E+04    0.45501E-01    0.15943E-05    0.51510E+01
     3    0.15201E+04    0.74008E-01    0.31954E-05    0.55503E+01
     4    0.13424E+04    0.85512E-01    0.53403E-05    0.50882E+01
     5    0.12145E+04    0.78893E-01    0.80368E-05    0.43643E+01
     6    0.11212E+04    0.61096E-01    0.11293E-04    0.36135E+01
     7    0.10521E+04    0.40874E-01    0.15117E-04    0.29234E+01
     8    0.10003E+04    0.24459E-01    0.19513E-04    0.23287E+01
     9    0.96167E+03    0.14187E-01    0.24486E-04    0.18429E+01
    10    0.93294E+03    0.93116E-02    0.30034E-04    0.14702E+01
    11    0.91204E+03    0.76749E-02    0.36151E-04    0.12062E+01
    12    0.89712E+03    0.72259E-02    0.42829E-04    0.10400E+01
    13    0.88717E+03    0.67836E-02    0.50057E-04    0.95634E+00
    14    0.88094E+03    0.60568E-02    0.57824E-04    0.93620E+00
    15    0.87796E+03    0.52655E-02    0.66121E-04    0.96029E+00
    16    0.87759E+03    0.47126E-02    0.74945E-04    0.10109E+01
    17    0.87935E+03    0.45358E-02    0.84297E-04    0.10735E+01
    18    0.88246E+03    0.46764E-02    0.94187E-04    0.11362E+01
    19    0.88821E+03    0.49876E-02    0.10463E-03    0.11951E+01
    20    0.89484E+03    0.53391E-02    0.11565E-03    0.12445E+01
    21    0.90259E+03    0.56938E-02    0.12725E-03    0.12854E+01
    22    0.91138E+03    0.60947E-02    0.13946E-03    0.13198E+01
    23    0.92099E+03    0.66189E-02    0.15229E-03    0.13504E+01
    24    0.93143E+03    0.73299E-02    0.16573E-03    0.13809E+01
    25    0.94251E+03    0.82538E-02    0.17978E-03    0.14126E+01
    26    0.95423E+03    0.93843E-02    0.19442E-03    0.14479E+01
    27    0.96648E+03    0.10698E-01    0.20964E-03    0.14863E+01
    28    0.97923E+03    0.12175E-01    0.22541E-03    0.15282E+01
    29    0.99247E+03    0.13802E-01    0.24173E-03    0.15712E+01
    30    0.10061E+04    0.15577E-01    0.25858E-03    0.16135E+01
    31    0.10201E+04    0.17500E-01    0.27598E-03    0.16524E+01
    32    0.10345E+04    0.19571E-01    0.29393E-03    0.16859E+01
    33    0.10493E+04    0.21787E-01    0.31246E-03    0.17120E+01
    34    0.10644E+04    0.24145E-01    0.33159E-03    0.17291E+01
    35    0.10798E+04    0.26650E-01    0.35134E-03    0.17367E+01
    36    0.10955E+04    0.29310E-01    0.37174E-03    0.17344E+01
    37    0.11115E+04    0.32139E-01    0.39277E-03    0.17227E+01
    38    0.11277E+04    0.35155E-01    0.41443E-03    0.17021E+01
    39    0.11443E+04    0.38364E-01    0.43672E-03    0.16731E+01
    40    0.11609E+04    0.41777E-01    0.45960E-03    0.16363E+01
    41    0.11779E+04    0.45405E-01    0.48305E-03    0.15922E+01
    42    0.11951E+04    0.49250E-01    0.50705E-03    0.15410E+01
    43    0.12126E+04    0.53313E-01    0.53160E-03    0.14826E+01
    44    0.12301E+04    0.57587E-01    0.55668E-03    0.14163E+01
    45    0.12479E+04    0.62078E-01    0.58232E-03    0.13416E+01
    46    0.12660E+04    0.66797E-01    0.60853E-03    0.12579E+01
    47    0.12842E+04    0.71732E-01    0.63535E-03    0.11646E+01
    48    0.13027E+04    0.76887E-01    0.66279E-03    0.10611E+01
    49    0.13213E+04    0.82259E-01    0.69089E-03    0.94679E+00
    50    0.13402E+04    0.87869E-01    0.71963E-03    0.82143E+00
    51    0.13591E+04    0.93710E-01    0.74902E-03    0.68486E+00
    52    0.13784E+04    0.99764E-01    0.77904E-03    0.53722E+00
    53    0.13979E+04    0.10607E+00    0.80966E-03    0.37855E+00
    54    0.14174E+04    0.11260E+00    0.84086E-03    0.20894E+00
    55    0.14372E+04    0.11937E+00    0.87260E-03    0.28505E-01
    56    0.14572E+04    0.12639E+00    0.90487E-03   -0.16251E+00
    57    0.14773E+04    0.13365E+00    0.93768E-03   -0.36395E+00
    58    0.14977E+04    0.14115E+00    0.97103E-03   -0.57628E+00
    59    0.15183E+04    0.14891E+00    0.10049E-02   -0.79964E+00
    60    0.15390E+04    0.15688E+00    0.10395E-02   -0.10326E+01
    61    0.15603E+04    0.16507E+00    0.10746E-02   -0.12738E+01
    62    0.15814E+04    0.17348E+00    0.11104E-02   -0.15247E+01
    63    0.16026E+04    0.18211E+00    0.11469E-02   -0.17871E+01
    64    0.16242E+04    0.19101E+00    0.11840E-02   -0.20632E+01
    65    0.16458E+04    0.20019E+00    0.12217E-02   -0.23543E+01
    66    0.16676E+04    0.20961E+00    0.12600E-02   -0.26594E+01
    67    0.16895E+04    0.21927E+00    0.12989E-02   -0.29765E+01
    68    0.17118E+04    0.22917E+00    0.13384E-02   -0.33042E+01
    69    0.17342E+04    0.23926E+00    0.13783E-02   -0.36397E+01
    70    0.17570E+04    0.24956E+00    0.14188E-02   -0.39834E+01
    71    0.17799E+04    0.26003E+00    0.14598E-02   -0.43367E+01
    72    0.18030E+04    0.27068E+00    0.15014E-02   -0.47009E+01
    73    0.18263E+04    0.28148E+00    0.15436E-02   -0.50766E+01
    74    0.18498E+04    0.29245E+00    0.15864E-02   -0.54633E+01
    75    0.18734E+04    0.30362E+00    0.16299E-02   -0.58596E+01
    76    0.18973E+04    0.31501E+00    0.16740E-02   -0.62660E+01
    77    0.19213E+04    0.32662E+00    0.17188E-02   -0.66825E+01
    78    0.19456E+04    0.33846E+00    0.17643E-02   -0.71105E+01
    79    0.19701E+04    0.35047E+00    0.18103E-02   -0.75460E+01
    80    0.19948E+04    0.36265E+00    0.18569E-02   -0.79905E+01
    81    0.20197E+04    0.37494E+00    0.19040E-02   -0.84445E+01
    82    0.20449E+04    0.38738E+00    0.19517E-02   -0.89079E+01
    83    0.20702E+04    0.39994E+00    0.19999E-02   -0.93806E+01
    84    0.20957E+04    0.41263E+00    0.20486E-02   -0.98610E+01
