#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.17482E+04    0.45499E-01    0.00000E+00    0.51510E+01    0.59840E-07    0.33919E-02   -0.16510E-04
     3    0.15201E+04    0.74004E-01    0.00000E+00    0.55503E+01    0.74075E-07    0.29218E-02   -0.19589E-04
     4    0.13424E+04    0.85507E-01    0.00000E+00    0.50882E+01    0.86292E-07    0.25133E-02   -0.19792E-04
     5    0.12145E+04    0.78885E-01    0.00000E+00    0.43643E+01    0.96882E-07    0.21577E-02   -0.17897E-04
     6    0.11212E+04    0.61085E-01    0.00000E+00    0.36135E+01    0.10610E-06    0.18461E-02   -0.14599E-04
     7    0.10520E+04    0.40859E-01    0.00000E+00    0.29234E+01    0.11419E-06    0.15716E-02   -0.10587E-04
     8    0.10002E+04    0.24440E-01    0.00000E+00    0.23287E+01    0.12131E-06    0.13288E-02   -0.64788E-05
     9    0.96162E+03    0.14162E-01    0.00000E+00    0.18429E+01    0.12762E-06    0.11136E-02   -0.27887E-05
    10    0.93288E+03    0.92818E-02    0.00000E+00    0.14702E+01    0.13320E-06    0.92307E-03    0.11476E-06
    11    0.91197E+03    0.76391E-02    0.00000E+00    0.12063E+01    0.13817E-06    0.75474E-03    0.20387E-05
    12    0.89703E+03    0.71835E-02    0.00000E+00    0.10401E+01    0.14255E-06    0.60629E-03    0.29554E-05
    13    0.88706E+03    0.67340E-02    0.00000E+00    0.95639E+00    0.14647E-06    0.47555E-03    0.29781E-05
    14    0.88083E+03    0.59994E-02    0.00000E+00    0.93624E+00    0.14992E-06    0.36034E-03    0.23157E-05
    15    0.87782E+03    0.51999E-02    0.00000E+00    0.96033E+00    0.15300E-06    0.25853E-03    0.12255E-05
    16    0.87744E+03    0.46380E-02    0.00000E+00    0.10110E+01    0.15572E-06    0.16856E-03   -0.33126E-07
    17    0.87918E+03    0.44518E-02    0.00000E+00    0.10736E+01    0.15810E-06    0.89033E-04   -0.12329E-05
    18    0.88227E+03    0.45824E-02    0.00000E+00    0.11363E+01    0.16020E-06    0.18265E-04   -0.22043E-05
    19    0.88800E+03    0.48830E-02    0.00000E+00    0.11952E+01    0.16204E-06   -0.45004E-04   -0.28471E-05
    20    0.89461E+03    0.52233E-02    0.00000E+00    0.12447E+01    0.16363E-06   -0.10118E-03   -0.31306E-05
    21    0.90234E+03    0.55663E-02    0.00000E+00    0.12856E+01    0.16500E-06   -0.15142E-03   -0.30855E-05
