#           k/h    P           
    0.10000E-03    0.13693E+03
    0.10202E-03    0.14001E+03
    0.10408E-03    0.14317E+03
    0.10618E-03    0.14640E+03
    0.10833E-03    0.14972E+03
    0.11052E-03    0.15313E+03
    0.11275E-03    0.15662E+03
    0.11503E-03    0.16020E+03
    0.11735E-03    0.16387E+03
    0.11972E-03    0.16764E+03
    0.12214E-03    0.17150E+03
    0.12461E-03    0.17546E+03
    0.12712E-03    0.17952E+03
    0.12969E-03    0.18368E+03
    0.13231E-03    0.18795E+03
    0.13499E-03    0.19233E+03
    0.13771E-03    0.19681E+03
    0.14049E-03    0.20141E+03
    0.14333E-03    0.20612E+03
    0.14623E-03    0.21095E+03
    0.14918E-03    0.21590E+03
    0.15220E-03    0.22097E+03
    0.15527E-03    0.22617E+03
    0.15841E-03    0.23149E+03
    0.16161E-03    0.23694E+03
    0.16487E-03    0.24252E+03
    0.16820E-03    0.24823E+03
    0.17160E-03    0.25408E+03
    0.17507E-03    0.26007E+03
    0.17860E-03    0.26619E+03
    0.18221E-03    0.27245E+03
    0.18589E-03    0.27886E+03
    0.18965E-03    0.28541E+03
    0.19348E-03    0.29210E+03
    0.19739E-03    0.29895E+03
    0.20138E-03    0.30594E+03
    0.20544E-03    0.31308E+03
    0.20959E-03    0.32038E+03
    0.21383E-03    0.32783E+03
    0.21815E-03    0.33544E+03
    0.22255E-03    0.34321E+03
    0.22705E-03    0.35114E+03
    0.23164E-03    0.35922E+03
    0.23632E-03    0.36748E+03
    0.24109E-03    0.37589E+03
    0.24596E-03    0.38448E+03
    0.25093E-03    0.39323E+03
    0.25600E-03    0.40216E+03
    0.26117E-03    0.41125E+03
    0.26645E-03    0.42053E+03
    0.27183E-03    0.42998E+03
    0.27732E-03    0.43961E+03
    0.28292E-03    0.44943E+03
    0.28864E-03    0.45943E+03
    0.29447E-03    0.46962E+03
    0.30042E-03    0.48000E+03
    0.30649E-03    0.49058E+03
    0.31268E-03    0.50135E+03
    0.31899E-03    0.51232E+03
    0.32544E-03    0.52350E+03
    0.33201E-03    0.53489E+03
    0.33872E-03    0.54649E+03
    0.34556E-03    0.55830E+03
    0.35254E-03    0.57033E+03
    0.35966E-03    0.58258E+03
    0.36693E-03    0.59506E+03
    0.37434E-03    0.60776E+03
    0.38190E-03    0.62071E+03
    0.38962E-03    0.63389E+03
    0.39749E-03    0.64731E+03
    0.40552E-03    0.66098E+03
    0.41371E-03    0.67490E+03
    0.42207E-03    0.68908E+03
    0.43060E-03    0.70352E+03
    0.43929E-03    0.71822E+03
    0.44817E-03    0.73320E+03
    0.45722E-03    0.74845E+03
    0.46646E-03    0.76398E+03
    0.47588E-03    0.77979E+03
