#    L    TT             EE             TE             PP             TP          
     2    0.17482E+04    0.45499E-01    0.51510E+01    0.12413E+07    0.31617E+05
     3    0.15201E+04    0.74004E-01    0.55503E+01    0.19448E+07    0.32499E+05
     4    0.13424E+04    0.85507E-01    0.50882E+01    0.25776E+07    0.30797E+05
     5    0.12145E+04    0.78885E-01    0.43643E+01    0.31402E+07    0.28108E+05
     6    0.11212E+04    0.61085E-01    0.36135E+01    0.36383E+07    0.25087E+05
     7    0.10520E+04    0.40859E-01    0.29234E+01    0.40804E+07    0.22029E+05
     8    0.10002E+04    0.24440E-01    0.23287E+01    0.44737E+07    0.19070E+05
     9    0.96162E+03    0.14162E-01    0.18429E+01    0.48247E+07    0.16283E+05
    10    0.93288E+03    0.92818E-02    0.14702E+01    0.51379E+07    0.13702E+05
    11    0.91197E+03    0.76391E-02    0.12063E+01    0.54189E+07    0.11343E+05
    12    0.89703E+03    0.71835E-02    0.10401E+01    0.56692E+07    0.92079E+04
    13    0.88706E+03    0.67340E-02    0.95639E+00    0.58946E+07    0.72869E+04
    14    0.88083E+03    0.59994E-02    0.93624E+00    0.60954E+07    0.55641E+04
    15    0.87782E+03    0.51999E-02    0.96033E+00    0.62762E+07    0.40188E+04
    16    0.87744E+03    0.46380E-02    0.10110E+01    0.64381E+07    0.26356E+04
    17    0.87918E+03    0.44518E-02    0.10736E+01    0.65818E+07    0.13994E+04
    18    0.88227E+03    0.45824E-02    0.11363E+01    0.67108E+07    0.28842E+03
    19    0.88800E+03    0.48830E-02    0.11952E+01    0.68257E+07   -0.71362E+03
    20    0.89461E+03    0.52233E-02    0.12447E+01    0.69272E+07   -0.16104E+04
    21    0.90234E+03    0.55663E-02    0.12856E+01    0.70170E+07   -0.24183E+04
    22    0.91111E+03    0.59549E-02    0.13200E+01    0.70964E+07   -0.31454E+04
    23    0.92069E+03    0.64663E-02    0.13507E+01    0.71658E+07   -0.37934E+04
    24    0.93110E+03    0.71639E-02    0.13812E+01    0.72261E+07   -0.43732E+04
    25    0.94216E+03    0.80738E-02    0.14129E+01    0.72780E+07   -0.48812E+04
    26    0.95386E+03    0.91898E-02    0.14482E+01    0.73226E+07   -0.53298E+04
    27    0.96608E+03    0.10489E-01    0.14867E+01    0.73600E+07   -0.57169E+04
    28    0.97881E+03    0.11950E-01    0.15287E+01    0.73911E+07   -0.60526E+04
    29    0.99202E+03    0.13560E-01    0.15717E+01    0.74159E+07   -0.63356E+04
    30    0.10056E+04    0.15318E-01    0.16140E+01    0.74355E+07   -0.65741E+04
    31    0.10196E+04    0.17224E-01    0.16530E+01    0.74499E+07   -0.67720E+04
    32    0.10340E+04    0.19277E-01    0.16865E+01    0.74598E+07   -0.69348E+04
    33    0.10487E+04    0.21474E-01    0.17127E+01    0.74652E+07   -0.70657E+04
    34    0.10638E+04    0.23814E-01    0.17299E+01    0.74668E+07   -0.71670E+04
    35    0.10792E+04    0.26298E-01    0.17377E+01    0.74646E+07   -0.72436E+04
    36    0.10948E+04    0.28938E-01    0.17355E+01    0.74591E+07   -0.72978E+04
    37    0.11108E+04    0.31746E-01    0.17239E+01    0.74504E+07   -0.73323E+04
    38    0.11270E+04    0.34741E-01    0.17033E+01    0.74389E+07   -0.73471E+04
    39    0.11435E+04    0.37929E-01    0.16744E+01    0.74247E+07   -0.73436E+04
    40    0.11602E+04    0.41319E-01    0.16378E+01    0.74080E+07   -0.73241E+04
    41    0.11771E+04    0.44924E-01    0.15937E+01    0.73891E+07   -0.72904E+04
    42    0.11942E+04    0.48745E-01    0.15426E+01    0.73680E+07   -0.72426E+04
    43    0.12117E+04    0.52785E-01    0.14843E+01    0.73451E+07   -0.71812E+04
    44    0.12292E+04    0.57034E-01    0.14182E+01    0.73204E+07   -0.71081E+04
    45    0.12470E+04    0.61500E-01    0.13437E+01    0.72940E+07   -0.70253E+04
    46    0.12650E+04    0.66193E-01    0.12601E+01    0.72661E+07   -0.69337E+04
    47    0.12832E+04    0.71101E-01    0.11670E+01    0.72369E+07   -0.68340E+04
    48    0.13016E+04    0.76231E-01    0.10635E+01    0.72064E+07   -0.67275E+04
    49    0.13202E+04    0.81575E-01    0.94943E+00    0.71747E+07   -0.66157E+04
    50    0.13390E+04    0.87157E-01    0.82420E+00    0.71420E+07   -0.64997E+04
    51    0.13579E+04    0.92971E-01    0.68776E+00    0.71083E+07   -0.63804E+04
    52    0.13772E+04    0.98996E-01    0.54024E+00    0.70737E+07   -0.62578E+04
    53    0.13967E+04    0.10527E+00    0.38167E+00    0.70384E+07   -0.61320E+04
    54    0.14162E+04    0.11177E+00    0.21218E+00    0.70023E+07   -0.60041E+04
    55    0.14358E+04    0.11852E+00    0.31849E-01    0.69655E+07   -0.58749E+04
    56    0.14558E+04    0.12551E+00   -0.15904E+00    0.69282E+07   -0.57442E+04
