#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.227330E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223869E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168020E+08  -0.422491E+00   0.138223E+08   0.138223E+08   0.198962E+01
   0.231917E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223869E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168020E+08  -0.422493E+00   0.138223E+08   0.138223E+08   0.202977E+01
   0.236598E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168021E+08  -0.422496E+00   0.138224E+08   0.138224E+08   0.207074E+01
   0.241372E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168021E+08  -0.422498E+00   0.138224E+08   0.138224E+08   0.211253E+01
   0.246244E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168021E+08  -0.422501E+00   0.138225E+08   0.138225E+08   0.215516E+01
   0.251213E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168021E+08  -0.422504E+00   0.138225E+08   0.138225E+08   0.219865E+01
   0.256283E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168021E+08  -0.422506E+00   0.138226E+08   0.138226E+08   0.224302E+01
   0.261455E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168022E+08  -0.422509E+00   0.138226E+08   0.138226E+08   0.228829E+01
   0.266731E-05   0.167907E+08   0.167907E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168022E+08  -0.422512E+00   0.138227E+08   0.138227E+08   0.233446E+01
   0.272114E-05   0.167907E+08   0.167907E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168022E+08  -0.422515E+00   0.138227E+08   0.138227E+08   0.238157E+01
   0.277605E-05   0.167907E+08   0.167907E+08   0.223871E+08   0.223870E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168022E+08  -0.422519E+00   0.138228E+08   0.138228E+08   0.242964E+01
   0.283208E-05   0.167907E+08   0.167907E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168023E+08  -0.422522E+00   0.138229E+08   0.138229E+08   0.247867E+01
   0.288923E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168023E+08  -0.422526E+00   0.138229E+08   0.138229E+08   0.252869E+01
   0.294754E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168023E+08  -0.422529E+00   0.138230E+08   0.138230E+08   0.257972E+01
   0.300702E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168024E+08  -0.422533E+00   0.138231E+08   0.138231E+08   0.263178E+01
   0.306770E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168024E+08  -0.422537E+00   0.138231E+08   0.138231E+08   0.268489E+01
   0.312961E-05   0.167909E+08   0.167909E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167909E+08   0.167909E+08   0.168024E+08  -0.422542E+00   0.138232E+08   0.138232E+08   0.273907E+01
   0.319277E-05   0.167909E+08   0.167909E+08   0.223872E+08   0.223871E+08   0.000000E+00   0.167909E+08   0.167909E+08   0.168025E+08  -0.422546E+00   0.138233E+08   0.138233E+08   0.279435E+01
   0.325720E-05   0.167909E+08   0.167909E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167909E+08   0.167909E+08   0.168025E+08  -0.422550E+00   0.138234E+08   0.138234E+08   0.285074E+01
   0.332294E-05   0.167910E+08   0.167910E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167910E+08   0.167910E+08   0.168025E+08  -0.422555E+00   0.138235E+08   0.138235E+08   0.290827E+01
   0.338999E-05   0.167910E+08   0.167910E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167910E+08   0.167910E+08   0.168026E+08  -0.422560E+00   0.138235E+08   0.138235E+08   0.296696E+01
   0.345841E-05   0.167911E+08   0.167911E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167911E+08   0.167911E+08   0.168026E+08  -0.422565E+00   0.138236E+08   0.138236E+08   0.302683E+01
   0.352820E-05   0.167911E+08   0.167911E+08   0.223873E+08   0.223872E+08   0.000000E+00   0.167911E+08   0.167911E+08   0.168026E+08  -0.422571E+00   0.138237E+08   0.138237E+08   0.308791E+01
   0.359940E-05   0.167911E+08   0.167911E+08   0.223873E+08   0.223872E+08   0.000000E+00   0.167911E+08   0.167911E+08   0.168027E+08  -0.422576E+00   0.138238E+08   0.138238E+08   0.315023E+01
   0.367204E-05   0.167912E+08   0.167912E+08   0.223873E+08   0.223873E+08   0.000000E+00   0.167912E+08   0.167912E+08   0.168027E+08  -0.422582E+00   0.138239E+08   0.138239E+08   0.321380E+01
   0.374615E-05   0.167912E+08   0.167912E+08   0.223873E+08   0.223873E+08   0.000000E+00   0.167912E+08   0.167912E+08   0.168028E+08  -0.422588E+00   0.138240E+08   0.138240E+08   0.327866E+01
   0.382175E-05   0.167913E+08   0.167913E+08   0.223873E+08   0.223873E+08   0.000000E+00   0.167913E+08   0.167913E+08   0.168028E+08  -0.422594E+00   0.138241E+08   0.138241E+08   0.334482E+01
