#           k/h    P           
    0.10000E-03    0.11235E+03
    0.10202E-03    0.11451E+03
    0.10408E-03    0.11672E+03
    0.10618E-03    0.11896E+03
    0.10833E-03    0.12125E+03
    0.11052E-03    0.12359E+03
    0.11275E-03    0.12597E+03
    0.11503E-03    0.12839E+03
    0.11735E-03    0.13086E+03
    0.11972E-03    0.13338E+03
    0.12214E-03    0.13595E+03
    0.12461E-03    0.13856E+03
    0.12712E-03    0.14123E+03
    0.12969E-03    0.14395E+03
    0.13231E-03    0.14672E+03
    0.13499E-03    0.14954E+03
    0.13771E-03    0.15242E+03
    0.14049E-03    0.15535E+03
    0.14333E-03    0.15834E+03
    0.14623E-03    0.16138E+03
    0.14918E-03    0.16449E+03
    0.15220E-03    0.16765E+03
    0.15527E-03    0.17088E+03
    0.15841E-03    0.17416E+03
    0.16161E-03    0.17751E+03
    0.16487E-03    0.18093E+03
    0.16820E-03    0.18441E+03
    0.17160E-03    0.18795E+03
    0.17507E-03    0.19157E+03
    0.17860E-03    0.19525E+03
    0.18221E-03    0.19901E+03
    0.18589E-03    0.20283E+03
    0.18965E-03    0.20673E+03
    0.19348E-03    0.21071E+03
    0.19739E-03    0.21476E+03
    0.20138E-03    0.21889E+03
    0.20544E-03    0.22309E+03
    0.20959E-03    0.22738E+03
    0.21383E-03    0.23175E+03
    0.21815E-03    0.23621E+03
    0.22255E-03    0.24074E+03
    0.22705E-03    0.24537E+03
    0.23164E-03    0.25008E+03
    0.23632E-03    0.25489E+03
    0.24109E-03    0.25979E+03
    0.24596E-03    0.26478E+03
    0.25093E-03    0.26986E+03
    0.25600E-03    0.27504E+03
    0.26117E-03    0.28032E+03
    0.26645E-03    0.28571E+03
    0.27183E-03    0.29119E+03
    0.27732E-03    0.29678E+03
    0.28292E-03    0.30248E+03
    0.28864E-03    0.30828E+03
    0.29447E-03    0.31420E+03
    0.30042E-03    0.32022E+03
    0.30649E-03    0.32637E+03
    0.31268E-03    0.33263E+03
    0.31899E-03    0.33901E+03
    0.32544E-03    0.34551E+03
    0.33201E-03    0.35213E+03
    0.33872E-03    0.35888E+03
    0.34556E-03    0.36576E+03
    0.35254E-03    0.37276E+03
    0.35966E-03    0.37990E+03
    0.36693E-03    0.38718E+03
    0.37434E-03    0.39459E+03
    0.38190E-03    0.40215E+03
    0.38962E-03    0.40985E+03
    0.39749E-03    0.41769E+03
    0.40552E-03    0.42568E+03
    0.41371E-03    0.43382E+03
    0.42207E-03    0.44211E+03
    0.43060E-03    0.45057E+03
    0.43929E-03    0.45918E+03
    0.44817E-03    0.46795E+03
    0.45722E-03    0.47689E+03
    0.46646E-03    0.48599E+03
    0.47588E-03    0.49527E+03
    0.48550E-03    0.50472E+03
    0.49530E-03    0.51434E+03
    0.50531E-03    0.52415E+03
    0.51552E-03    0.53414E+03
    0.52593E-03    0.54432E+03
    0.53656E-03    0.55468E+03
    0.54739E-03    0.56524E+03
    0.55845E-03    0.57600E+03
    0.56973E-03    0.58695E+03
    0.58124E-03    0.59811E+03
    0.59299E-03    0.60948E+03
    0.60496E-03    0.62105E+03
    0.61719E-03    0.63284E+03
    0.62965E-03    0.64485E+03
    0.64237E-03    0.65708E+03
    0.65535E-03    0.66953E+03
    0.66859E-03    0.68221E+03
    0.68210E-03    0.69513E+03
    0.69588E-03    0.70828E+03
    0.70993E-03    0.72167E+03
    0.72427E-03    0.73530E+03
    0.73891E-03    0.74919E+03
    0.75383E-03    0.76332E+03
    0.76906E-03    0.77772E+03
    0.78460E-03    0.79237E+03
    0.80045E-03    0.80729E+03
    0.81662E-03    0.82247E+03
    0.83311E-03    0.83793E+03
    0.84994E-03    0.85367E+03
    0.86711E-03    0.86969E+03
    0.88463E-03    0.88600E+03
    0.90250E-03    0.90259E+03
    0.92073E-03    0.91948E+03
    0.93933E-03    0.93667E+03
    0.95831E-03    0.95417E+03
    0.97767E-03    0.97197E+03
    0.99742E-03    0.99009E+03
    0.10176E-02    0.10085E+04
    0.10381E-02    0.10273E+04
    0.10591E-02    0.10464E+04
    0.10805E-02    0.10658E+04
    0.11023E-02    0.10855E+04
    0.11246E-02    0.11056E+04
    0.11473E-02    0.11261E+04
    0.11705E-02    0.11469E+04
    0.11941E-02    0.11680E+04
    0.12182E-02    0.11895E+04
    0.12429E-02    0.12114E+04
    0.12680E-02    0.12337E+04
    0.12936E-02    0.12563E+04
    0.13197E-02    0.12793E+04
    0.13464E-02    0.13027E+04
    0.13736E-02    0.13265E+04
    0.14013E-02    0.13506E+04
    0.14296E-02    0.13752E+04
    0.14585E-02    0.14002E+04
    0.14880E-02    0.14256E+04
    0.15180E-02    0.14514E+04
    0.15487E-02    0.14776E+04
    0.15800E-02    0.15043E+04
    0.16119E-02    0.15313E+04
    0.16445E-02    0.15589E+04
    0.16777E-02    0.15868E+04
    0.17116E-02    0.16152E+04
    0.17462E-02    0.16440E+04
    0.17814E-02    0.16733E+04
    0.18174E-02    0.17031E+04
    0.18541E-02    0.17333E+04
    0.18916E-02    0.17639E+04
    0.19298E-02    0.17951E+04
    0.19688E-02    0.18267E+04
    0.20086E-02    0.18588E+04
    0.20491E-02    0.18913E+04
    0.20905E-02    0.19244E+04
    0.21328E-02    0.19579E+04
    0.21758E-02    0.19919E+04
    0.22198E-02    0.20264E+04
    0.22646E-02    0.20614E+04
    0.23104E-02    0.20969E+04
    0.23571E-02    0.21329E+04
    0.24047E-02    0.21694E+04
    0.24533E-02    0.22064E+04
    0.25028E-02    0.22439E+04
    0.25534E-02    0.22819E+04
    0.26050E-02    0.23204E+04
    0.26576E-02    0.23595E+04
    0.27113E-02    0.23990E+04
    0.27660E-02    0.24390E+04
    0.28219E-02    0.24796E+04
    0.28789E-02    0.25207E+04
    0.29371E-02    0.25623E+04
    0.29964E-02    0.26044E+04
    0.30569E-02    0.26470E+04
    0.31187E-02    0.26901E+04
    0.31817E-02    0.27337E+04
    0.32460E-02    0.27778E+04
    0.33115E-02    0.28224E+04
    0.33784E-02    0.28676E+04
    0.34467E-02    0.29132E+04
    0.35163E-02    0.29593E+04
    0.35874E-02    0.30059E+04
    0.36598E-02    0.30529E+04
    0.37338E-02    0.31005E+04
    0.38092E-02    0.31485E+04
    0.38861E-02    0.31970E+04
    0.39646E-02    0.32459E+04
    0.40447E-02    0.32953E+04
    0.41264E-02    0.33451E+04
    0.42098E-02    0.33954E+04
    0.42948E-02    0.34460E+04
    0.43816E-02    0.34971E+04
    0.44701E-02    0.35486E+04
    0.45604E-02    0.36005E+04
    0.46525E-02    0.36528E+04
    0.47465E-02    0.37054E+04
    0.48424E-02    0.37584E+04
    0.49402E-02    0.38117E+04
    0.50400E-02    0.38653E+04
