#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.22420E+04    0.69970E+01   -0.51151E-02    0.69970E+01    0.55714E-01   -0.87463E-05   -0.51151E-02   -0.87463E-05    0.20167E-07
     3    0.19895E+04    0.68510E+01   -0.35689E-02    0.68510E+01    0.90287E-01   -0.70415E-05   -0.35689E-02   -0.70415E-05    0.11668E-07
     4    0.17634E+04    0.61093E+01   -0.26222E-02    0.61093E+01    0.10452E+00   -0.54455E-05   -0.26222E-02   -0.54455E-05    0.77380E-08
     5    0.15811E+04    0.52115E+01   -0.20024E-02    0.52115E+01    0.96789E-01   -0.40116E-05   -0.20024E-02   -0.40116E-05    0.55501E-08
     6    0.14390E+04    0.43203E+01   -0.15754E-02    0.43203E+01    0.75318E-01   -0.27756E-05   -0.15754E-02   -0.27756E-05    0.41891E-08
     7    0.13297E+04    0.35041E+01   -0.12697E-02    0.35041E+01    0.50649E-01   -0.17618E-05   -0.12697E-02   -0.17618E-05    0.32795E-08
     8    0.12461E+04    0.27961E+01   -0.10435E-02    0.27961E+01    0.30402E-01   -0.97472E-06   -0.10435E-02   -0.97472E-06    0.26389E-08
     9    0.11825E+04    0.22125E+01   -0.87169E-03    0.22125E+01    0.17551E-01   -0.40510E-06   -0.87169E-03   -0.40510E-06    0.21697E-08
    10    0.11341E+04    0.17599E+01   -0.73796E-03    0.17599E+01    0.11326E-01   -0.31538E-07   -0.73796E-03   -0.31538E-07    0.18148E-08
    11    0.10977E+04    0.14349E+01   -0.63194E-03    0.14349E+01    0.91732E-02    0.17740E-06   -0.63194E-03    0.17740E-06    0.15399E-08
    12    0.10703E+04    0.12258E+01   -0.54618E-03    0.12258E+01    0.85889E-02    0.25823E-06   -0.54618E-03    0.25823E-06    0.13220E-08
    13    0.10505E+04    0.11156E+01   -0.47607E-03    0.11156E+01    0.80771E-02    0.24870E-06   -0.47607E-03    0.24870E-06    0.11467E-08
    14    0.10362E+04    0.10823E+01   -0.41784E-03    0.10823E+01    0.72198E-02    0.18389E-06   -0.41784E-03    0.18389E-06    0.10032E-08
    15    0.10267E+04    0.11032E+01   -0.36912E-03    0.11032E+01    0.62494E-02    0.93559E-07   -0.36912E-03    0.93559E-07    0.88456E-09
    16    0.10210E+04    0.11574E+01   -0.32791E-03    0.11574E+01    0.55332E-02    0.57053E-09   -0.32791E-03    0.57053E-09    0.78518E-09
    17    0.10184E+04    0.12272E+01   -0.29270E-03    0.12272E+01    0.52581E-02   -0.79372E-07   -0.29270E-03   -0.79372E-07    0.70100E-09
    18    0.10179E+04    0.12982E+01   -0.26252E-03    0.12982E+01    0.53722E-02   -0.13742E-06   -0.26252E-03   -0.13742E-06    0.62926E-09
    19    0.10208E+04    0.13652E+01   -0.23645E-03    0.13652E+01    0.57036E-02   -0.17057E-06   -0.23645E-03   -0.17057E-06    0.56759E-09
    20    0.10250E+04    0.14212E+01   -0.21376E-03    0.14212E+01    0.60870E-02   -0.18033E-06   -0.21376E-03   -0.18033E-06    0.51413E-09
    21    0.10309E+04    0.14669E+01   -0.19394E-03    0.14669E+01    0.64641E-02   -0.17124E-06   -0.19394E-03   -0.17124E-06    0.46754E-09
    22    0.10381E+04    0.15046E+01   -0.17654E-03    0.15046E+01    0.68760E-02   -0.14935E-06   -0.17654E-03   -0.14935E-06    0.42673E-09
    23    0.10465E+04    0.15371E+01   -0.16118E-03    0.15371E+01    0.74132E-02   -0.12095E-06   -0.16118E-03   -0.12095E-06    0.39076E-09
    24    0.10560E+04    0.15688E+01   -0.14756E-03    0.15688E+01    0.81565E-02   -0.91736E-07   -0.14756E-03   -0.91736E-07    0.35891E-09
    25    0.10664E+04    0.16015E+01   -0.13542E-03    0.16015E+01    0.91445E-02   -0.66080E-07   -0.13542E-03   -0.66080E-07    0.33058E-09
    26    0.10776E+04    0.16383E+01   -0.12457E-03    0.16383E+01    0.10374E-01   -0.46686E-07   -0.12457E-03   -0.46686E-07    0.30529E-09
    27    0.10896E+04    0.16788E+01   -0.11483E-03    0.16788E+01    0.11820E-01   -0.34633E-07   -0.11483E-03   -0.34633E-07    0.28261E-09
    28    0.11022E+04    0.17237E+01   -0.10606E-03    0.17237E+01    0.13453E-01   -0.29691E-07   -0.10606E-03   -0.29691E-07    0.26221E-09
    29    0.11154E+04    0.17703E+01   -0.98120E-04    0.17703E+01    0.15258E-01   -0.30642E-07   -0.98120E-04   -0.30642E-07    0.24378E-09
    30    0.11292E+04    0.18168E+01   -0.90935E-04    0.18168E+01    0.17228E-01   -0.35657E-07   -0.90935E-04   -0.35657E-07    0.22711E-09
    31    0.11434E+04    0.18601E+01   -0.84407E-04    0.18601E+01    0.19363E-01   -0.42655E-07   -0.84407E-04   -0.42655E-07    0.21197E-09
    32    0.11582E+04    0.18976E+01   -0.78470E-04    0.18976E+01    0.21663E-01   -0.49762E-07   -0.78470E-04   -0.49762E-07    0.19818E-09
    33    0.11734E+04    0.19272E+01   -0.73052E-04    0.19272E+01    0.24123E-01   -0.55560E-07   -0.73052E-04   -0.55560E-07    0.18560E-09
    34    0.11890E+04    0.19467E+01   -0.68102E-04    0.19467E+01    0.26740E-01   -0.59166E-07   -0.68102E-04   -0.59166E-07    0.17409E-09
    35    0.12050E+04    0.19557E+01   -0.63572E-04    0.19557E+01    0.29516E-01   -0.60181E-07   -0.63572E-04   -0.60181E-07    0.16353E-09
    36    0.12214E+04    0.19532E+01   -0.59419E-04    0.19532E+01    0.32459E-01   -0.58690E-07   -0.59419E-04   -0.58690E-07    0.15382E-09
    37    0.12381E+04    0.19399E+01   -0.55605E-04    0.19399E+01    0.35585E-01   -0.55210E-07   -0.55605E-04   -0.55210E-07    0.14489E-09
    38    0.12552E+04    0.19164E+01   -0.52094E-04    0.19164E+01    0.38913E-01   -0.50542E-07   -0.52094E-04   -0.50542E-07    0.13664E-09
    39    0.12726E+04    0.18832E+01   -0.48855E-04    0.18832E+01    0.42453E-01   -0.45393E-07   -0.48855E-04   -0.45393E-07    0.12902E-09
    40    0.12902E+04    0.18412E+01   -0.45866E-04    0.18412E+01    0.46218E-01   -0.40425E-07   -0.45866E-04   -0.40425E-07    0.12197E-09
    41    0.13082E+04    0.17909E+01   -0.43100E-04    0.17909E+01    0.50220E-01   -0.36232E-07   -0.43100E-04   -0.36232E-07    0.11543E-09
    42    0.13264E+04    0.17327E+01   -0.40536E-04    0.17327E+01    0.54463E-01   -0.33131E-07   -0.40536E-04   -0.33131E-07    0.10935E-09
    43    0.13449E+04    0.16666E+01   -0.38155E-04    0.16666E+01    0.58947E-01   -0.31291E-07   -0.38155E-04   -0.31291E-07    0.10369E-09
    44    0.13636E+04    0.15920E+01   -0.35942E-04    0.15920E+01    0.63665E-01   -0.30557E-07   -0.35942E-04   -0.30557E-07    0.98425E-10
    45    0.13825E+04    0.15083E+01   -0.33883E-04    0.15083E+01    0.68623E-01   -0.30680E-07   -0.33883E-04   -0.30680E-07    0.93510E-10
    46    0.14018E+04    0.14148E+01   -0.31965E-04    0.14148E+01    0.73831E-01   -0.31353E-07   -0.31965E-04   -0.31353E-07    0.88918E-10
    47    0.14213E+04    0.13110E+01   -0.30176E-04    0.13110E+01    0.79276E-01   -0.32257E-07   -0.30176E-04   -0.32257E-07    0.84624E-10
