#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.227538E-05   0.980186E+07   0.980186E+07   0.130691E+08   0.130691E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.256902E+01
   0.232130E-05   0.980186E+07   0.980186E+07   0.130691E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.262086E+01
   0.236814E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.267374E+01
   0.241592E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.272769E+01
   0.246467E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.278273E+01
   0.251440E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.283888E+01
   0.256514E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.289617E+01
   0.261690E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.295461E+01
   0.266970E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.301423E+01
   0.272357E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.307505E+01
   0.277853E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.313709E+01
   0.283460E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.320039E+01
   0.289179E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.326497E+01
   0.295015E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.333085E+01
   0.300967E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.339806E+01
   0.307040E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.346663E+01
   0.313236E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.353658E+01
   0.319556E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130690E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.360794E+01
   0.326005E-05   0.980186E+07   0.980186E+07   0.130690E+08   0.130689E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.368074E+01
   0.332583E-05   0.980186E+07   0.980186E+07   0.130689E+08   0.130689E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.375501E+01
   0.339294E-05   0.980186E+07   0.980186E+07   0.130689E+08   0.130689E+08   0.000000E+00   0.980186E+07   0.980186E+07   0.981530E+07  -0.603962E+00   0.979920E+07   0.979920E+07   0.383078E+01
