#    L    TT             EE             BB             TE             PP             TP             EP          
     2   1.55604E+003   6.11332E-002   0.00000E+000   5.24378E+000   1.43271E-007  -9.84293E-003  -2.09203E-005
     3   1.39830E+003   1.00415E-001   0.00000E+000   5.73838E+000   1.72606E-007  -9.57010E-003  -2.48288E-005
     4   1.29470E+003   1.10651E-001   0.00000E+000   5.52071E+000   1.97645E-007  -9.35669E-003  -2.46769E-005
     5   1.22149E+003   9.48118E-002   0.00000E+000   4.90739E+000   2.19209E-007  -9.16905E-003  -2.15721E-005
     6   1.16891E+003   6.70253E-002   0.00000E+000   4.11925E+000   2.37841E-007  -8.99241E-003  -1.66801E-005
     7   1.13156E+003   4.07880E-002   0.00000E+000   3.30849E+000   2.54089E-007  -8.82367E-003  -1.11694E-005
     8   1.10548E+003   2.30315E-002   0.00000E+000   2.57583E+000   2.68345E-007  -8.66105E-003  -6.02958E-006
     9   1.08819E+003   1.41033E-002   0.00000E+000   1.98340E+000   2.80931E-007  -8.50346E-003  -1.97691E-006
    10   1.07723E+003   1.08629E-002   0.00000E+000   1.56310E+000   2.92042E-007  -8.34780E-003   5.99512E-007
    11   1.07133E+003   9.87354E-003   0.00000E+000   1.31731E+000   3.01945E-007  -8.19571E-003   1.63558E-006
    12   1.06904E+003   9.14828E-003   0.00000E+000   1.22522E+000   3.10663E-007  -8.04292E-003   1.32633E-006
    13   1.06989E+003   8.24098E-003   0.00000E+000   1.25074E+000   3.18484E-007  -7.89436E-003   3.96373E-008
    14   1.07285E+003   7.48215E-003   0.00000E+000   1.35039E+000   3.25385E-007  -7.74678E-003  -1.77868E-006
    15   1.07792E+003   7.21216E-003   0.00000E+000   1.48300E+000   3.31570E-007  -7.60402E-003  -3.69697E-006
    16   1.08471E+003   7.44300E-003   0.00000E+000   1.61555E+000   3.37077E-007  -7.46532E-003  -5.36285E-006
    17   1.09279E+003   7.93347E-003   0.00000E+000   1.72587E+000   3.41912E-007  -7.32929E-003  -6.54436E-006
    18   1.10161E+003   8.42843E-003   0.00000E+000   1.80254E+000   3.46237E-007  -7.19877E-003  -7.14720E-006
    19   1.11276E+003   8.84589E-003   0.00000E+000   1.84935E+000   3.50066E-007  -7.07298E-003  -7.19990E-006
    20   1.12428E+003   9.26993E-003   0.00000E+000   1.87021E+000   3.53409E-007  -6.95036E-003  -6.82336E-006
    21   1.13655E+003   9.87903E-003   0.00000E+000   1.87789E+000   3.56339E-007  -6.83162E-003  -6.19131E-006
    22   1.14951E+003   1.08260E-002   0.00000E+000   1.88487E+000   3.58911E-007  -6.71686E-003  -5.48724E-006
    23   1.16305E+003   1.21825E-002   0.00000E+000   1.90123E+000   3.61129E-007  -6.60507E-003  -4.86971E-006
    24   1.17707E+003   1.39446E-002   0.00000E+000   1.93283E+000   3.63029E-007  -6.49595E-003  -4.44950E-006
    25   1.19153E+003   1.60701E-002   0.00000E+000   1.98099E+000   3.64637E-007  -6.38932E-003  -4.27642E-006
    26   1.20640E+003   1.85121E-002   0.00000E+000   2.04250E+000   3.65990E-007  -6.28544E-003  -4.34058E-006
    27   1.22164E+003   2.12320E-002   0.00000E+000   2.11077E+000   3.67089E-007  -6.18387E-003  -4.58724E-006
    28   1.23723E+003   2.41973E-002   0.00000E+000   2.17781E+000   3.67974E-007  -6.08486E-003  -4.93750E-006
    29   1.25320E+003   2.73776E-002   0.00000E+000   2.23504E+000   3.68630E-007  -5.98778E-003  -5.30482E-006
    30   1.26952E+003   3.07479E-002   0.00000E+000   2.27611E+000   3.69112E-007  -5.89355E-003  -5.61203E-006
    31   1.28616E+003   3.42958E-002   0.00000E+000   2.29566E+000   3.69406E-007  -5.80159E-003  -5.80400E-006
    32   1.30315E+003   3.80299E-002   0.00000E+000   2.29284E+000   3.69546E-007  -5.71229E-003  -5.85921E-006
    33   1.32050E+003   4.19798E-002   0.00000E+000   2.26757E+000   3.69527E-007  -5.62498E-003  -5.78659E-006
    34   1.33811E+003   4.61887E-002   0.00000E+000   2.22322E+000   3.69375E-007  -5.54003E-003  -5.61649E-006
    35   1.35602E+003   5.07004E-002   0.00000E+000   2.16268E+000   3.69091E-007  -5.45713E-003  -5.38973E-006
    36   1.37423E+003   5.55504E-002   0.00000E+000   2.09050E+000   3.68686E-007  -5.37625E-003  -5.15193E-006
    37   1.39270E+003   6.07606E-002   0.00000E+000   2.00920E+000   3.68172E-007  -5.29712E-003  -4.94636E-006
    38   1.41143E+003   6.63430E-002   0.00000E+000   1.92104E+000   3.67556E-007  -5.21964E-003  -4.80743E-006
    39   1.43042E+003   7.22890E-002   0.00000E+000   1.82573E+000   3.66844E-007  -5.14377E-003  -4.73737E-006
    40   1.44953E+003   7.85912E-002   0.00000E+000   1.72225E+000   3.66043E-007  -5.06949E-003  -4.73038E-006
    41   1.46898E+003   8.52453E-002   0.00000E+000   1.60908E+000   3.65161E-007  -4.99675E-003  -4.77708E-006
    42   1.48863E+003   9.22408E-002   0.00000E+000   1.48365E+000   3.64204E-007  -4.92552E-003  -4.85349E-006
    43   1.50863E+003   9.95681E-002   0.00000E+000   1.34307E+000   3.63179E-007  -4.85575E-003  -4.93291E-006
    44   1.52870E+003   1.07214E-001   0.00000E+000   1.18501E+000   3.62088E-007  -4.78748E-003  -4.99211E-006
    45   1.54908E+003   1.15184E-001   0.00000E+000   1.00798E+000   3.60936E-007  -4.72073E-003  -5.01278E-006
    46   1.56978E+003   1.23492E-001   0.00000E+000   8.11444E-001   3.59728E-007  -4.65539E-003  -4.99270E-006
    47   1.59073E+003   1.32134E-001   0.00000E+000   5.95548E-001   3.58469E-007  -4.59133E-003  -4.93493E-006
    48   1.61188E+003   1.41125E-001   0.00000E+000   3.61039E-001   3.57165E-007  -4.52860E-003  -4.84766E-006
    49   1.63325E+003   1.50469E-001   0.00000E+000   1.09206E-001   3.55818E-007  -4.46725E-003  -4.74173E-006
    50   1.65499E+003   1.60191E-001   0.00000E+000  -1.58777E-001   3.54431E-007  -4.40712E-003  -4.63342E-006
    51   1.67683E+003   1.70287E-001   0.00000E+000  -4.41618E-001   3.53006E-007  -4.34805E-003  -4.53837E-006
    52   1.69913E+003   1.80732E-001   0.00000E+000  -7.38590E-001   3.51547E-007  -4.29006E-003  -4.46427E-006
    53   1.72165E+003   1.91558E-001   0.00000E+000  -1.04938E+000   3.50057E-007  -4.23316E-003  -4.41487E-006
    54   1.74430E+003   2.02731E-001   0.00000E+000  -1.37420E+000   3.48541E-007  -4.17735E-003  -4.38626E-006
