#           k/h    P           
   1.00000E-004   1.53042E+002
   1.02020E-004   1.56010E+002
   1.04081E-004   1.59035E+002
   1.06184E-004   1.62118E+002
   1.08329E-004   1.65262E+002
   1.10517E-004   1.68467E+002
   1.12750E-004   1.71733E+002
   1.15027E-004   1.75063E+002
   1.17351E-004   1.78458E+002
   1.19722E-004   1.81919E+002
   1.22140E-004   1.85447E+002
   1.24608E-004   1.89043E+002
   1.27125E-004   1.92709E+002
   1.29693E-004   1.96446E+002
   1.32313E-004   2.00256E+002
   1.34986E-004   2.04140E+002
   1.37713E-004   2.08099E+002
   1.40495E-004   2.12135E+002
   1.43333E-004   2.16249E+002
   1.46228E-004   2.20443E+002
   1.49182E-004   2.24719E+002
   1.52196E-004   2.29077E+002
   1.55271E-004   2.33521E+002
   1.58407E-004   2.38050E+002
   1.61607E-004   2.42668E+002
   1.64872E-004   2.47375E+002
   1.68203E-004   2.52173E+002
   1.71601E-004   2.57065E+002
   1.75067E-004   2.62052E+002
   1.78604E-004   2.67136E+002
   1.82212E-004   2.72318E+002
   1.85893E-004   2.77602E+002
   1.89648E-004   2.82988E+002
   1.93479E-004   2.88478E+002
   1.97388E-004   2.94076E+002
   2.01375E-004   2.99782E+002
   2.05443E-004   3.05599E+002
   2.09594E-004   3.11529E+002
   2.13828E-004   3.17575E+002
   2.18147E-004   3.23738E+002
   2.22554E-004   3.30021E+002
   2.27050E-004   3.36427E+002
   2.31637E-004   3.42957E+002
   2.36316E-004   3.49614E+002
   2.41090E-004   3.56401E+002
   2.45960E-004   3.63319E+002
   2.50929E-004   3.70373E+002
   2.55998E-004   3.77564E+002
   2.61170E-004   3.84895E+002
   2.66446E-004   3.92369E+002
   2.71828E-004   3.99989E+002
   2.77319E-004   4.07757E+002
   2.82922E-004   4.15677E+002
   2.88637E-004   4.23751E+002
   2.94468E-004   4.31983E+002
   3.00417E-004   4.40375E+002
   3.06485E-004   4.48931E+002
   3.12677E-004   4.57654E+002
   3.18993E-004   4.66548E+002
   3.25437E-004   4.75615E+002
   3.32012E-004   4.84860E+002
   3.38719E-004   4.94286E+002
   3.45561E-004   5.03896E+002
   3.52542E-004   5.13693E+002
   3.59664E-004   5.23683E+002
   3.66930E-004   5.33869E+002
   3.74342E-004   5.44254E+002
   3.81904E-004   5.54842E+002
   3.89619E-004   5.65639E+002
   3.97490E-004   5.76647E+002
   4.05520E-004   5.87871E+002
   4.13712E-004   5.99316E+002
   4.22070E-004   6.10986E+002
   4.30596E-004   6.22886E+002
   4.39295E-004   6.35020E+002
   4.48169E-004   6.47392E+002
   4.57222E-004   6.60009E+002
   4.66459E-004   6.72875E+002
   4.75882E-004   6.85995E+002
   4.85496E-004   6.99373E+002
   4.95303E-004   7.13017E+002
   5.05309E-004   7.26931E+002
   5.15517E-004   7.41120E+002
   5.25931E-004   7.55591E+002
   5.36556E-004   7.70349E+002
   5.47395E-004   7.85401E+002
   5.58453E-004   8.00752E+002
   5.69734E-004   8.16409E+002
   5.81244E-004   8.32378E+002
   5.92986E-004   8.48667E+002
   6.04965E-004   8.65281E+002
   6.17186E-004   8.82228E+002
   6.29654E-004   8.99515E+002
   6.42374E-004   9.17149E+002
   6.55350E-004   9.35138E+002
   6.68589E-004   9.53490E+002
   6.82096E-004   9.72213E+002
   6.95875E-004   9.91314E+002
   7.09933E-004   1.01080E+003
   7.24274E-004   1.03069E+003
   7.38906E-004   1.05098E+003
   7.53832E-004   1.07168E+003
   7.69061E-004   1.09281E+003
   7.84597E-004   1.11437E+003
   8.00447E-004   1.13637E+003
   8.16617E-004   1.15882E+003
   8.33114E-004   1.18174E+003
   8.49944E-004   1.20514E+003
   8.67114E-004   1.22901E+003
   8.84631E-004   1.25339E+003
   9.02501E-004   1.27827E+003
   9.20733E-004   1.30368E+003
   9.39333E-004   1.32962E+003
   9.58309E-004   1.35610E+003
   9.77668E-004   1.38315E+003
   9.97418E-004   1.41077E+003
   1.01757E-003   1.43897E+003
   1.03812E-003   1.46778E+003
   1.05910E-003   1.49721E+003
   1.08049E-003   1.52726E+003
   1.10232E-003   1.55797E+003
   1.12459E-003   1.58934E+003
   1.14730E-003   1.62139E+003
   1.17048E-003   1.65414E+003
   1.19413E-003   1.68760E+003
   1.21825E-003   1.72180E+003
   1.24286E-003   1.75675E+003
   1.26797E-003   1.79247E+003
   1.29358E-003   1.82899E+003
   1.31971E-003   1.86632E+003
   1.34637E-003   1.90447E+003
   1.37357E-003   1.94349E+003
   1.40132E-003   1.98337E+003
   1.42963E-003   2.02416E+003
   1.45851E-003   2.06586E+003
   1.48797E-003   2.10850E+003
   1.51803E-003   2.15211E+003
   1.54870E-003   2.19671E+003
   1.57998E-003   2.24232E+003
   1.61190E-003   2.28897E+003
   1.64446E-003   2.33668E+003
   1.67768E-003   2.38548E+003
   1.71158E-003   2.43539E+003
   1.74615E-003   2.48644E+003
   1.78143E-003   2.53865E+003
   1.81741E-003   2.59205E+003
   1.85413E-003   2.64666E+003
   1.89158E-003   2.70251E+003
   1.92980E-003   2.75964E+003
   1.96878E-003   2.81805E+003
   2.00855E-003   2.87778E+003
   2.04913E-003   2.93886E+003
   2.09052E-003   3.00131E+003
   2.13276E-003   3.06515E+003
   2.17584E-003   3.13042E+003
   2.21979E-003   3.19713E+003
   2.26464E-003   3.26532E+003
   2.31039E-003   3.33500E+003
   2.35706E-003   3.40621E+003
   2.40467E-003   3.47896E+003
   2.45325E-003   3.55329E+003
   2.50281E-003   3.62920E+003
   2.55337E-003   3.70674E+003
   2.60495E-003   3.78592E+003
   2.65758E-003   3.86677E+003
   2.71126E-003   3.94931E+003
   2.76603E-003   4.03356E+003
