#           k/h    P           
   1.00000E-004   3.21767E+002
   1.02020E-004   3.28002E+002
   1.04081E-004   3.34358E+002
   1.06184E-004   3.40837E+002
   1.08329E-004   3.47441E+002
   1.10517E-004   3.54173E+002
   1.12750E-004   3.61036E+002
   1.15027E-004   3.68031E+002
   1.17351E-004   3.75162E+002
   1.19722E-004   3.82430E+002
   1.22140E-004   3.89840E+002
   1.24608E-004   3.97393E+002
   1.27125E-004   4.05092E+002
   1.29693E-004   4.12940E+002
   1.32313E-004   4.20939E+002
   1.34986E-004   4.29094E+002
   1.37713E-004   4.37406E+002
   1.40495E-004   4.45879E+002
   1.43333E-004   4.54516E+002
   1.46228E-004   4.63320E+002
   1.49182E-004   4.72294E+002
   1.52196E-004   4.81441E+002
   1.55271E-004   4.90766E+002
   1.58407E-004   5.00271E+002
   1.61607E-004   5.09959E+002
   1.64872E-004   5.19835E+002
   1.68203E-004   5.29901E+002
   1.71601E-004   5.40162E+002
   1.75067E-004   5.50622E+002
   1.78604E-004   5.61283E+002
   1.82212E-004   5.72150E+002
   1.85893E-004   5.83227E+002
   1.89648E-004   5.94518E+002
   1.93479E-004   6.06027E+002
   1.97388E-004   6.17758E+002
   2.01375E-004   6.29716E+002
   2.05443E-004   6.41904E+002
   2.09594E-004   6.54327E+002
   2.13828E-004   6.66990E+002
   2.18147E-004   6.79897E+002
   2.22554E-004   6.93054E+002
   2.27050E-004   7.06463E+002
   2.31637E-004   7.20131E+002
   2.36316E-004   7.34063E+002
   2.41090E-004   7.48263E+002
   2.45960E-004   7.62736E+002
   2.50929E-004   7.77488E+002
   2.55998E-004   7.92524E+002
   2.61170E-004   8.07850E+002
   2.66446E-004   8.23470E+002
   2.71828E-004   8.39391E+002
   2.77319E-004   8.55618E+002
   2.82922E-004   8.72157E+002
   2.88637E-004   8.89014E+002
   2.94468E-004   9.06195E+002
   3.00417E-004   9.23705E+002
   3.06485E-004   9.41552E+002
   3.12677E-004   9.59742E+002
   3.18993E-004   9.78280E+002
   3.25437E-004   9.97175E+002
   3.32012E-004   1.01643E+003
   3.38719E-004   1.03606E+003
   3.45561E-004   1.05606E+003
   3.52542E-004   1.07644E+003
   3.59664E-004   1.09722E+003
   3.66930E-004   1.11839E+003
   3.74342E-004   1.13997E+003
   3.81904E-004   1.16196E+003
   3.89619E-004   1.18437E+003
   3.97490E-004   1.20721E+003
   4.05520E-004   1.23048E+003
   4.13712E-004   1.25420E+003
   4.22070E-004   1.27837E+003
   4.30596E-004   1.30300E+003
   4.39295E-004   1.32811E+003
   4.48169E-004   1.35369E+003
   4.57222E-004   1.37975E+003
   4.66459E-004   1.40632E+003
   4.75882E-004   1.43339E+003
   4.85496E-004   1.46097E+003
   4.95303E-004   1.48908E+003
   5.05309E-004   1.51772E+003
   5.15517E-004   1.54691E+003
   5.25931E-004   1.57664E+003
   5.36556E-004   1.60695E+003
   5.47395E-004   1.63783E+003
   5.58453E-004   1.66929E+003
   5.69734E-004   1.70135E+003
   5.81244E-004   1.73402E+003
   5.92986E-004   1.76730E+003
   6.04965E-004   1.80122E+003
   6.17186E-004   1.83577E+003
   6.29654E-004   1.87098E+003
   6.42374E-004   1.90686E+003
   6.55350E-004   1.94341E+003
   6.68589E-004   1.98065E+003
   6.82096E-004   2.01860E+003
   6.95875E-004   2.05726E+003
   7.09933E-004   2.09665E+003
   7.24274E-004   2.13679E+003
   7.38906E-004   2.17768E+003
   7.53832E-004   2.21935E+003
   7.69061E-004   2.26180E+003
   7.84597E-004   2.30506E+003
   8.00447E-004   2.34913E+003
   8.16617E-004   2.39403E+003
   8.33114E-004   2.43978E+003
   8.49944E-004   2.48640E+003
   8.67114E-004   2.53389E+003
   8.84631E-004   2.58229E+003
   9.02501E-004   2.63160E+003
   9.20733E-004   2.68185E+003
   9.39333E-004   2.73305E+003
   9.58309E-004   2.78522E+003
   9.77668E-004   2.83838E+003
   9.97418E-004   2.89255E+003
   1.01757E-003   2.94775E+003
   1.03812E-003   3.00401E+003
   1.05910E-003   3.06134E+003
   1.08049E-003   3.11976E+003
   1.10232E-003   3.17931E+003
   1.12459E-003   3.23999E+003
   1.14730E-003   3.30184E+003
   1.17048E-003   3.36488E+003
   1.19413E-003   3.42913E+003
   1.21825E-003   3.49463E+003
   1.24286E-003   3.56139E+003
   1.26797E-003   3.62945E+003
   1.29358E-003   3.69883E+003
   1.31971E-003   3.76956E+003
   1.34637E-003   3.84167E+003
   1.37357E-003   3.91519E+003
   1.40132E-003   3.99015E+003
   1.42963E-003   4.06658E+003
   1.45851E-003   4.14451E+003
   1.48797E-003   4.22398E+003
   1.51803E-003   4.30501E+003
   1.54870E-003   4.38765E+003
   1.57998E-003   4.47192E+003
   1.61190E-003   4.55787E+003
   1.64446E-003   4.64552E+003
   1.67768E-003   4.73491E+003
   1.71158E-003   4.82607E+003
   1.74615E-003   4.91905E+003
   1.78143E-003   5.01388E+003
   1.81741E-003   5.11059E+003
   1.85413E-003   5.20922E+003
   1.89158E-003   5.30981E+003
   1.92980E-003   5.41240E+003
   1.96878E-003   5.51701E+003
   2.00855E-003   5.62368E+003
   2.04913E-003   5.73245E+003
   2.09052E-003   5.84336E+003
   2.13276E-003   5.95642E+003
   2.17584E-003   6.07169E+003
   2.21979E-003   6.18918E+003
   2.26464E-003   6.30894E+003
   2.31039E-003   6.43099E+003
   2.35706E-003   6.55535E+003
   2.40467E-003   6.68206E+003
   2.45325E-003   6.81114E+003
   2.50281E-003   6.94262E+003
   2.55337E-003   7.07652E+003
   2.60495E-003   7.21287E+003
   2.65758E-003   7.35168E+003
   2.71126E-003   7.49298E+003
   2.76603E-003   7.63679E+003
   2.82191E-003   7.78313E+003
   2.87892E-003   7.93202E+003
   2.93708E-003   8.08347E+003
   2.99641E-003   8.23750E+003
   3.05694E-003   8.39413E+003
   3.11870E-003   8.55336E+003
   3.18170E-003   8.71523E+003
   3.24597E-003   8.87973E+003
   3.31155E-003   9.04688E+003
   3.37844E-003   9.21670E+003
   3.44669E-003   9.38918E+003
   3.51632E-003   9.56435E+003
   3.58735E-003   9.74221E+003
   3.65982E-003   9.92275E+003
   3.73376E-003   1.01060E+004
   3.80918E-003   1.02919E+004
   3.88613E-003   1.04806E+004
   3.96464E-003   1.06719E+004
   4.04473E-003   1.08659E+004
   4.12644E-003   1.10626E+004
   4.20980E-003   1.12620E+004
   4.29484E-003   1.14640E+004
   4.38160E-003   1.16687E+004
   4.47012E-003   1.18760E+004
   4.56042E-003   1.20859E+004
   4.65255E-003   1.22984E+004
   4.74653E-003   1.25134E+004
   4.84242E-003   1.27309E+004
   4.94024E-003   1.29510E+004
   5.04004E-003   1.31735E+004
   5.14186E-003   1.33983E+004
   5.24573E-003   1.36256E+004
   5.35170E-003   1.38552E+004
   5.45981E-003   1.40870E+004
   5.57011E-003   1.43210E+004
   5.68263E-003   1.45572E+004
   5.79743E-003   1.47955E+004
   5.91455E-003   1.50358E+004
   6.03403E-003   1.52780E+004
   6.15592E-003   1.55220E+004
   6.28028E-003   1.57679E+004
   6.40715E-003   1.60154E+004
   6.53658E-003   1.62645E+004
   6.66863E-003   1.65151E+004
   6.80335E-003   1.67671E+004
   6.94078E-003   1.70204E+004
   7.08100E-003   1.72748E+004
   7.22404E-003   1.75302E+004
   7.36998E-003   1.77866E+004
   7.51886E-003   1.80437E+004
   7.67075E-003   1.83014E+004
   7.82571E-003   1.85595E+004
   7.98380E-003   1.88180E+004
   8.14509E-003   1.90767E+004
   8.30963E-003   1.93353E+004
   8.47750E-003   1.95937E+004
   8.64875E-003   1.98517E+004
   8.82347E-003   2.01091E+004
   9.00171E-003   2.03657E+004
   9.18356E-003   2.06213E+004
   9.36908E-003   2.08757E+004
   9.55835E-003   2.11287E+004
   9.75144E-003   2.13800E+004
   9.94843E-003   2.16293E+004
   1.01494E-002   2.18765E+004
   1.03544E-002   2.21213E+004
   1.05636E-002   2.23633E+004
   1.07770E-002   2.26024E+004
   1.09947E-002   2.28383E+004
   1.12168E-002   2.30705E+004
   1.14434E-002   2.32990E+004
