#    L    TT             EE             TE             PP             TP          
     2   8.50963E+002   5.67671E-002   4.36586E+000   1.90009E+006  -1.80375E+004
     3   8.56139E+002   9.36564E-002   5.06343E+000   2.90486E+006  -2.07116E+004
     4   8.45315E+002   1.06645E-001   5.02834E+000   3.79265E+006  -2.26131E+004
     5   8.33354E+002   9.60451E-002   4.58096E+000   4.57261E+006  -2.41314E+004
     6   8.24592E+002   7.22200E-002   3.94879E+000   5.25735E+006  -2.53938E+004
     7   8.20037E+002   4.68271E-002   3.27579E+000   5.86156E+006  -2.64700E+004
     8   8.19269E+002   2.73840E-002   2.64768E+000   6.39705E+006  -2.73948E+004
     9   8.21995E+002   1.60167E-002   2.11253E+000   6.87394E+006  -2.81844E+004
    10   8.27324E+002   1.10652E-002   1.69558E+000   7.29910E+006  -2.88378E+004
    11   8.34913E+002   9.52292E-003   1.40311E+000   7.68087E+006  -2.93703E+004
    12   8.44079E+002   8.95255E-003   1.22716E+000   8.02121E+006  -2.97713E+004
    13   8.54675E+002   8.21323E-003   1.15037E+000   8.32870E+006  -3.00733E+004
    14   8.66087E+002   7.22898E-003   1.14867E+000   8.60370E+006  -3.02742E+004
    15   8.78416E+002   6.37574E-003   1.19692E+000   8.85241E+006  -3.04094E+004
    16   8.91452E+002   5.96221E-003   1.27230E+000   9.07653E+006  -3.04856E+004
    17   9.04939E+002   6.02603E-003   1.35659E+000   9.27678E+006  -3.05032E+004
    18   9.18389E+002   6.39771E-003   1.43610E+000   9.45807E+006  -3.04908E+004
    19   9.33497E+002   6.88426E-003   1.50741E+000   9.62122E+006  -3.04570E+004
    20   9.48424E+002   7.37958E-003   1.56492E+000   9.76687E+006  -3.03941E+004
    21   9.63634E+002   7.91254E-003   1.61105E+000   9.89737E+006  -3.03138E+004
    22   9.79147E+002   8.58554E-003   1.64942E+000   1.00145E+007  -3.02184E+004
    23   9.94909E+002   9.50149E-003   1.68432E+000   1.01187E+007  -3.01056E+004
    24   1.01091E+003   1.07149E-002   1.72002E+000   1.02112E+007  -2.99775E+004
    25   1.02710E+003   1.22265E-002   1.75895E+000   1.02928E+007  -2.98295E+004
    26   1.04351E+003   1.40064E-002   1.80299E+000   1.03649E+007  -2.96660E+004
    27   1.06008E+003   1.60218E-002   1.85074E+000   1.04277E+007  -2.94831E+004
    28   1.07683E+003   1.82534E-002   1.90125E+000   1.04823E+007  -2.92900E+004
    29   1.09377E+003   2.06950E-002   1.95030E+000   1.05285E+007  -2.90797E+004
    30   1.11087E+003   2.33461E-002   1.99568E+000   1.05680E+007  -2.88620E+004
    31   1.12813E+003   2.62029E-002   2.03268E+000   1.06005E+007  -2.86321E+004
    32   1.14558E+003   2.92599E-002   2.05984E+000   1.06271E+007  -2.84008E+004
    33   1.16323E+003   3.25129E-002   2.07391E+000   1.06477E+007  -2.81638E+004
    34   1.18102E+003   3.59666E-002   2.07471E+000   1.06632E+007  -2.79258E+004
    35   1.19902E+003   3.96341E-002   2.06136E+000   1.06737E+007  -2.76835E+004
    36   1.21721E+003   4.35365E-002   2.03512E+000   1.06795E+007  -2.74407E+004
    37   1.23557E+003   4.76961E-002   1.99634E+000   1.06811E+007  -2.71972E+004
    38   1.25412E+003   5.21354E-002   1.94654E+000   1.06787E+007  -2.69517E+004
    39   1.27286E+003   5.68592E-002   1.88660E+000   1.06726E+007  -2.67039E+004
    40   1.29164E+003   6.18737E-002   1.81709E+000   1.06631E+007  -2.64541E+004
    41   1.31068E+003   6.71879E-002   1.73827E+000   1.06503E+007  -2.62024E+004
    42   1.32983E+003   7.28016E-002   1.65003E+000   1.06346E+007  -2.59489E+004
    43   1.34928E+003   7.87138E-002   1.55179E+000   1.06161E+007  -2.56939E+004
    44   1.36872E+003   8.49158E-002   1.44234E+000   1.05950E+007  -2.54375E+004
