#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   8.50963E+002   4.36586E+000  -7.89970E-004   4.36586E+000   5.67671E-002  -7.62879E-006  -7.89970E-004  -7.62879E-006   1.52662E-008
     3   8.56139E+002   5.06343E+000  -5.37533E-004   5.06343E+000   9.36564E-002  -6.50390E-006  -5.37533E-004  -6.50390E-006   9.22038E-009
     4   8.45315E+002   5.02834E+000  -4.12653E-004   5.02834E+000   1.06645E-001  -5.09235E-006  -4.12653E-004  -5.09235E-006   6.34834E-009
     5   8.33354E+002   4.58096E+000  -3.38195E-004   4.58096E+000   9.60451E-002  -3.71753E-006  -3.38195E-004  -3.71753E-006   4.70255E-009
     6   8.24592E+002   3.94879E+000  -2.88335E-004   3.94879E+000   7.22200E-002  -2.50190E-006  -2.88335E-004  -2.50190E-006   3.65039E-009
     7   8.20037E+002   3.27579E+000  -2.52361E-004   3.27579E+000   4.68271E-002  -1.50416E-006  -2.52361E-004  -1.50416E-006   2.92912E-009
     8   8.19269E+002   2.64768E+000  -2.24960E-004   2.64768E+000   2.73840E-002  -7.43596E-007  -2.24960E-004  -7.43596E-007   2.40924E-009
     9   8.21995E+002   2.11253E+000  -2.03188E-004   2.11253E+000   1.60167E-002  -2.13999E-007  -2.03188E-004  -2.13999E-007   2.02026E-009
    10   8.27324E+002   1.69558E+000  -1.85237E-004   1.69558E+000   1.10652E-002   1.09587E-007  -1.85237E-004   1.09587E-007   1.72024E-009
    11   8.34913E+002   1.40311E+000  -1.70090E-004   1.40311E+000   9.52292E-003   2.64992E-007  -1.70090E-004   2.64992E-007   1.48368E-009
    12   8.44079E+002   1.22716E+000  -1.56947E-004   1.22716E+000   8.95255E-003   2.95247E-007  -1.56947E-004   2.95247E-007   1.29291E-009
    13   8.54675E+002   1.15037E+000  -1.45478E-004   1.15037E+000   8.21323E-003   2.43253E-007  -1.45478E-004   2.43253E-007   1.13711E-009
    14   8.66087E+002   1.14867E+000  -1.35295E-004   1.14867E+000   7.22898E-003   1.47268E-007  -1.35295E-004   1.47268E-007   1.00767E-009
    15   8.78416E+002   1.19692E+000  -1.26276E-004   1.19692E+000   6.37574E-003   3.82898E-008  -1.26276E-004   3.82898E-008   8.99156E-010
    16   8.91452E+002   1.27230E+000  -1.18216E-004   1.27230E+000   5.96221E-003  -6.13408E-008  -1.18216E-004  -6.13408E-008   8.07117E-010
    17   9.04939E+002   1.35659E+000  -1.10942E-004   1.35659E+000   6.02603E-003  -1.37937E-007  -1.10942E-004  -1.37937E-007   7.28200E-010
    18   9.18389E+002   1.43610E+000  -1.04412E-004   1.43610E+000   6.39771E-003  -1.85621E-007  -1.04412E-004  -1.85621E-007   6.60186E-010
    19   9.33497E+002   1.50741E+000  -9.85335E-005   1.50741E+000   6.88426E-003  -2.04696E-007  -9.85335E-005  -2.04696E-007   6.01073E-010
    20   9.48424E+002   1.56492E+000  -9.31800E-005   1.56492E+000   7.37958E-003  -1.99779E-007  -9.31800E-005  -1.99779E-007   5.49304E-010
    21   9.63634E+002   1.61105E+000  -8.83077E-005   1.61105E+000   7.91254E-003  -1.78019E-007  -8.83077E-005  -1.78019E-007   5.03747E-010
