#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.207441E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206687E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.159227E+01
   0.211629E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206687E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.162442E+01
   0.215902E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206687E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.165721E+01
   0.220261E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206687E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.169067E+01
   0.224708E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206687E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.172481E+01
   0.229245E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206687E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.175963E+01
   0.233873E-05   0.155018E+08   0.155018E+08   0.206687E+08   0.206686E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.179516E+01
   0.238595E-05   0.155018E+08   0.155018E+08   0.206686E+08   0.206686E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.183140E+01
   0.243412E-05   0.155018E+08   0.155018E+08   0.206686E+08   0.206686E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.186838E+01
   0.248327E-05   0.155018E+08   0.155018E+08   0.206686E+08   0.206686E+08   0.000000E+00   0.155018E+08   0.155018E+08   0.155109E+08  -0.571784E+00   0.113894E+08   0.113894E+08   0.190610E+01
