#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.207441E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.220684E+01
   0.211629E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.225140E+01
   0.215902E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.229685E+01
   0.220261E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.234323E+01
   0.224708E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.239053E+01
   0.229245E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.243880E+01
   0.233873E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.248804E+01
   0.238595E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.253827E+01
   0.243412E-05   0.831928E+07   0.831928E+07   0.110923E+08   0.110923E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.258952E+01
   0.248327E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.264180E+01
   0.253340E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.269514E+01
   0.258455E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.274955E+01
   0.263673E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.280506E+01
   0.268997E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.286169E+01
   0.274428E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.291947E+01
   0.279969E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.297841E+01
   0.285621E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.303855E+01
   0.291388E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.309989E+01
   0.297271E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.316248E+01
   0.303273E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.322633E+01
   0.309396E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.329147E+01
   0.315642E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.335792E+01
   0.322015E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110922E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.342572E+01
   0.328517E-05   0.831928E+07   0.831928E+07   0.110922E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.349488E+01
   0.335149E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.356544E+01
   0.341916E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.363742E+01
   0.348819E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.371086E+01
   0.355862E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.378578E+01
   0.363047E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.386222E+01
   0.370376E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.394019E+01
   0.377854E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.401974E+01
   0.385483E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110921E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.410090E+01
   0.393266E-05   0.831928E+07   0.831928E+07   0.110921E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.418369E+01
   0.401206E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.426816E+01
   0.409306E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.435433E+01
   0.417570E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.444224E+01
   0.426001E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.453193E+01
   0.434602E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.462342E+01
   0.443376E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110920E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.471677E+01
   0.452328E-05   0.831928E+07   0.831928E+07   0.110920E+08   0.110919E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.481199E+01
   0.461460E-05   0.831928E+07   0.831928E+07   0.110919E+08   0.110919E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.490914E+01
   0.470777E-05   0.831928E+07   0.831928E+07   0.110919E+08   0.110919E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.500826E+01
   0.480282E-05   0.831928E+07   0.831928E+07   0.110919E+08   0.110919E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.510937E+01
   0.489979E-05   0.831928E+07   0.831928E+07   0.110919E+08   0.110919E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.521252E+01
   0.499871E-05   0.831928E+07   0.831928E+07   0.110919E+08   0.110918E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.531776E+01
   0.509964E-05   0.831928E+07   0.831928E+07   0.110918E+08   0.110918E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.542512E+01
   0.520260E-05   0.831928E+07   0.831928E+07   0.110918E+08   0.110918E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.553465E+01
   0.530764E-05   0.831928E+07   0.831928E+07   0.110918E+08   0.110918E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.564639E+01
   0.541480E-05   0.831928E+07   0.831928E+07   0.110918E+08   0.110918E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.576038E+01
   0.552412E-05   0.831928E+07   0.831928E+07   0.110918E+08   0.110917E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.587668E+01
   0.563565E-05   0.831928E+07   0.831928E+07   0.110917E+08   0.110917E+08   0.000000E+00   0.831928E+07   0.831928E+07   0.832906E+07  -0.593599E+00   0.777790E+07   0.777790E+07   0.599532E+01
