#           k/h    P           
   1.00000E-004   9.16457E+001
   1.02020E-004   9.34215E+001
   1.04081E-004   9.52316E+001
   1.06184E-004   9.70768E+001
   1.08329E-004   9.89577E+001
   1.10517E-004   1.00875E+002
   1.12750E-004   1.02829E+002
   1.15027E-004   1.04822E+002
   1.17351E-004   1.06853E+002
   1.19722E-004   1.08923E+002
   1.22140E-004   1.11033E+002
   1.24608E-004   1.13184E+002
   1.27125E-004   1.15376E+002
   1.29693E-004   1.17611E+002
   1.32313E-004   1.19889E+002
   1.34986E-004   1.22212E+002
   1.37713E-004   1.24579E+002
   1.40495E-004   1.26992E+002
   1.43333E-004   1.29451E+002
   1.46228E-004   1.31959E+002
   1.49182E-004   1.34514E+002
   1.52196E-004   1.37119E+002
   1.55271E-004   1.39774E+002
   1.58407E-004   1.42481E+002
   1.61607E-004   1.45240E+002
   1.64872E-004   1.48052E+002
   1.68203E-004   1.50919E+002
   1.71601E-004   1.53841E+002
   1.75067E-004   1.56819E+002
   1.78604E-004   1.59855E+002
   1.82212E-004   1.62949E+002
   1.85893E-004   1.66103E+002
   1.89648E-004   1.69318E+002
   1.93479E-004   1.72595E+002
   1.97388E-004   1.75935E+002
   2.01375E-004   1.79340E+002
   2.05443E-004   1.82810E+002
   2.09594E-004   1.86347E+002
   2.13828E-004   1.89952E+002
   2.18147E-004   1.93627E+002
   2.22554E-004   1.97372E+002
   2.27050E-004   2.01190E+002
   2.31637E-004   2.05081E+002
   2.36316E-004   2.09047E+002
   2.41090E-004   2.13089E+002
   2.45960E-004   2.17209E+002
   2.50929E-004   2.21409E+002
   2.55998E-004   2.25689E+002
   2.61170E-004   2.30051E+002
   2.66446E-004   2.34497E+002
   2.71828E-004   2.39028E+002
   2.77319E-004   2.43646E+002
   2.82922E-004   2.48353E+002
   2.88637E-004   2.53150E+002
   2.94468E-004   2.58040E+002
   3.00417E-004   2.63022E+002
   3.06485E-004   2.68101E+002
   3.12677E-004   2.73276E+002
   3.18993E-004   2.78551E+002
   3.25437E-004   2.83926E+002
   3.32012E-004   2.89404E+002
   3.38719E-004   2.94987E+002
