#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   1.17315E+003   3.67117E+000   1.40793E-003   3.67117E+000   5.53198E-002  -7.03912E-006   1.40793E-003  -7.03912E-006   9.55987E-009
     3   1.09980E+003   4.59658E+000   9.89767E-004   4.59658E+000   9.19706E-002  -6.13563E-006   9.89767E-004  -6.13563E-006   5.82287E-009
     4   1.02986E+003   4.74754E+000   7.45786E-004   4.74754E+000   1.05695E-001  -4.84470E-006   7.45786E-004  -4.84470E-006   4.03452E-009
     5   9.75363E+002   4.43029E+000   5.86556E-004   4.43029E+000   9.62403E-002  -3.54856E-006   5.86556E-004  -3.54856E-006   3.00389E-009
     6   9.35511E+002   3.88711E+000   4.75055E-004   3.88711E+000   7.32838E-002  -2.38583E-006   4.75055E-004  -2.38583E-006   2.34204E-009
     7   9.07596E+002   3.27323E+000   3.93152E-004   3.27323E+000   4.81466E-002  -1.42118E-006   3.93152E-004  -1.42118E-006   1.88654E-009
     8   8.88834E+002   2.68177E+000   3.30864E-004   2.68177E+000   2.84360E-002  -6.78260E-007   3.30864E-004  -6.78260E-007   1.55709E-009
     9   8.77408E+002   2.16549E+000   2.82279E-004   2.16549E+000   1.65938E-002  -1.54769E-007   2.82279E-004  -1.54769E-007   1.30982E-009
    10   8.71422E+002   1.75337E+000   2.43605E-004   1.75337E+000   1.12567E-002   1.70278E-007   2.43605E-004   1.70278E-007   1.11855E-009
    11   8.69842E+002   1.45536E+000   2.12385E-004   1.45536E+000   9.54662E-003   3.31039E-007   2.12385E-004   3.31039E-007   9.67320E-010
    12   8.71480E+002   1.26712E+000   1.86782E-004   1.26712E+000   8.98495E-003   3.67497E-007   1.86782E-004   3.67497E-007   8.45048E-010
    13   8.75841E+002   1.17479E+000   1.65590E-004   1.17479E+000   8.31103E-003   3.20417E-007   1.65590E-004   3.20417E-007   7.44957E-010
    14   8.82037E+002   1.15726E+000   1.47808E-004   1.15726E+000   7.34947E-003   2.26675E-007   1.47808E-004   2.26675E-007   6.61606E-010
    15   8.89966E+002   1.19167E+000   1.32743E-004   1.19167E+000   6.44703E-003   1.16726E-007   1.32743E-004   1.16726E-007   5.91576E-010
    16   8.99256E+002   1.25663E+000   1.19842E-004   1.25663E+000   5.94322E-003   1.30700E-008   1.19842E-004   1.30700E-008   5.32056E-010
    17   9.09533E+002   1.33448E+000   1.08690E-004   1.33448E+000   5.92533E-003  -6.98960E-008   1.08690E-004  -6.98960E-008   4.80918E-010
