#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.151962E+08   0.151962E+08   0.202613E+08   0.202613E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.159957E+01
   0.209601E-05   0.151962E+08   0.151962E+08   0.202613E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.163183E+01
   0.213829E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.166474E+01
   0.218141E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.169832E+01
   0.222541E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.173257E+01
   0.227029E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.176751E+01
   0.231608E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.180316E+01
   0.236279E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202612E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.183952E+01
   0.241044E-05   0.151962E+08   0.151962E+08   0.202612E+08   0.202611E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.187662E+01
   0.245906E-05   0.151962E+08   0.151962E+08   0.202611E+08   0.202611E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.191447E+01
   0.250865E-05   0.151962E+08   0.151962E+08   0.202611E+08   0.202611E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.195308E+01
   0.255925E-05   0.151962E+08   0.151962E+08   0.202611E+08   0.202611E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.199247E+01
   0.261086E-05   0.151962E+08   0.151962E+08   0.202611E+08   0.202611E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.203266E+01
   0.266352E-05   0.151962E+08   0.151962E+08   0.202611E+08   0.202610E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.207365E+01
   0.271724E-05   0.151962E+08   0.151962E+08   0.202610E+08   0.202610E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.211547E+01
   0.277204E-05   0.151962E+08   0.151962E+08   0.202610E+08   0.202610E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.215814E+01
   0.282795E-05   0.151962E+08   0.151962E+08   0.202610E+08   0.202610E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.220166E+01
   0.288498E-05   0.151962E+08   0.151962E+08   0.202610E+08   0.202610E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.224606E+01
   0.294317E-05   0.151962E+08   0.151962E+08   0.202609E+08   0.202609E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.229136E+01
   0.300253E-05   0.151962E+08   0.151962E+08   0.202609E+08   0.202609E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.233757E+01
   0.306308E-05   0.151962E+08   0.151962E+08   0.202609E+08   0.202609E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.238472E+01
   0.312486E-05   0.151962E+08   0.151962E+08   0.202609E+08   0.202608E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.243281E+01
   0.318788E-05   0.151962E+08   0.151962E+08   0.202608E+08   0.202608E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.248188E+01
   0.325218E-05   0.151962E+08   0.151962E+08   0.202608E+08   0.202608E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.253193E+01
   0.331777E-05   0.151962E+08   0.151962E+08   0.202608E+08   0.202607E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.258299E+01
   0.338468E-05   0.151962E+08   0.151962E+08   0.202607E+08   0.202607E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.263509E+01
   0.345294E-05   0.151962E+08   0.151962E+08   0.202607E+08   0.202607E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.268823E+01
   0.352258E-05   0.151962E+08   0.151962E+08   0.202607E+08   0.202606E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.274245E+01
   0.359363E-05   0.151962E+08   0.151962E+08   0.202606E+08   0.202606E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.279776E+01
   0.366610E-05   0.151962E+08   0.151962E+08   0.202606E+08   0.202606E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.285418E+01
   0.374004E-05   0.151962E+08   0.151962E+08   0.202606E+08   0.202605E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.291174E+01
   0.381547E-05   0.151962E+08   0.151962E+08   0.202605E+08   0.202605E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.297047E+01
   0.389242E-05   0.151962E+08   0.151962E+08   0.202605E+08   0.202604E+08   0.000000E+00   0.151962E+08   0.151962E+08   0.152051E+08  -0.542303E+00   0.113704E+08   0.113704E+08   0.303037E+01
