#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.219747E+01
   0.209601E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.224179E+01
   0.213829E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.228700E+01
   0.218141E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.233313E+01
   0.222541E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.238018E+01
   0.227029E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.242819E+01
   0.231608E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.247716E+01
   0.236279E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.252712E+01
   0.241044E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.257808E+01
   0.245906E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.263008E+01
   0.250865E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.268312E+01
   0.255925E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.273724E+01
   0.261086E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.279244E+01
   0.266352E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.284876E+01
   0.271724E-05   0.827319E+07   0.827319E+07   0.110308E+08   0.110308E+08   0.000000E+00   0.827319E+07   0.827319E+07   0.828292E+07  -0.591159E+00   0.790314E+07   0.790314E+07   0.290621E+01
