#    L    TT             EE             BB             TE             PP             TP             EP          
     2   8.35613E+002   5.56694E-002   0.00000E+000   4.18963E+000   8.17704E-008  -4.95153E-004  -1.81794E-005
     3   8.41476E+002   9.22323E-002   0.00000E+000   4.94015E+000   9.88258E-008  -4.47638E-004  -2.20539E-005
     4   8.29529E+002   1.05891E-001   0.00000E+000   4.95267E+000   1.13449E-007  -4.58135E-004  -2.24034E-005
     5   8.16635E+002   9.63774E-002   0.00000E+000   4.54267E+000   1.26097E-007  -4.92933E-004  -2.01389E-005
     6   8.07285E+002   7.33693E-002   0.00000E+000   3.93918E+000   1.37075E-007  -5.37490E-004  -1.61408E-005
     7   8.02377E+002   4.81902E-002   0.00000E+000   3.28712E+000   1.46691E-007  -5.85507E-004  -1.12970E-005
     8   8.01403E+002   2.84475E-002   0.00000E+000   2.67262E+000   1.55164E-007  -6.33578E-004  -6.40379E-006
     9   8.04018E+002   1.65833E-002   0.00000E+000   2.14390E+000   1.62674E-007  -6.79421E-004  -2.10592E-006
    10   8.09316E+002   1.12334E-002   0.00000E+000   1.72670E+000   1.69330E-007  -7.21120E-004   1.15769E-006
    11   8.16925E+002   9.51849E-003   0.00000E+000   1.42846E+000   1.75285E-007  -7.58053E-004   3.18363E-006
    12   8.26162E+002   8.95810E-003   0.00000E+000   1.24297E+000   1.80548E-007  -7.89276E-004   3.97844E-006
    13   8.36857E+002   8.28956E-003   0.00000E+000   1.15496E+000   1.85285E-007  -8.15744E-004   3.71885E-006
    14   8.48396E+002   7.33556E-003   0.00000E+000   1.14230E+000   1.89482E-007  -8.37271E-004   2.68883E-006
    15   8.60858E+002   6.44115E-003   0.00000E+000   1.18139E+000   1.93256E-007  -8.55315E-004   1.21999E-006
    16   8.74029E+002   5.94450E-003   0.00000E+000   1.25036E+000   1.96627E-007  -8.70282E-004  -3.64998E-007
    17   8.87653E+002   5.93198E-003   0.00000E+000   1.33123E+000   1.99600E-007  -8.82324E-004  -1.79509E-006
    18   9.01229E+002   6.26460E-003   0.00000E+000   1.41009E+000   2.02267E-007  -8.92688E-004  -2.88144E-006
    19   9.16451E+002   6.74756E-003   0.00000E+000   1.48291E+000   2.04638E-007  -9.01811E-004  -3.52839E-006
    20   9.31480E+002   7.25047E-003   0.00000E+000   1.54335E+000   2.06717E-007  -9.09308E-004  -3.72706E-006
    21   9.46781E+002   7.77514E-003   0.00000E+000   1.59289E+000   2.08547E-007  -9.15935E-004  -3.54102E-006
    22   9.62376E+002   8.40989E-003   0.00000E+000   1.63426E+000   2.10160E-007  -9.21714E-004  -3.08225E-006
    23   9.78204E+002   9.26018E-003   0.00000E+000   1.67116E+000   2.11560E-007  -9.26362E-004  -2.48483E-006
    24   9.94266E+002   1.03927E-002   0.00000E+000   1.70768E+000   2.12766E-007  -9.29981E-004  -1.87923E-006
    25   1.01051E+003   1.18199E-002   0.00000E+000   1.74624E+000   2.13794E-007  -9.32399E-004  -1.37153E-006
    26   1.02697E+003   1.35172E-002   0.00000E+000   1.78899E+000   2.14666E-007  -9.33931E-004  -1.03142E-006
    27   1.04357E+003   1.54512E-002   0.00000E+000   1.83491E+000   2.15384E-007  -9.34136E-004  -8.89273E-007
    28   1.06035E+003   1.75996E-002   0.00000E+000   1.88370E+000   2.15969E-007  -9.33446E-004  -9.37818E-007
    29   1.07731E+003   1.99536E-002   0.00000E+000   1.93167E+000   2.16414E-007  -9.31567E-004  -1.13788E-006
