#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.157491E+08   0.157491E+08   0.209985E+08   0.209985E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.160209E+01
   0.209601E-05   0.157491E+08   0.157491E+08   0.209985E+08   0.209985E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.163440E+01
   0.213829E-05   0.157491E+08   0.157491E+08   0.209985E+08   0.209985E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.166736E+01
   0.218141E-05   0.157491E+08   0.157491E+08   0.209985E+08   0.209985E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.170099E+01
   0.222541E-05   0.157491E+08   0.157491E+08   0.209985E+08   0.209984E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.173529E+01
   0.227029E-05   0.157491E+08   0.157491E+08   0.209984E+08   0.209984E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.177029E+01
   0.231608E-05   0.157491E+08   0.157491E+08   0.209984E+08   0.209984E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.180599E+01
   0.236279E-05   0.157491E+08   0.157491E+08   0.209984E+08   0.209984E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.184242E+01
   0.241044E-05   0.157491E+08   0.157491E+08   0.209984E+08   0.209984E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.187958E+01
   0.245906E-05   0.157491E+08   0.157491E+08   0.209984E+08   0.209984E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.191748E+01
   0.250865E-05   0.157491E+08   0.157491E+08   0.209984E+08   0.209983E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.195616E+01
   0.255925E-05   0.157491E+08   0.157491E+08   0.209983E+08   0.209983E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.199561E+01
   0.261086E-05   0.157491E+08   0.157491E+08   0.209983E+08   0.209983E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.203585E+01
   0.266352E-05   0.157491E+08   0.157491E+08   0.209983E+08   0.209983E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.207691E+01
   0.271724E-05   0.157491E+08   0.157491E+08   0.209983E+08   0.209983E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.211880E+01
   0.277204E-05   0.157491E+08   0.157491E+08   0.209983E+08   0.209982E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.216153E+01
   0.282795E-05   0.157491E+08   0.157491E+08   0.209982E+08   0.209982E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.220513E+01
   0.288498E-05   0.157491E+08   0.157491E+08   0.209982E+08   0.209982E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.224960E+01
   0.294317E-05   0.157491E+08   0.157491E+08   0.209982E+08   0.209982E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.229497E+01
   0.300253E-05   0.157491E+08   0.157491E+08   0.209982E+08   0.209981E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.234125E+01
   0.306308E-05   0.157491E+08   0.157491E+08   0.209981E+08   0.209981E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.238847E+01
   0.312486E-05   0.157491E+08   0.157491E+08   0.209981E+08   0.209981E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.243664E+01
   0.318788E-05   0.157491E+08   0.157491E+08   0.209981E+08   0.209980E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.248578E+01
   0.325218E-05   0.157491E+08   0.157491E+08   0.209980E+08   0.209980E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.253592E+01
   0.331777E-05   0.157491E+08   0.157491E+08   0.209980E+08   0.209980E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.258706E+01
   0.338468E-05   0.157491E+08   0.157491E+08   0.209980E+08   0.209980E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.263923E+01
   0.345294E-05   0.157491E+08   0.157491E+08   0.209979E+08   0.209979E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.269246E+01
   0.352258E-05   0.157491E+08   0.157491E+08   0.209979E+08   0.209979E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.274676E+01
   0.359363E-05   0.157491E+08   0.157491E+08   0.209979E+08   0.209978E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.280216E+01
   0.366610E-05   0.157491E+08   0.157491E+08   0.209978E+08   0.209978E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.285867E+01
   0.374004E-05   0.157491E+08   0.157491E+08   0.209978E+08   0.209978E+08   0.000000E+00   0.157491E+08   0.157491E+08   0.157584E+08  -0.566225E+00   0.117415E+08   0.117415E+08   0.291632E+01
