#    L    TT             EE             BB             TE          
     2   1.18832E+003   5.53179E-002   1.90246E-006   3.66718E+000
     3   1.11497E+003   9.19716E-002   3.81310E-006   4.59420E+000
     4   1.04463E+003   1.05700E-001   6.37268E-006   4.74660E+000
     5   9.89605E+002   9.62485E-002   9.59023E-006   4.43034E+000
     6   9.49175E+002   7.32964E-002   1.34752E-005   3.88779E+000
     7   9.20675E+002   4.81643E-002   1.80361E-005   3.27429E+000
     8   9.01337E+002   2.84592E-002   2.32793E-005   2.68305E+000
     9   8.89358E+002   1.66232E-002   2.92074E-005   2.16685E+000
    10   8.82840E+002   1.12927E-002   3.58187E-005   1.75473E+000
    11   8.80757E+002   9.58989E-003   4.31069E-005   1.45666E+000
    12   8.81915E+002   9.03607E-003   5.10620E-005   1.26834E+000
    13   8.85825E+002   8.37062E-003   5.96716E-005   1.17592E+000
    14   8.91594E+002   7.41818E-003   6.89237E-005   1.15829E+000
    15   8.99121E+002   6.52552E-003   7.88094E-005   1.19261E+000
    16   9.08034E+002   6.03219E-003   8.93248E-005   1.25748E+000
    17   9.17953E+002   6.02547E-003   1.00473E-004   1.33524E+000
    18   9.28294E+002   6.36685E-003   1.12265E-004   1.41206E+000
    19   9.40675E+002   6.86150E-003   1.24717E-004   1.48384E+000
    20   9.53193E+002   7.37870E-003   1.37850E-004   1.54407E+000
    21   9.66268E+002   7.91965E-003   1.51684E-004   1.59396E+000
    22   9.79882E+002   8.57200E-003   1.66234E-004   1.63601E+000
    23   9.93943E+002   9.44055E-003   1.81512E-004   1.67364E+000
    24   1.00842E+003   1.05915E-002   1.97516E-004   1.71076E+000
    25   1.02325E+003   1.20368E-002   2.14238E-004   1.74964E+000
    26   1.03844E+003   1.37519E-002   2.31662E-004   1.79240E+000
    27   1.05389E+003   1.57034E-002   2.49766E-004   1.83800E+000
    28   1.06963E+003   1.78692E-002   2.68532E-004   1.88620E+000
    29   1.08566E+003   2.02410E-002   2.87944E-004   1.93341E+000
    30   1.10193E+003   2.28190E-002   3.07997E-004   1.97796E+000
    31   1.11842E+003   2.56022E-002   3.28696E-004   2.01542E+000
    32   1.13517E+003   2.85868E-002   3.50057E-004   2.04451E+000
    33   1.15216E+003   3.17676E-002   3.72101E-004   2.06189E+000
    34   1.16935E+003   3.51457E-002   3.94855E-004   2.06712E+000
    35   1.18678E+003   3.87299E-002   4.18341E-004   2.05897E+000
    36   1.20444E+003   4.25381E-002   4.42574E-004   2.03825E+000
    37   1.22231E+003   4.65908E-002   4.67560E-004   2.00506E+000
    38   1.24039E+003   5.09114E-002   4.93289E-004   1.96055E+000
    39   1.25869E+003   5.55064E-002   5.19742E-004   1.90557E+000
    40   1.27706E+003   6.03839E-002   5.46895E-004   1.84071E+000
    41   1.29571E+003   6.55544E-002   5.74721E-004   1.76629E+000
    42   1.31450E+003   7.10183E-002   6.03197E-004   1.68243E+000
    43   1.33359E+003   7.67753E-002   6.32313E-004   1.58880E+000
    44   1.35269E+003   8.28169E-002   6.62069E-004   1.48444E+000
    45   1.37202E+003   8.91487E-002   6.92479E-004   1.36860E+000
    46   1.39159E+003   9.57802E-002   7.23568E-004   1.24039E+000
    47   1.41137E+003   1.02699E-001   7.55363E-004   1.09908E+000
    48   1.43129E+003   1.09910E-001   7.87893E-004   9.43771E-001
    49   1.45137E+003   1.17408E-001   8.21176E-004   7.74024E-001
    50   1.47177E+003   1.25216E-001   8.55218E-004   5.89700E-001
    51   1.49224E+003   1.33327E-001   8.90011E-004   3.91014E-001
    52   1.51311E+003   1.41722E-001   9.25534E-004   1.78119E-001
    53   1.53413E+003   1.50440E-001   9.61758E-004  -4.88808E-002
    54   1.55521E+003   1.59456E-001   9.98651E-004  -2.89451E-001
    55   1.57649E+003   1.68783E-001   1.03619E-003  -5.43131E-001
    56   1.59808E+003   1.78422E-001   1.07435E-003  -8.09824E-001
    57   1.61980E+003   1.88361E-001   1.11314E-003  -1.08962E+000
    58   1.64175E+003   1.98609E-001   1.15257E-003  -1.38286E+000
    59   1.66389E+003   2.09165E-001   1.19267E-003  -1.68960E+000
    60   1.68627E+003   2.19990E-001   1.23347E-003  -2.00877E+000
    61   1.70919E+003   2.31089E-001   1.27499E-003  -2.33933E+000
    62   1.73205E+003   2.42460E-001   1.31727E-003  -2.68268E+000
    63   1.75504E+003   2.54098E-001   1.36031E-003  -3.04044E+000
    64   1.77842E+003   2.66048E-001   1.40410E-003  -3.41444E+000
    65   1.80182E+003   2.78320E-001   1.44862E-003  -3.80593E+000
    66   1.82549E+003   2.90872E-001   1.49385E-003  -4.21365E+000
    67   1.84928E+003   3.03690E-001   1.53973E-003  -4.63528E+000
    68   1.87344E+003   3.16790E-001   1.58625E-003  -5.06926E+000
    69   1.89779E+003   3.30106E-001   1.63339E-003  -5.51280E+000
    70   1.92248E+003   3.43651E-001   1.68115E-003  -5.96624E+000
    71   1.94739E+003   3.57396E-001   1.72954E-003  -6.43088E+000
    72   1.97254E+003   3.71324E-001   1.77859E-003  -6.90794E+000
    73   1.99787E+003   3.85421E-001   1.82834E-003  -7.39814E+000
    74   2.02341E+003   3.99694E-001   1.87882E-003  -7.90067E+000
    75   2.04924E+003   4.14170E-001   1.93007E-003  -8.41435E+000
