#           k/h    P           
   1.00000E-004   5.16332E+002
   1.02020E-004   5.26336E+002
   1.04081E-004   5.36534E+002
   1.06184E-004   5.46928E+002
   1.08329E-004   5.57524E+002
   1.10517E-004   5.68325E+002
   1.12750E-004   5.79335E+002
   1.15027E-004   5.90557E+002
   1.17351E-004   6.01997E+002
   1.19722E-004   6.13659E+002
   1.22140E-004   6.25545E+002
   1.24608E-004   6.37662E+002
   1.27125E-004   6.50013E+002
   1.29693E-004   6.62602E+002
   1.32313E-004   6.75435E+002
   1.34986E-004   6.88516E+002
   1.37713E-004   7.01850E+002
   1.40495E-004   7.15441E+002
   1.43333E-004   7.29295E+002
   1.46228E-004   7.43417E+002
   1.49182E-004   7.57812E+002
   1.52196E-004   7.72484E+002
   1.55271E-004   7.87440E+002
   1.58407E-004   8.02685E+002
   1.61607E-004   8.18224E+002
   1.64872E-004   8.34063E+002
   1.68203E-004   8.50207E+002
   1.71601E-004   8.66663E+002
   1.75067E-004   8.83437E+002
   1.78604E-004   9.00534E+002
   1.82212E-004   9.17961E+002
   1.85893E-004   9.35724E+002
   1.89648E-004   9.53829E+002
   1.93479E-004   9.72283E+002
   1.97388E-004   9.91092E+002
   2.01375E-004   1.01026E+003
   2.05443E-004   1.02981E+003
   2.09594E-004   1.04972E+003
   2.13828E-004   1.07002E+003
   2.18147E-004   1.09072E+003
   2.22554E-004   1.11180E+003
   2.27050E-004   1.13330E+003
   2.31637E-004   1.15521E+003
   2.36316E-004   1.17754E+003
   2.41090E-004   1.20030E+003
   2.45960E-004   1.22349E+003
   2.50929E-004   1.24713E+003
   2.55998E-004   1.27123E+003
   2.61170E-004   1.29578E+003
   2.66446E-004   1.32081E+003
   2.71828E-004   1.34632E+003
   2.77319E-004   1.37231E+003
   2.82922E-004   1.39881E+003
   2.88637E-004   1.42581E+003
   2.94468E-004   1.45333E+003
   3.00417E-004   1.48137E+003
   3.06485E-004   1.50995E+003
   3.12677E-004   1.53908E+003
   3.18993E-004   1.56876E+003
   3.25437E-004   1.59901E+003
   3.32012E-004   1.62983E+003
   3.38719E-004   1.66124E+003
   3.45561E-004   1.69326E+003
   3.52542E-004   1.72588E+003
   3.59664E-004   1.75912E+003
   3.66930E-004   1.79299E+003
   3.74342E-004   1.82751E+003
   3.81904E-004   1.86268E+003
   3.89619E-004   1.89852E+003
   3.97490E-004   1.93503E+003
   4.05520E-004   1.97224E+003
   4.13712E-004   2.01016E+003
   4.22070E-004   2.04879E+003
   4.30596E-004   2.08815E+003
   4.39295E-004   2.12825E+003
   4.48169E-004   2.16911E+003
   4.57222E-004   2.21074E+003
   4.66459E-004   2.25315E+003
   4.75882E-004   2.29636E+003
   4.85496E-004   2.34038E+003
   4.95303E-004   2.38522E+003
   5.05309E-004   2.43091E+003
   5.15517E-004   2.47745E+003
   5.25931E-004   2.52486E+003
   5.36556E-004   2.57315E+003
   5.47395E-004   2.62235E+003
   5.58453E-004   2.67246E+003
   5.69734E-004   2.72350E+003
   5.81244E-004   2.77549E+003
   5.92986E-004   2.82845E+003
   6.04965E-004   2.88239E+003
   6.17186E-004   2.93732E+003
   6.29654E-004   2.99327E+003
   6.42374E-004   3.05025E+003
   6.55350E-004   3.10827E+003
   6.68589E-004   3.16737E+003
   6.82096E-004   3.22754E+003
   6.95875E-004   3.28882E+003
   7.09933E-004   3.35122E+003
   7.24274E-004   3.41476E+003
   7.38906E-004   3.47946E+003
   7.53832E-004   3.54533E+003
   7.69061E-004   3.61240E+003
   7.84597E-004   3.68068E+003
   8.00447E-004   3.75019E+003
   8.16617E-004   3.82096E+003
   8.33114E-004   3.89300E+003
   8.49944E-004   3.96633E+003
   8.67114E-004   4.04098E+003
   8.84631E-004   4.11696E+003
   9.02501E-004   4.19430E+003
   9.20733E-004   4.27301E+003
   9.39333E-004   4.35312E+003
   9.58309E-004   4.43464E+003
   9.77668E-004   4.51760E+003
