#           k/h    P           
   1.00000E-004   3.08725E+002
   1.02020E-004   3.14707E+002
   1.04081E-004   3.20805E+002
   1.06184E-004   3.27020E+002
   1.08329E-004   3.33356E+002
   1.10517E-004   3.39814E+002
   1.12750E-004   3.46397E+002
   1.15027E-004   3.53108E+002
   1.17351E-004   3.59948E+002
   1.19722E-004   3.66921E+002
   1.22140E-004   3.74028E+002
   1.24608E-004   3.81273E+002
   1.27125E-004   3.88659E+002
   1.29693E-004   3.96187E+002
   1.32313E-004   4.03860E+002
   1.34986E-004   4.11682E+002
   1.37713E-004   4.19655E+002
   1.40495E-004   4.27782E+002
   1.43333E-004   4.36066E+002
   1.46228E-004   4.44511E+002
   1.49182E-004   4.53118E+002
   1.52196E-004   4.61892E+002
   1.55271E-004   4.70835E+002
   1.58407E-004   4.79951E+002
   1.61607E-004   4.89243E+002
   1.64872E-004   4.98714E+002
   1.68203E-004   5.08368E+002
   1.71601E-004   5.18208E+002
   1.75067E-004   5.28239E+002
   1.78604E-004   5.38463E+002
   1.82212E-004   5.48883E+002
   1.85893E-004   5.59505E+002
   1.89648E-004   5.70332E+002
   1.93479E-004   5.81368E+002
   1.97388E-004   5.92616E+002
   2.01375E-004   6.04081E+002
   2.05443E-004   6.15767E+002
   2.09594E-004   6.27677E+002
   2.13828E-004   6.39818E+002
   2.18147E-004   6.52192E+002
   2.22554E-004   6.64804E+002
   2.27050E-004   6.77658E+002
   2.31637E-004   6.90760E+002
   2.36316E-004   7.04113E+002
   2.41090E-004   7.17724E+002
   2.45960E-004   7.31596E+002
   2.50929E-004   7.45734E+002
   2.55998E-004   7.60144E+002
   2.61170E-004   7.74830E+002
   2.66446E-004   7.89798E+002
   2.71828E-004   8.05053E+002
   2.77319E-004   8.20600E+002
   2.82922E-004   8.36446E+002
   2.88637E-004   8.52595E+002
   2.94468E-004   8.69053E+002
   3.00417E-004   8.85826E+002
   3.06485E-004   9.02919E+002
   3.12677E-004   9.20340E+002
   3.18993E-004   9.38093E+002
   3.25437E-004   9.56185E+002
   3.32012E-004   9.74622E+002
   3.38719E-004   9.93411E+002
   3.45561E-004   1.01256E+003
   3.52542E-004   1.03207E+003
   3.59664E-004   1.05195E+003
   3.66930E-004   1.07221E+003
   3.74342E-004   1.09286E+003
   3.81904E-004   1.11390E+003
   3.89619E-004   1.13534E+003
   3.97490E-004   1.15718E+003
   4.05520E-004   1.17944E+003
   4.13712E-004   1.20212E+003
   4.22070E-004   1.22523E+003
   4.30596E-004   1.24878E+003
   4.39295E-004   1.27277E+003
   4.48169E-004   1.29721E+003
   4.57222E-004   1.32211E+003
   4.66459E-004   1.34748E+003
   4.75882E-004   1.37333E+003
   4.85496E-004   1.39967E+003
   4.95303E-004   1.42650E+003
   5.05309E-004   1.45383E+003
   5.15517E-004   1.48167E+003
   5.25931E-004   1.51004E+003
   5.36556E-004   1.53893E+003
   5.47395E-004   1.56837E+003
   5.58453E-004   1.59835E+003
   5.69734E-004   1.62889E+003
   5.81244E-004   1.66000E+003
   5.92986E-004   1.69168E+003
   6.04965E-004   1.72395E+003
   6.17186E-004   1.75682E+003
   6.29654E-004   1.79029E+003
   6.42374E-004   1.82439E+003
   6.55350E-004   1.85911E+003
   6.68589E-004   1.89446E+003
   6.82096E-004   1.93047E+003
   6.95875E-004   1.96714E+003
   7.09933E-004   2.00447E+003
   7.24274E-004   2.04249E+003
   7.38906E-004   2.08120E+003
   7.53832E-004   2.12062E+003
   7.69061E-004   2.16074E+003
   7.84597E-004   2.20160E+003
   8.00447E-004   2.24319E+003
   8.16617E-004   2.28554E+003
   8.33114E-004   2.32864E+003
   8.49944E-004   2.37252E+003
   8.67114E-004   2.41718E+003
   8.84631E-004   2.46265E+003
   9.02501E-004   2.50892E+003
   9.20733E-004   2.55601E+003
   9.39333E-004   2.60394E+003
   9.58309E-004   2.65272E+003
   9.77668E-004   2.70236E+003
   9.97418E-004   2.75287E+003
   1.01757E-003   2.80426E+003
   1.03812E-003   2.85656E+003
   1.05910E-003   2.90976E+003
   1.08049E-003   2.96390E+003
   1.10232E-003   3.01896E+003
   1.12459E-003   3.07498E+003
   1.14730E-003   3.13196E+003
   1.17048E-003   3.18992E+003
   1.19413E-003   3.24887E+003
   1.21825E-003   3.30883E+003
   1.24286E-003   3.36980E+003
   1.26797E-003   3.43180E+003
   1.29358E-003   3.49484E+003
   1.31971E-003   3.55894E+003
   1.34637E-003   3.62410E+003
   1.37357E-003   3.69035E+003
