#    L    TT             EE             TE             PP             TP          
     2   1.18832E+003   5.53160E-002   3.66718E+000   1.15105E+006   3.29662E+004
     3   1.11496E+003   9.19678E-002   4.59421E+000   1.76985E+006   3.93469E+004
     4   1.04462E+003   1.05693E-001   4.74661E+000   2.32056E+006   4.24234E+004
     5   9.89585E+002   9.62389E-002   4.43036E+000   2.80726E+006   4.37106E+004
     6   9.49148E+002   7.32829E-002   3.88781E+000   3.23702E+006   4.39632E+004
     7   9.20639E+002   4.81463E-002   3.27433E+000   3.61828E+006   4.35982E+004
     8   9.01292E+002   2.84360E-002   2.68309E+000   3.95795E+006   4.28610E+004
     9   8.89301E+002   1.65941E-002   2.16691E+000   4.26198E+006   4.19104E+004
    10   8.82772E+002   1.12571E-002   1.75480E+000   4.53440E+006   4.08441E+004
    11   8.80676E+002   9.54712E-003   1.45673E+000   4.78020E+006   3.97398E+004
    12   8.81821E+002   8.98544E-003   1.26841E+000   5.00046E+006   3.86261E+004
    13   8.85716E+002   8.31145E-003   1.17598E+000   5.20038E+006   3.75418E+004
    14   8.91470E+002   7.34979E-003   1.15835E+000   5.38010E+006   3.64866E+004
    15   8.98981E+002   6.44725E-003   1.19266E+000   5.54341E+006   3.54694E+004
    16   9.07875E+002   5.94335E-003   1.25754E+000   5.69130E+006   3.44870E+004
    17   9.17776E+002   5.92538E-003   1.33531E+000   5.82419E+006   3.35356E+004
    18   9.28097E+002   6.25483E-003   1.41215E+000   5.94509E+006   3.26157E+004
    19   9.40457E+002   6.73686E-003   1.48396E+000   6.05449E+006   3.17181E+004
    20   9.52953E+002   7.24078E-003   1.54423E+000   6.15276E+006   3.08472E+004
    21   9.66005E+002   7.76777E-003   1.59417E+000   6.24134E+006   2.99983E+004
    22   9.79595E+002   8.40551E-003   1.63627E+000   6.32137E+006   2.91745E+004
    23   9.93632E+002   9.25878E-003   1.67394E+000   6.39306E+006   2.83776E+004
    24   1.00809E+003   1.03938E-002   1.71110E+000   6.45717E+006   2.76079E+004
    25   1.02289E+003   1.18225E-002   1.75002E+000   6.51428E+006   2.68690E+004
    26   1.03805E+003   1.35203E-002   1.79281E+000   6.56515E+006   2.61581E+004
    27   1.05348E+003   1.54540E-002   1.83845E+000   6.60992E+006   2.54800E+004
    28   1.06920E+003   1.76012E-002   1.88669E+000   6.64936E+006   2.48298E+004
    29   1.08520E+003   1.99537E-002   1.93396E+000   6.68331E+006   2.42092E+004
    30   1.10144E+003   2.25117E-002   1.97858E+000   6.71283E+006   2.36117E+004
    31   1.11790E+003   2.52743E-002   2.01612E+000   6.73770E+006   2.30391E+004
