#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.196377E+08   0.196377E+08   0.261831E+08   0.261831E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.119461E+01
   0.209601E-05   0.196377E+08   0.196377E+08   0.261831E+08   0.261831E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.121871E+01
   0.213829E-05   0.196377E+08   0.196377E+08   0.261831E+08   0.261830E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.124329E+01
   0.218141E-05   0.196377E+08   0.196377E+08   0.261830E+08   0.261830E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.126836E+01
   0.222541E-05   0.196377E+08   0.196377E+08   0.261830E+08   0.261830E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.129394E+01
   0.227029E-05   0.196377E+08   0.196377E+08   0.261830E+08   0.261830E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.132004E+01
   0.231608E-05   0.196377E+08   0.196377E+08   0.261830E+08   0.261829E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.134666E+01
   0.236279E-05   0.196377E+08   0.196377E+08   0.261829E+08   0.261829E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.137382E+01
   0.241044E-05   0.196377E+08   0.196377E+08   0.261829E+08   0.261829E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.140153E+01
   0.245906E-05   0.196377E+08   0.196377E+08   0.261829E+08   0.261829E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.142979E+01
   0.250865E-05   0.196377E+08   0.196377E+08   0.261828E+08   0.261828E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.145863E+01
   0.255925E-05   0.196377E+08   0.196377E+08   0.261828E+08   0.261828E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.148804E+01
   0.261086E-05   0.196377E+08   0.196377E+08   0.261828E+08   0.261827E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.151806E+01
   0.266352E-05   0.196377E+08   0.196377E+08   0.261827E+08   0.261827E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.154867E+01
   0.271724E-05   0.196377E+08   0.196377E+08   0.261827E+08   0.261827E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.157990E+01
   0.277204E-05   0.196377E+08   0.196377E+08   0.261827E+08   0.261826E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.161177E+01
   0.282795E-05   0.196377E+08   0.196377E+08   0.261826E+08   0.261826E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.164427E+01
   0.288498E-05   0.196377E+08   0.196377E+08   0.261826E+08   0.261825E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.167744E+01
   0.294317E-05   0.196377E+08   0.196377E+08   0.261825E+08   0.261825E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.171127E+01
   0.300253E-05   0.196377E+08   0.196377E+08   0.261825E+08   0.261825E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.174578E+01
   0.306308E-05   0.196377E+08   0.196377E+08   0.261824E+08   0.261824E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.178099E+01
   0.312486E-05   0.196377E+08   0.196377E+08   0.261824E+08   0.261824E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.181691E+01
   0.318788E-05   0.196377E+08   0.196377E+08   0.261823E+08   0.261823E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.185355E+01
   0.325218E-05   0.196377E+08   0.196377E+08   0.261823E+08   0.261822E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.189093E+01
   0.331777E-05   0.196377E+08   0.196377E+08   0.261822E+08   0.261822E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.192907E+01
   0.338468E-05   0.196377E+08   0.196377E+08   0.261822E+08   0.261821E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.196797E+01
   0.345294E-05   0.196377E+08   0.196377E+08   0.261821E+08   0.261821E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.200766E+01
   0.352258E-05   0.196377E+08   0.196377E+08   0.261820E+08   0.261820E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.204815E+01
   0.359363E-05   0.196377E+08   0.196377E+08   0.261820E+08   0.261819E+08   0.000000E+00   0.196377E+08   0.196377E+08   0.196454E+08  -0.467236E+00   0.100550E+08   0.100550E+08   0.208946E+01
