#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202461E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.159953E+01
   0.209601E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202461E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.163179E+01
   0.213829E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202461E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.166470E+01
   0.218141E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202461E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.169828E+01
   0.222541E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202461E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.173253E+01
   0.227029E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202461E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.176747E+01
   0.231608E-05   0.151848E+08   0.151848E+08   0.202461E+08   0.202460E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.180312E+01
   0.236279E-05   0.151848E+08   0.151848E+08   0.202460E+08   0.202460E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.183948E+01
   0.241044E-05   0.151848E+08   0.151848E+08   0.202460E+08   0.202460E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.187658E+01
   0.245906E-05   0.151848E+08   0.151848E+08   0.202460E+08   0.202460E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.191443E+01
   0.250865E-05   0.151848E+08   0.151848E+08   0.202460E+08   0.202460E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.195304E+01
   0.255925E-05   0.151848E+08   0.151848E+08   0.202460E+08   0.202460E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.199243E+01
   0.261086E-05   0.151848E+08   0.151848E+08   0.202460E+08   0.202459E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.203261E+01
   0.266352E-05   0.151848E+08   0.151848E+08   0.202459E+08   0.202459E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.207360E+01
   0.271724E-05   0.151848E+08   0.151848E+08   0.202459E+08   0.202459E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.211542E+01
   0.277204E-05   0.151848E+08   0.151848E+08   0.202459E+08   0.202459E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.215809E+01
   0.282795E-05   0.151848E+08   0.151848E+08   0.202459E+08   0.202459E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.220161E+01
   0.288498E-05   0.151848E+08   0.151848E+08   0.202458E+08   0.202458E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.224601E+01
   0.294317E-05   0.151848E+08   0.151848E+08   0.202458E+08   0.202458E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.229131E+01
   0.300253E-05   0.151848E+08   0.151848E+08   0.202458E+08   0.202458E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.233752E+01
   0.306308E-05   0.151848E+08   0.151848E+08   0.202458E+08   0.202457E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.238466E+01
   0.312486E-05   0.151848E+08   0.151848E+08   0.202457E+08   0.202457E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.243276E+01
   0.318788E-05   0.151848E+08   0.151848E+08   0.202457E+08   0.202457E+08   0.000000E+00   0.151848E+08   0.151848E+08   0.151938E+08  -0.542045E+00   0.113662E+08   0.113662E+08   0.248182E+01
