#    L    TT             EE             BB             TE          
     2   1.71252E+003   5.93583E-002   2.82361E-006   7.39231E+000
     3   1.97660E+003   9.79976E-002   5.66471E-006   9.45054E+000
     4   2.00703E+003   1.12957E-001   9.47858E-006   9.62987E+000
     5   1.94627E+003   1.03665E-001   1.42843E-005   8.67268E+000
     6   1.85755E+003   7.98223E-002   2.01015E-005   7.18809E+000
     7   1.76653E+003   5.30607E-002   2.69478E-005   5.59432E+000
     8   1.68269E+003   3.14064E-002   3.48359E-005   4.14777E+000
     9   1.60907E+003   1.77395E-002   4.37706E-005   2.98430E+000
    10   1.54517E+003   1.10441E-002   5.37470E-005   2.15484E+000
    11   1.49054E+003   8.63260E-003   6.47509E-005   1.64867E+000
    12   1.44357E+003   8.04769E-003   7.67601E-005   1.41667E+000
    13   1.40395E+003   7.90646E-003   8.97478E-005   1.39124E+000
    14   1.37021E+003   7.82258E-003   1.03688E-004   1.49848E+000
    15   1.34218E+003   7.90470E-003   1.18562E-004   1.67151E+000
    16   1.31908E+003   8.28115E-003   1.34362E-004   1.85637E+000
    17   1.30010E+003   8.89101E-003   1.51094E-004   2.01546E+000
    18   1.28451E+003   9.52699E-003   1.68781E-004   2.12717E+000
    19   1.27357E+003   9.99930E-003   1.87459E-004   2.18883E+000
    20   1.26499E+003   1.02388E-002   2.07170E-004   2.20203E+000
    21   1.25900E+003   1.03403E-002   2.27956E-004   2.17997E+000
    22   1.25533E+003   1.04919E-002   2.49852E-004   2.13806E+000
    23   1.25360E+003   1.08853E-002   2.72876E-004   2.09145E+000
    24   1.25364E+003   1.16483E-002   2.97027E-004   2.05318E+000
    25   1.25517E+003   1.28244E-002   3.22287E-004   2.03137E+000
    26   1.25808E+003   1.43927E-002   3.48618E-004   2.03054E+000
    27   1.26217E+003   1.63023E-002   3.75977E-004   2.04911E+000
    28   1.26736E+003   1.85008E-002   4.04321E-004   2.08416E+000
    29   1.27356E+003   2.09456E-002   4.33620E-004   2.12806E+000
    30   1.28069E+003   2.36056E-002   4.63861E-004   2.17473E+000
    31   1.28864E+003   2.64557E-002   4.95056E-004   2.21568E+000
    32   1.29743E+003   2.94776E-002   5.27235E-004   2.24655E+000
    33   1.30699E+003   3.26613E-002   5.60447E-004   2.26201E+000
    34   1.31722E+003   3.60107E-002   5.94746E-004   2.26085E+000
    35   1.32815E+003   3.95428E-002   6.30178E-004   2.24212E+000
    36   1.33971E+003   4.32861E-002   6.66777E-004   2.20771E+000
    37   1.35185E+003   4.72725E-002   7.04549E-004   2.15922E+000
    38   1.36455E+003   5.15355E-002   7.43476E-004   2.09946E+000
    39   1.37777E+003   5.60862E-002   7.83518E-004   2.03038E+000
    40   1.39135E+003   6.09356E-002   8.24621E-004   1.95353E+000
    41   1.40546E+003   6.60962E-002   8.66728E-004   1.86998E+000
    42   1.41995E+003   7.15651E-002   9.09793E-004   1.77973E+000
    43   1.43498E+003   7.73375E-002   9.53791E-004   1.68208E+000
    44   1.45021E+003   8.34000E-002   9.98725E-004   1.57537E+000
    45   1.46587E+003   8.97535E-002   1.04462E-003   1.45812E+000
    46   1.48195E+003   9.64041E-002   1.09154E-003   1.32875E+000
    47   1.49842E+003   1.03336E-001   1.13953E-003   1.18592E+000
    48   1.51519E+003   1.10555E-001   1.18865E-003   1.02838E+000
    49   1.53228E+003   1.18056E-001   1.23895E-003   8.55452E-001
    50   1.54984E+003   1.25861E-001   1.29043E-003   6.67121E-001
    51   1.56760E+003   1.33967E-001   1.34308E-003   4.63808E-001
    52   1.58589E+003   1.42358E-001   1.39685E-003   2.45965E-001
    53   1.60446E+003   1.51073E-001   1.45168E-003   1.40070E-002
    54   1.62319E+003   1.60089E-001   1.50750E-003  -2.31237E-001
    55   1.64223E+003   1.69421E-001   1.56426E-003  -4.89052E-001
    56   1.66168E+003   1.79067E-001   1.62192E-003  -7.59236E-001
    57   1.68134E+003   1.89018E-001   1.68048E-003  -1.04183E+000
    58   1.70132E+003   1.99281E-001   1.73998E-003  -1.33724E+000
    59   1.72157E+003   2.09854E-001   1.80046E-003  -1.64565E+000
    60   1.74214E+003   2.20694E-001   1.86200E-003  -1.96621E+000
    61   1.76333E+003   2.31809E-001   1.92466E-003  -2.29814E+000
    62   1.78453E+003   2.43195E-001   1.98848E-003  -2.64285E+000
    63   1.80592E+003   2.54846E-001   2.05349E-003  -3.00196E+000
    64   1.82778E+003   2.66809E-001   2.11966E-003  -3.37729E+000
    65   1.84972E+003   2.79094E-001   2.18695E-003  -3.77011E+000
    66   1.87199E+003   2.91658E-001   2.25529E-003  -4.17915E+000
    67   1.89442E+003   3.04489E-001   2.32460E-003  -4.60213E+000
    68   1.91729E+003   3.17602E-001   2.39483E-003  -5.03751E+000
    69   1.94039E+003   3.30932E-001   2.46594E-003  -5.48247E+000
    70   1.96388E+003   3.44491E-001   2.53792E-003  -5.93734E+000
    71   1.98763E+003   3.58250E-001   2.61081E-003  -6.40339E+000
    72   2.01166E+003   3.72193E-001   2.68467E-003  -6.88181E+000
    73   2.03592E+003   3.86304E-001   2.75957E-003  -7.37324E+000
    74   2.06042E+003   4.00592E-001   2.83560E-003  -7.87685E+000
    75   2.08526E+003   4.15083E-001   2.91279E-003  -8.39142E+000
    76   2.11034E+003   4.29795E-001   2.99119E-003  -8.91714E+000
    77   2.13574E+003   4.44713E-001   3.07076E-003  -9.45388E+000
    78   2.16150E+003   4.59852E-001   3.15146E-003  -1.00029E+001
    79   2.18747E+003   4.75147E-001   3.23322E-003  -1.05602E+001
    80   2.21377E+003   4.90590E-001   3.31597E-003  -1.11270E+001
    81   2.24031E+003   5.06122E-001   3.39963E-003  -1.17039E+001
    82   2.26716E+003   5.21768E-001   3.48417E-003  -1.22904E+001
    83   2.29424E+003   5.37501E-001   3.56959E-003  -1.28865E+001
    84   2.32163E+003   5.53321E-001   3.65592E-003  -1.34904E+001
    85   2.34919E+003   5.69202E-001   3.74325E-003  -1.41033E+001
    86   2.37699E+003   5.85157E-001   3.83165E-003  -1.47241E+001
    87   2.40527E+003   6.01154E-001   3.92120E-003  -1.53518E+001
    88   2.43357E+003   6.17207E-001   4.01198E-003  -1.59861E+001
    89   2.46228E+003   6.33296E-001   4.10399E-003  -1.66282E+001
    90   2.49125E+003   6.49385E-001   4.19724E-003  -1.72751E+001
    91   2.52040E+003   6.65464E-001   4.29167E-003  -1.79272E+001
    92   2.54988E+003   6.81520E-001   4.38722E-003  -1.85842E+001
    93   2.57969E+003   6.97544E-001   4.48379E-003  -1.92459E+001
    94   2.60960E+003   7.13499E-001   4.58133E-003  -1.99109E+001
    95   2.63983E+003   7.29385E-001   4.67979E-003  -2.05802E+001
    96   2.67008E+003   7.45187E-001   4.77919E-003  -2.12529E+001
    97   2.70080E+003   7.60891E-001   4.87956E-003  -2.19283E+001
