#    L    TT             EE             BB             TE             PP             TP             EP          
     2   1.71251E+003   5.93554E-002   0.00000E+000   7.39232E+000   1.50077E-007  -9.61879E-003  -2.43993E-005
     3   1.97658E+003   9.79920E-002   0.00000E+000   9.45055E+000   1.79703E-007  -1.10680E-002  -2.96030E-005
     4   2.00701E+003   1.12948E-001   0.00000E+000   9.62990E+000   2.03368E-007  -1.16676E-002  -3.06459E-005
     5   1.94624E+003   1.03651E-001   0.00000E+000   8.67273E+000   2.22665E-007  -1.18332E-002  -2.86249E-005
     6   1.85751E+003   7.98023E-002   0.00000E+000   7.18817E+000   2.38537E-007  -1.17687E-002  -2.45888E-005
     7   1.76648E+003   5.30338E-002   0.00000E+000   5.59444E+000   2.51763E-007  -1.15836E-002  -1.95600E-005
     8   1.68263E+003   3.13718E-002   0.00000E+000   4.14792E+000   2.62870E-007  -1.13361E-002  -1.44201E-005
     9   1.60899E+003   1.76960E-002   0.00000E+000   2.98448E+000   2.72260E-007  -1.10583E-002  -9.86943E-006
    10   1.54508E+003   1.09908E-002   0.00000E+000   2.15503E+000   2.80188E-007  -1.07649E-002  -6.37656E-006
    11   1.49043E+003   8.56852E-003   0.00000E+000   1.64886E+000   2.86949E-007  -1.04688E-002  -4.15572E-006
    12   1.44344E+003   7.97179E-003   0.00000E+000   1.41684E+000   2.92595E-007  -1.01705E-002  -3.19404E-006
    13   1.40379E+003   7.81775E-003   0.00000E+000   1.39138E+000   2.97421E-007  -9.87933E-003  -3.30757E-006
    14   1.37002E+003   7.72005E-003   0.00000E+000   1.49860E+000   3.01420E-007  -9.59279E-003  -4.19591E-006
    15   1.34197E+003   7.78733E-003   0.00000E+000   1.67160E+000   3.04795E-007  -9.31628E-003  -5.51676E-006
    16   1.31884E+003   8.14794E-003   0.00000E+000   1.85647E+000   3.07588E-007  -9.04920E-003  -6.93616E-006
    17   1.29983E+003   8.74092E-003   0.00000E+000   2.01559E+000   3.09812E-007  -8.79009E-003  -8.17550E-006
    18   1.28420E+003   9.35898E-003   0.00000E+000   2.12737E+000   3.11620E-007  -8.54233E-003  -9.04595E-006
    19   1.27322E+003   9.81234E-003   0.00000E+000   2.18912E+000   3.13028E-007  -8.30489E-003  -9.45370E-006
    20   1.26461E+003   1.00319E-002   0.00000E+000   2.20243E+000   3.14048E-007  -8.07613E-003  -9.39513E-006
    21   1.25858E+003   1.01123E-002   0.00000E+000   2.18049E+000   3.14748E-007  -7.85698E-003  -8.94172E-006
    22   1.25487E+003   1.02418E-002   0.00000E+000   2.13868E+000   3.15178E-007  -7.64724E-003  -8.21419E-006
    23   1.25310E+003   1.06120E-002   0.00000E+000   2.09215E+000   3.15343E-007  -7.44550E-003  -7.35423E-006
    24   1.25310E+003   1.13509E-002   0.00000E+000   2.05395E+000   3.15276E-007  -7.25149E-003  -6.49885E-006
    25   1.25459E+003   1.25018E-002   0.00000E+000   2.03217E+000   3.14998E-007  -7.06452E-003  -5.75845E-006
    26   1.25746E+003   1.40440E-002   0.00000E+000   2.03136E+000   3.14543E-007  -6.88470E-003  -5.20477E-006
    27   1.26150E+003   1.59265E-002   0.00000E+000   2.04995E+000   3.13914E-007  -6.71080E-003  -4.86825E-006
    28   1.26665E+003   1.80968E-002   0.00000E+000   2.08504E+000   3.13141E-007  -6.54312E-003  -4.74051E-006
    29   1.27280E+003   2.05124E-002   0.00000E+000   2.12901E+000   3.12214E-007  -6.38054E-003  -4.77935E-006
    30   1.27989E+003   2.31422E-002   0.00000E+000   2.17580E+000   3.11180E-007  -6.22399E-003  -4.92305E-006
    31   1.28779E+003   2.59611E-002   0.00000E+000   2.21694E+000   3.10024E-007  -6.07236E-003  -5.10423E-006
    32   1.29654E+003   2.89509E-002   0.00000E+000   2.24802E+000   3.08777E-007  -5.92608E-003  -5.26435E-006
    33   1.30605E+003   3.21014E-002   0.00000E+000   2.26373E+000   3.07433E-007  -5.78440E-003  -5.35805E-006
    34   1.31623E+003   3.54165E-002   0.00000E+000   2.26284E+000   3.06015E-007  -5.64771E-003  -5.35791E-006
    35   1.32711E+003   3.89134E-002   0.00000E+000   2.24437E+000   3.04522E-007  -5.51554E-003  -5.25707E-006
    36   1.33862E+003   4.26206E-002   0.00000E+000   2.21019E+000   3.02961E-007  -5.38769E-003  -5.06984E-006
    37   1.35070E+003   4.65698E-002   0.00000E+000   2.16189E+000   3.01345E-007  -5.26387E-003  -4.82469E-006
    38   1.36335E+003   5.07946E-002   0.00000E+000   2.10228E+000   2.99676E-007  -5.14400E-003  -4.55483E-006
    39   1.37652E+003   5.53062E-002   0.00000E+000   2.03334E+000   2.97960E-007  -5.02787E-003  -4.28947E-006
    40   1.39003E+003   6.01157E-002   0.00000E+000   1.95661E+000   2.96203E-007  -4.91522E-003  -4.05648E-006
    41   1.40409E+003   6.52353E-002   0.00000E+000   1.87318E+000   2.94408E-007  -4.80584E-003  -3.87928E-006
    42   1.41853E+003   7.06625E-002   0.00000E+000   1.78310E+000   2.92582E-007  -4.69963E-003  -3.76379E-006
    43   1.43349E+003   7.63922E-002   0.00000E+000   1.68567E+000   2.90729E-007  -4.59649E-003  -3.70848E-006
    44   1.44867E+003   8.24112E-002   0.00000E+000   1.57923E+000   2.88851E-007  -4.49629E-003  -3.69952E-006
