#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.106844E+08   0.106844E+08   0.142456E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542047E+00   0.113662E+08   0.113662E+08   0.155390E+01
   0.209601E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.158524E+01
   0.213829E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.161721E+01
   0.218141E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.164983E+01
   0.222541E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.168310E+01
   0.227029E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.171705E+01
   0.231608E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.175168E+01
   0.236279E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142455E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.178700E+01
   0.241044E-05   0.106844E+08   0.106844E+08   0.142455E+08   0.142454E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.182304E+01
   0.245906E-05   0.106844E+08   0.106844E+08   0.142454E+08   0.142454E+08   0.000000E+00   0.106844E+08   0.106844E+08   0.106907E+08  -0.542048E+00   0.113662E+08   0.113662E+08   0.185981E+01
