#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.312488E+08   0.312488E+08   0.416645E+08   0.416644E+08   0.000000E+00   0.312488E+08   0.312488E+08   0.312610E+08  -0.420916E+00   0.712850E+07   0.712850E+07   0.125017E+01
   0.209601E-05   0.312488E+08   0.312488E+08   0.416644E+08   0.416644E+08   0.000000E+00   0.312488E+08   0.312488E+08   0.312610E+08  -0.420916E+00   0.712850E+07   0.712850E+07   0.127539E+01
   0.213829E-05   0.312488E+08   0.312488E+08   0.416644E+08   0.416644E+08   0.000000E+00   0.312488E+08   0.312488E+08   0.312610E+08  -0.420916E+00   0.712851E+07   0.712851E+07   0.130111E+01
   0.218141E-05   0.312488E+08   0.312488E+08   0.416643E+08   0.416643E+08   0.000000E+00   0.312488E+08   0.312488E+08   0.312610E+08  -0.420916E+00   0.712851E+07   0.712851E+07   0.132735E+01
   0.222541E-05   0.312488E+08   0.312488E+08   0.416643E+08   0.416643E+08   0.000000E+00   0.312488E+08   0.312488E+08   0.312610E+08  -0.420916E+00   0.712852E+07   0.712852E+07   0.135412E+01
   0.227029E-05   0.312488E+08   0.312488E+08   0.416643E+08   0.416642E+08   0.000000E+00   0.312488E+08   0.312488E+08   0.312610E+08  -0.420916E+00   0.712852E+07   0.712852E+07   0.138143E+01
   0.231608E-05   0.312487E+08   0.312487E+08   0.416642E+08   0.416642E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312610E+08  -0.420916E+00   0.712852E+07   0.712852E+07   0.140929E+01
   0.236279E-05   0.312487E+08   0.312487E+08   0.416642E+08   0.416642E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312610E+08  -0.420916E+00   0.712853E+07   0.712853E+07   0.143771E+01
   0.241044E-05   0.312487E+08   0.312487E+08   0.416641E+08   0.416641E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312610E+08  -0.420915E+00   0.712853E+07   0.712853E+07   0.146671E+01
   0.245906E-05   0.312487E+08   0.312487E+08   0.416641E+08   0.416641E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312610E+08  -0.420915E+00   0.712854E+07   0.712854E+07   0.149629E+01
   0.250865E-05   0.312487E+08   0.312487E+08   0.416640E+08   0.416640E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312610E+08  -0.420915E+00   0.712854E+07   0.712854E+07   0.152647E+01
   0.255925E-05   0.312487E+08   0.312487E+08   0.416640E+08   0.416640E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312609E+08  -0.420915E+00   0.712855E+07   0.712855E+07   0.155725E+01
   0.261086E-05   0.312487E+08   0.312487E+08   0.416639E+08   0.416639E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312609E+08  -0.420915E+00   0.712856E+07   0.712856E+07   0.158866E+01
   0.266352E-05   0.312487E+08   0.312487E+08   0.416639E+08   0.416639E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312609E+08  -0.420915E+00   0.712856E+07   0.712856E+07   0.162070E+01
   0.271724E-05   0.312487E+08   0.312487E+08   0.416638E+08   0.416638E+08   0.000000E+00   0.312487E+08   0.312487E+08   0.312609E+08  -0.420915E+00   0.712857E+07   0.712857E+07   0.165338E+01
   0.277204E-05   0.312486E+08   0.312486E+08   0.416638E+08   0.416637E+08   0.000000E+00   0.312486E+08   0.312486E+08   0.312609E+08  -0.420914E+00   0.712857E+07   0.712857E+07   0.168673E+01
