#           k/h    P           
   1.00000E-004   5.50195E+002
   1.02020E-004   5.60909E+002
   1.04081E-004   5.71833E+002
   1.06184E-004   5.82969E+002
   1.08329E-004   5.94322E+002
   1.10517E-004   6.05897E+002
   1.12750E-004   6.17696E+002
   1.15027E-004   6.29724E+002
   1.17351E-004   6.41986E+002
   1.19722E-004   6.54486E+002
   1.22140E-004   6.67228E+002
   1.24608E-004   6.80216E+002
   1.27125E-004   6.93454E+002
   1.29693E-004   7.06948E+002
   1.32313E-004   7.20701E+002
   1.34986E-004   7.34718E+002
   1.37713E-004   7.49003E+002
   1.40495E-004   7.63561E+002
   1.43333E-004   7.78395E+002
   1.46228E-004   7.93511E+002
   1.49182E-004   8.08913E+002
   1.52196E-004   8.24605E+002
   1.55271E-004   8.40590E+002
   1.58407E-004   8.56875E+002
   1.61607E-004   8.73461E+002
   1.64872E-004   8.90354E+002
   1.68203E-004   9.07556E+002
   1.71601E-004   9.25072E+002
   1.75067E-004   9.42905E+002
   1.78604E-004   9.61059E+002
   1.82212E-004   9.79536E+002
   1.85893E-004   9.98339E+002
   1.89648E-004   1.01747E+003
   1.93479E-004   1.03693E+003
   1.97388E-004   1.05673E+003
   2.01375E-004   1.07685E+003
   2.05443E-004   1.09732E+003
   2.09594E-004   1.11812E+003
   2.13828E-004   1.13925E+003
   2.18147E-004   1.16072E+003
   2.22554E-004   1.18252E+003
   2.27050E-004   1.20465E+003
   2.31637E-004   1.22712E+003
   2.36316E-004   1.24990E+003
   2.41090E-004   1.27301E+003
   2.45960E-004   1.29644E+003
   2.50929E-004   1.32017E+003
   2.55998E-004   1.34421E+003
   2.61170E-004   1.36855E+003
   2.66446E-004   1.39317E+003
   2.71828E-004   1.41807E+003
   2.77319E-004   1.44323E+003
   2.82922E-004   1.46865E+003
   2.88637E-004   1.49430E+003
   2.94468E-004   1.52018E+003
   3.00417E-004   1.54627E+003
   3.06485E-004   1.57254E+003
   3.12677E-004   1.59899E+003
   3.18993E-004   1.62558E+003
   3.25437E-004   1.65231E+003
   3.32012E-004   1.67914E+003
   3.38719E-004   1.70605E+003
   3.45561E-004   1.73301E+003
   3.52542E-004   1.76001E+003
   3.59664E-004   1.78701E+003
   3.66930E-004   1.81398E+003
   3.74342E-004   1.84089E+003
   3.81904E-004   1.86772E+003
   3.89619E-004   1.89444E+003
   3.97490E-004   1.92100E+003
   4.05520E-004   1.94740E+003
   4.13712E-004   1.97358E+003
   4.22070E-004   1.99952E+003
   4.30596E-004   2.02520E+003
   4.39295E-004   2.05058E+003
   4.48169E-004   2.07564E+003
   4.57222E-004   2.10034E+003
   4.66459E-004   2.12467E+003
   4.75882E-004   2.14861E+003
   4.85496E-004   2.17212E+003
   4.95303E-004   2.19520E+003
   5.05309E-004   2.21783E+003
   5.15517E-004   2.23999E+003
   5.25931E-004   2.26168E+003
   5.36556E-004   2.28289E+003
   5.47395E-004   2.30361E+003
   5.58453E-004   2.32384E+003
   5.69734E-004   2.34359E+003
   5.81244E-004   2.36286E+003
   5.92986E-004   2.38166E+003
   6.04965E-004   2.40000E+003
   6.17186E-004   2.41790E+003
   6.29654E-004   2.43537E+003
   6.42374E-004   2.45244E+003
   6.55350E-004   2.46912E+003
   6.68589E-004   2.48544E+003
   6.82096E-004   2.50143E+003
   6.95875E-004   2.51710E+003
   7.09933E-004   2.53250E+003
   7.24274E-004   2.54765E+003
   7.38906E-004   2.56258E+003
   7.53832E-004   2.57732E+003
   7.69061E-004   2.59190E+003
   7.84597E-004   2.60636E+003
   8.00447E-004   2.62072E+003
   8.16617E-004   2.63502E+003
   8.33114E-004   2.64929E+003
   8.49944E-004   2.66355E+003
   8.67114E-004   2.67784E+003
   8.84631E-004   2.69219E+003
   9.02501E-004   2.70663E+003
   9.20733E-004   2.72118E+003
   9.39333E-004   2.73588E+003
   9.58309E-004   2.75074E+003
   9.77668E-004   2.76581E+003
   9.97418E-004   2.78109E+003
   1.01757E-003   2.79663E+003
   1.03812E-003   2.81244E+003
   1.05910E-003   2.82854E+003
   1.08049E-003   2.84496E+003
   1.10232E-003   2.86173E+003
   1.12459E-003   2.87885E+003
   1.14730E-003   2.89636E+003
   1.17048E-003   2.91427E+003
   1.19413E-003   2.93260E+003
   1.21825E-003   2.95137E+003
   1.24286E-003   2.97060E+003
   1.26797E-003   2.99030E+003
   1.29358E-003   3.01049E+003
   1.31971E-003   3.03119E+003
   1.34637E-003   3.05241E+003
   1.37357E-003   3.07417E+003
   1.40132E-003   3.09648E+003
   1.42963E-003   3.11935E+003
   1.45851E-003   3.14280E+003
   1.48797E-003   3.16684E+003
   1.51803E-003   3.19148E+003
   1.54870E-003   3.21674E+003
   1.57998E-003   3.24262E+003
   1.61190E-003   3.26913E+003
   1.64446E-003   3.29629E+003
   1.67768E-003   3.32410E+003
   1.71158E-003   3.35258E+003
   1.74615E-003   3.38174E+003
   1.78143E-003   3.41157E+003
   1.81741E-003   3.44210E+003
   1.85413E-003   3.47333E+003
   1.89158E-003   3.50526E+003
   1.92980E-003   3.53791E+003
   1.96878E-003   3.57128E+003
   2.00855E-003   3.60537E+003
   2.04913E-003   3.64020E+003
   2.09052E-003   3.67577E+003
   2.13276E-003   3.71208E+003
   2.17584E-003   3.74914E+003
   2.21979E-003   3.78696E+003
   2.26464E-003   3.82553E+003
   2.31039E-003   3.86487E+003
   2.35706E-003   3.90497E+003
   2.40467E-003   3.94584E+003
   2.45325E-003   3.98748E+003
   2.50281E-003   4.02990E+003
   2.55337E-003   4.07309E+003
   2.60495E-003   4.11705E+003
   2.65758E-003   4.16180E+003
   2.71126E-003   4.20732E+003
   2.76603E-003   4.25362E+003
   2.82191E-003   4.30069E+003
   2.87892E-003   4.34855E+003
   2.93708E-003   4.39718E+003
   2.99641E-003   4.44658E+003
   3.05694E-003   4.49675E+003
   3.11870E-003   4.54768E+003
   3.18170E-003   4.59938E+003
   3.24597E-003   4.65184E+003
   3.31155E-003   4.70505E+003
   3.37844E-003   4.75901E+003
   3.44669E-003   4.81371E+003
   3.51632E-003   4.86915E+003
   3.58735E-003   4.92531E+003
   3.65982E-003   4.98218E+003
   3.73376E-003   5.03977E+003
   3.80918E-003   5.09805E+003
   3.88613E-003   5.15702E+003
   3.96464E-003   5.21666E+003
   4.04473E-003   5.27696E+003
   4.12644E-003   5.33792E+003
   4.20980E-003   5.39950E+003
   4.29484E-003   5.46170E+003
   4.38160E-003   5.52450E+003
   4.47012E-003   5.58789E+003
   4.56042E-003   5.65183E+003
   4.65255E-003   5.71633E+003
   4.74653E-003   5.78134E+003
   4.84242E-003   5.84685E+003
   4.94024E-003   5.91285E+003
   5.04004E-003   5.97929E+003
   5.14186E-003   6.04617E+003
   5.24573E-003   6.11344E+003
   5.35170E-003   6.18108E+003
   5.45981E-003   6.24907E+003
   5.57011E-003   6.31738E+003
   5.68263E-003   6.38596E+003
   5.79743E-003   6.45479E+003
   5.91455E-003   6.52383E+003
   6.03403E-003   6.59305E+003
   6.15592E-003   6.66241E+003
   6.28028E-003   6.73187E+003
   6.40715E-003   6.80138E+003
   6.53658E-003   6.87091E+003
