#    L    TT             EE             TE             PP             TP          
     2   2.45323E+003   3.34164E-002  -1.53742E-001   3.04624E+005   3.54620E+004
     3   2.71746E+003   5.68330E-002  -5.84263E-001   4.28709E+005   4.61542E+004
     4   2.80495E+003   6.53127E-002  -1.60288E-001   5.34335E+005   5.34129E+004
     5   2.79611E+003   5.99724E-002   1.04999E+000   6.26448E+005   5.82937E+004
     6   2.73741E+003   4.88492E-002   2.75685E+000   7.07847E+005   6.15562E+004
     7   2.65532E+003   4.01131E-002   4.61415E+000   7.80725E+005   6.37133E+004
     8   2.56442E+003   3.79667E-002   6.31823E+000   8.46564E+005   6.51023E+004
     9   2.47369E+003   4.18986E-002   7.65370E+000   9.06525E+005   6.59582E+004
    10   2.38717E+003   4.84004E-002   8.50576E+000   9.61309E+005   6.64279E+004
    11   2.30785E+003   5.34518E-002   8.85524E+000   1.01181E+006   6.66407E+004
    12   2.23607E+003   5.44024E-002   8.75033E+000   1.05811E+006   6.66485E+004
    13   2.17237E+003   5.07215E-002   8.29014E+000   1.10117E+006   6.65331E+004
    14   2.11561E+003   4.35712E-002   7.59059E+000   1.14087E+006   6.63060E+004
    15   2.06534E+003   3.49273E-002   6.77165E+000   1.17792E+006   6.60062E+004
    16   2.02080E+003   2.66547E-002   5.93770E+000   1.21240E+006   6.56442E+004
    17   1.98123E+003   1.99854E-002   5.16959E+000   1.24433E+006   6.52242E+004
    18   1.94551E+003   1.54087E-002   4.52014E+000   1.27425E+006   6.47677E+004
    19   1.91468E+003   1.28460E-002   4.01858E+000   1.30220E+006   6.42711E+004
    20   1.88682E+003   1.19087E-002   3.66442E+000   1.32820E+006   6.37414E+004
    21   1.86187E+003   1.21390E-002   3.44265E+000   1.35249E+006   6.31836E+004
    22   1.83972E+003   1.31264E-002   3.32626E+000   1.37527E+006   6.26065E+004
    23   1.82014E+003   1.45454E-002   3.28239E+000   1.39653E+006   6.20127E+004
    24   1.80290E+003   1.61515E-002   3.27928E+000   1.41639E+006   6.14054E+004
    25   1.78798E+003   1.77700E-002   3.28866E+000   1.43494E+006   6.07924E+004
    26   1.77511E+003   1.92978E-002   3.29059E+000   1.45232E+006   6.01749E+004
    27   1.76430E+003   2.07059E-002   3.27111E+000   1.46852E+006   5.95591E+004
    28   1.75525E+003   2.20374E-002   3.22610E+000   1.48368E+006   5.89436E+004
    29   1.74801E+003   2.33874E-002   3.15511E+000   1.49773E+006   5.83309E+004
    30   1.74225E+003   2.48764E-002   3.06464E+000   1.51090E+006   5.77213E+004
    31   1.73800E+003   2.66151E-002   2.96085E+000   1.52311E+006   5.71163E+004
    32   1.73502E+003   2.86860E-002   2.85293E+000   1.53450E+006   5.65145E+004
    33   1.73332E+003   3.11309E-002   2.74679E+000   1.54504E+006   5.59162E+004
    34   1.73268E+003   3.39576E-002   2.64793E+000   1.55483E+006   5.53204E+004
    35   1.73312E+003   3.71490E-002   2.55810E+000   1.56388E+006   5.47278E+004
    36   1.73452E+003   4.06768E-002   2.47752E+000   1.57223E+006   5.41377E+004
    37   1.73685E+003   4.45095E-002   2.40361E+000   1.57992E+006   5.35519E+004
    38   1.74005E+003   4.86176E-002   2.33290E+000   1.58698E+006   5.29696E+004
    39   1.74411E+003   5.29765E-002   2.26125E+000   1.59344E+006   5.23914E+004
    40   1.74883E+003   5.75685E-002   2.18431E+000   1.59932E+006   5.18185E+004
    41   1.75440E+003   6.23840E-002   2.09796E+000   1.60465E+006   5.12517E+004
    42   1.76066E+003   6.74251E-002   1.99981E+000   1.60947E+006   5.06913E+004
    43   1.76774E+003   7.27000E-002   1.88796E+000   1.61380E+006   5.01373E+004
    44   1.77532E+003   7.82159E-002   1.76167E+000   1.61765E+006   4.95898E+004
    45   1.78358E+003   8.39959E-002   1.62107E+000   1.62104E+006   4.90490E+004
    46   1.79251E+003   9.00672E-002   1.46704E+000   1.62399E+006   4.85146E+004
    47   1.80206E+003   9.64334E-002   1.30081E+000   1.62653E+006   4.79864E+004
    48   1.81211E+003   1.03108E-001   1.12324E+000   1.62868E+006   4.74644E+004
    49   1.82269E+003   1.10090E-001   9.35355E-001   1.63045E+006   4.69483E+004
    50   1.83391E+003   1.17398E-001   7.37736E-001   1.63186E+006   4.64379E+004
    51   1.84549E+003   1.25021E-001   5.30913E-001   1.63292E+006   4.59329E+004
    52   1.85776E+003   1.32931E-001   3.14582E-001   1.63364E+006   4.54332E+004
    53   1.87046E+003   1.41156E-001   8.81096E-002   1.63405E+006   4.49389E+004
    54   1.88348E+003   1.49667E-001  -1.49053E-001   1.63416E+006   4.44499E+004
    55   1.89695E+003   1.58472E-001  -3.97552E-001   1.63397E+006   4.39666E+004
    56   1.91096E+003   1.67567E-001  -6.58143E-001   1.63350E+006   4.34890E+004
    57   1.92533E+003   1.76941E-001  -9.31630E-001   1.63277E+006   4.30169E+004
    58   1.94016E+003   1.86604E-001  -1.21879E+000   1.63178E+006   4.25508E+004
    59   1.95540E+003   1.96558E-001  -1.51989E+000   1.63055E+006   4.20908E+004
    60   1.97108E+003   2.06770E-001  -1.83338E+000   1.62908E+006   4.16366E+004
    61   1.98749E+003   2.17252E-001  -2.15774E+000   1.62739E+006   4.11881E+004
    62   2.00401E+003   2.28003E-001  -2.49415E+000   1.62548E+006   4.07451E+004
    63   2.02083E+003   2.39019E-001  -2.84414E+000   1.62336E+006   4.03074E+004
    64   2.03822E+003   2.50346E-001  -3.20943E+000   1.62104E+006   3.98750E+004
    65   2.05577E+003   2.61993E-001  -3.59117E+000   1.61853E+006   3.94478E+004
    66   2.07375E+003   2.73918E-001  -3.98796E+000   1.61583E+006   3.90256E+004
    67   2.09198E+003   2.86109E-001  -4.39739E+000   1.61296E+006   3.86083E+004
    68   2.11073E+003   2.98583E-001  -4.81783E+000   1.60993E+006   3.81957E+004
    69   2.12978E+003   3.11271E-001  -5.24664E+000   1.60673E+006   3.77880E+004
    70   2.14929E+003   3.24190E-001  -5.68436E+000   1.60339E+006   3.73851E+004
    71   2.16915E+003   3.37310E-001  -6.13251E+000   1.59990E+006   3.69869E+004
    72   2.18935E+003   3.50614E-001  -6.59252E+000   1.59626E+006   3.65935E+004
    73   2.20985E+003   3.64088E-001  -7.06530E+000   1.59249E+006   3.62048E+004
    74   2.23065E+003   3.77739E-001  -7.55028E+000   1.58860E+006   3.58209E+004
    75   2.25185E+003   3.91597E-001  -8.04645E+000   1.58457E+006   3.54417E+004
    76   2.27335E+003   4.05679E-001  -8.55397E+000   1.58044E+006   3.50672E+004
    77   2.29522E+003   4.19972E-001  -9.07266E+000   1.57618E+006   3.46973E+004
    78   2.31750E+003   4.34494E-001  -9.60363E+000   1.57183E+006   3.43318E+004
    79   2.34005E+003   4.49180E-001  -1.01428E+001   1.56736E+006   3.39707E+004
    80   2.36297E+003   4.64025E-001  -1.06914E+001   1.56280E+006   3.36140E+004
    81   2.38620E+003   4.78972E-001  -1.12498E+001   1.55815E+006   3.32614E+004
    82   2.40978E+003   4.94045E-001  -1.18174E+001   1.55341E+006   3.29130E+004
    83   2.43364E+003   5.09221E-001  -1.23944E+001   1.54859E+006   3.25687E+004
    84   2.45786E+003   5.24499E-001  -1.29789E+001   1.54368E+006   3.22285E+004
    85   2.48229E+003   5.39854E-001  -1.35724E+001   1.53870E+006   3.18923E+004
    86   2.50701E+003   5.55300E-001  -1.41739E+001   1.53365E+006   3.15600E+004
    87   2.53225E+003   5.70807E-001  -1.47825E+001   1.52852E+006   3.12318E+004
    88   2.55755E+003   5.86386E-001  -1.53981E+001   1.52333E+006   3.09074E+004
    89   2.58330E+003   6.02023E-001  -1.60220E+001   1.51808E+006   3.05869E+004
    90   2.60934E+003   6.17678E-001  -1.66511E+001   1.51277E+006   3.02703E+004
    91   2.63561E+003   6.33345E-001  -1.72861E+001   1.50740E+006   2.99574E+004
    92   2.66224E+003   6.49011E-001  -1.79264E+001   1.50199E+006   2.96482E+004
    93   2.68924E+003   6.64669E-001  -1.85721E+001   1.49652E+006   2.93428E+004
    94   2.71637E+003   6.80282E-001  -1.92216E+001   1.49100E+006   2.90409E+004
    95   2.74386E+003   6.95853E-001  -1.98759E+001   1.48544E+006   2.87427E+004
