#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   2.45323E+003  -1.53742E-001   1.55310E-003  -1.53742E-001   3.34164E-002  -3.19159E-006   1.55310E-003  -3.19159E-006   2.44750E-009
     3   2.71746E+003  -5.84263E-001   1.19785E-003  -5.84263E-001   5.68330E-002  -2.62555E-006   1.19785E-003  -2.62555E-006   1.36078E-009
     4   2.80495E+003  -1.60288E-001   9.74698E-004  -1.60288E-001   6.53127E-002  -1.77426E-006   9.74698E-004  -1.77426E-006   8.94399E-010
     5   2.79611E+003   1.04999E+000   8.16971E-004   1.04999E+000   5.99724E-002  -9.21386E-007   8.16971E-004  -9.21386E-007   6.44249E-010
     6   2.73741E+003   2.75685E+000   6.98942E-004   2.75685E+000   4.88492E-002  -1.62008E-007   6.98942E-004  -1.62008E-007   4.91487E-010
     7   2.65532E+003   4.61415E+000   6.07432E-004   4.61415E+000   4.01131E-002   4.59516E-007   6.07432E-004   4.59516E-007   3.90141E-010
     8   2.56442E+003   6.31823E+000   5.34605E-004   6.31823E+000   3.79667E-002   9.24748E-007   5.34605E-004   9.24748E-007   3.18831E-010
     9   2.47369E+003   7.65370E+000   4.75508E-004   7.65370E+000   4.18986E-002   1.23305E-006   4.75508E-004   1.23305E-006   2.66428E-010
    10   2.38717E+003   8.50576E+000   4.26694E-004   8.50576E+000   4.84004E-002   1.39682E-006   4.26694E-004   1.39682E-006   2.26560E-010
    11   2.30785E+003   8.85524E+000   3.85931E-004   8.85524E+000   5.34518E-002   1.43875E-006   3.85931E-004   1.43875E-006   1.95448E-010
    12   2.23607E+003   8.75033E+000   3.51354E-004   8.75033E+000   5.44024E-002   1.38609E-006   3.51354E-004   1.38609E-006   1.70553E-010
    13   2.17237E+003   8.29014E+000   3.21850E-004   8.29014E+000   5.07215E-002   1.26882E-006   3.21850E-004   1.26882E-006   1.50342E-010
