#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.187656E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.134096E+01
   0.191443E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.136802E+01
   0.195306E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.139563E+01
   0.199248E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.142379E+01
   0.203269E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.145253E+01
   0.207371E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.148184E+01
   0.211556E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.151174E+01
   0.215826E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.154225E+01
   0.220181E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.157338E+01
   0.224625E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.160513E+01
   0.229158E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.163752E+01
   0.233782E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.167057E+01
   0.238500E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.170428E+01
   0.243314E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.173867E+01
   0.248224E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.177376E+01
   0.253233E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.180956E+01
