#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.187656E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.163093E+01
   0.191443E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.166384E+01
   0.195306E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.169742E+01
   0.199248E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.173167E+01
   0.203269E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.176662E+01
   0.207371E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.180227E+01
   0.211556E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.183864E+01
   0.215826E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.187575E+01
   0.220181E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.191360E+01
   0.224625E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.195222E+01
   0.229158E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.199162E+01
   0.233782E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.203181E+01
   0.238500E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.207282E+01
   0.243314E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.211465E+01
   0.248224E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.215732E+01
   0.253233E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.220086E+01
   0.258344E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.224527E+01
   0.263558E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.229059E+01
   0.268876E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.233681E+01
   0.274303E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.238397E+01
   0.279838E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.243208E+01
   0.285486E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.248116E+01
   0.291247E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.253123E+01
   0.297125E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.258232E+01
   0.303121E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.263443E+01
   0.309239E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.268759E+01
   0.315479E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.274183E+01
   0.321846E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.279716E+01
   0.328341E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.285361E+01
   0.334967E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.291120E+01
   0.341727E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.296995E+01
   0.348624E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.302988E+01
   0.355660E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.309103E+01
   0.362837E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.315341E+01
   0.370160E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598046E+00   0.812537E+07   0.812537E+07   0.321704E+01
