#    L    TT             EE             BB             TE          
     2    0.18498E+04    0.51510E-01    0.20409E-05    0.40178E+01
     3    0.18957E+04    0.84464E-01    0.40915E-05    0.49567E+01
     4    0.18001E+04    0.96777E-01    0.68401E-05    0.49668E+01
     5    0.16699E+04    0.88235E-01    0.10298E-04    0.45079E+01
     6    0.15435E+04    0.67426E-01    0.14476E-04    0.38648E+01
     7    0.14331E+04    0.44512E-01    0.19386E-04    0.31941E+01
     8    0.13407E+04    0.26407E-01    0.25037E-04    0.25787E+01
     9    0.12653E+04    0.15412E-01    0.31431E-04    0.20599E+01
    10    0.12044E+04    0.10375E-01    0.38568E-04    0.16569E+01
    11    0.11559E+04    0.87280E-02    0.46438E-04    0.13724E+01
    12    0.11173E+04    0.82130E-02    0.55031E-04    0.11974E+01
    13    0.10872E+04    0.76488E-02    0.64328E-04    0.11156E+01
    14    0.10636E+04    0.68373E-02    0.74315E-04    0.11050E+01
    15    0.10459E+04    0.60720E-02    0.84979E-04    0.11432E+01
    16    0.10329E+04    0.56593E-02    0.96314E-04    0.12095E+01
    17    0.10236E+04    0.56872E-02    0.10832E-03    0.12874E+01
    18    0.10172E+04    0.60392E-02    0.12102E-03    0.13638E+01
    19    0.10148E+04    0.65425E-02    0.13443E-03    0.14349E+01
    20    0.10142E+04    0.70766E-02    0.14857E-03    0.14947E+01
    21    0.10157E+04    0.76394E-02    0.16347E-03    0.15444E+01
    22    0.10189E+04    0.83083E-02    0.17916E-03    0.15867E+01
    23    0.10236E+04    0.91788E-02    0.19565E-03    0.16249E+01
    24    0.10296E+04    0.10314E-01    0.21293E-03    0.16625E+01
    25    0.10368E+04    0.11727E-01    0.23100E-03    0.17017E+01
    26    0.10449E+04    0.13398E-01    0.24984E-03    0.17445E+01
    27    0.10540E+04    0.15298E-01    0.26941E-03    0.17899E+01
    28    0.10638E+04    0.17406E-01    0.28969E-03    0.18376E+01
    29    0.10744E+04    0.19715E-01    0.31066E-03    0.18844E+01
    30    0.10856E+04    0.22224E-01    0.33230E-03    0.19286E+01
    31    0.10974E+04    0.24934E-01    0.35464E-03    0.19662E+01
    32    0.11097E+04    0.27842E-01    0.37768E-03    0.19958E+01
    33    0.11225E+04    0.30944E-01    0.40146E-03    0.20143E+01
    34    0.11358E+04    0.34240E-01    0.42601E-03    0.20213E+01
    35    0.11495E+04    0.37737E-01    0.45136E-03    0.20156E+01
    36    0.11636E+04    0.41453E-01    0.47753E-03    0.19979E+01
    37    0.11780E+04    0.45405E-01    0.50453E-03    0.19682E+01
    38    0.11928E+04    0.49615E-01    0.53234E-03    0.19276E+01
    39    0.12080E+04    0.54090E-01    0.56094E-03    0.18770E+01
    40    0.12233E+04    0.58838E-01    0.59030E-03    0.18168E+01
    41    0.12391E+04    0.63869E-01    0.62039E-03    0.17474E+01
    42    0.12550E+04    0.69184E-01    0.65116E-03    0.16689E+01
    43    0.12713E+04    0.74783E-01    0.68260E-03    0.15810E+01
    44    0.12877E+04    0.80658E-01    0.71472E-03    0.14828E+01
    45    0.13044E+04    0.86814E-01    0.74754E-03    0.13738E+01
    46    0.13214E+04    0.93262E-01    0.78108E-03    0.12530E+01
    47    0.13386E+04    0.99987E-01    0.81538E-03    0.11197E+01
    48    0.13561E+04    0.10700E+00    0.85048E-03    0.97310E+00
    49    0.13737E+04    0.11428E+00    0.88641E-03    0.81278E+00
    50    0.13916E+04    0.12187E+00    0.92317E-03    0.63853E+00
    51    0.14097E+04    0.12975E+00    0.96075E-03    0.45053E+00
    52    0.14282E+04    0.13791E+00    0.99913E-03    0.24892E+00
    53    0.14468E+04    0.14637E+00    0.10383E-02    0.33813E-01
    54    0.14656E+04    0.15512E+00    0.10781E-02   -0.19431E+00
    55    0.14845E+04    0.16418E+00    0.11186E-02   -0.43502E+00
    56    0.15038E+04    0.17353E+00    0.11598E-02   -0.68823E+00
    57    0.15232E+04    0.18317E+00    0.12016E-02   -0.95398E+00
    58    0.15429E+04    0.19311E+00    0.12441E-02   -0.12326E+01
    59    0.15628E+04    0.20334E+00    0.12873E-02   -0.15241E+01
    60    0.15829E+04    0.21383E+00    0.13313E-02   -0.18274E+01
    61    0.16035E+04    0.22459E+00    0.13760E-02   -0.21415E+01
    62    0.16241E+04    0.23561E+00    0.14216E-02   -0.24676E+01
    63    0.16448E+04    0.24688E+00    0.14680E-02   -0.28074E+01
    64    0.16659E+04    0.25845E+00    0.15152E-02   -0.31628E+01
    65    0.16871E+04    0.27033E+00    0.15632E-02   -0.35351E+01
    66    0.17085E+04    0.28248E+00    0.16120E-02   -0.39229E+01
    67    0.17300E+04    0.29489E+00    0.16614E-02   -0.43240E+01
    68    0.17519E+04    0.30756E+00    0.17116E-02   -0.47368E+01
    69    0.17739E+04    0.32044E+00    0.17623E-02   -0.51586E+01
