#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.19337E+04    0.54721E-01    0.00000E+00    0.42238E+01    0.12330E-06   -0.11052E-01   -0.19042E-04
     3    0.19822E+04    0.90679E-01    0.00000E+00    0.52376E+01    0.14483E-06   -0.12179E-01   -0.22940E-04
     4    0.18824E+04    0.10502E+00    0.00000E+00    0.52720E+01    0.16115E-06   -0.12284E-01   -0.23348E-04
     5    0.17463E+04    0.96864E-01    0.00000E+00    0.48053E+01    0.17388E-06   -0.11932E-01   -0.21176E-04
     6    0.16140E+04    0.74944E-01    0.00000E+00    0.41366E+01    0.18391E-06   -0.11378E-01   -0.17271E-04
     7    0.14983E+04    0.50087E-01    0.00000E+00    0.34315E+01    0.19195E-06   -0.10750E-01   -0.12485E-04
     8    0.14015E+04    0.29974E-01    0.00000E+00    0.27787E+01    0.19847E-06   -0.10110E-01   -0.75845E-05
     9    0.13225E+04    0.17439E-01    0.00000E+00    0.22232E+01    0.20381E-06   -0.94887E-02   -0.32020E-05
    10    0.12586E+04    0.11515E-01    0.00000E+00    0.17867E+01    0.20816E-06   -0.88973E-02    0.21957E-06
    11    0.12077E+04    0.95165E-02    0.00000E+00    0.14740E+01    0.21176E-06   -0.83433E-02    0.24575E-05
    12    0.11672E+04    0.89392E-02    0.00000E+00    0.12771E+01    0.21466E-06   -0.78237E-02    0.34893E-05
    13    0.11356E+04    0.83773E-02    0.00000E+00    0.11804E+01    0.21706E-06   -0.73423E-02    0.34591E-05
    14    0.11109E+04    0.75153E-02    0.00000E+00    0.11616E+01    0.21896E-06   -0.68938E-02    0.26227E-05
    15    0.10923E+04    0.66383E-02    0.00000E+00    0.11970E+01    0.22050E-06   -0.64793E-02    0.12921E-05
    16    0.10786E+04    0.61026E-02    0.00000E+00    0.12650E+01    0.22171E-06   -0.60953E-02   -0.21979E-06
    17    0.10689E+04    0.60473E-02    0.00000E+00    0.13471E+01    0.22260E-06   -0.57384E-02   -0.16406E-05
    18    0.10622E+04    0.63731E-02    0.00000E+00    0.14290E+01    0.22326E-06   -0.54087E-02   -0.27693E-05
    19    0.10597E+04    0.68902E-02    0.00000E+00    0.15057E+01    0.22371E-06   -0.51037E-02   -0.34902E-05
