#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.182111E-05   0.163505E+08   0.163505E+08   0.218001E+08   0.218001E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.111222E+01
   0.185787E-05   0.163505E+08   0.163505E+08   0.218001E+08   0.218001E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.113467E+01
   0.189538E-05   0.163505E+08   0.163505E+08   0.218001E+08   0.218001E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.115757E+01
   0.193364E-05   0.163505E+08   0.163505E+08   0.218001E+08   0.218001E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.118094E+01
   0.197267E-05   0.163505E+08   0.163505E+08   0.218001E+08   0.218000E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.120478E+01
   0.201249E-05   0.163505E+08   0.163505E+08   0.218000E+08   0.218000E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.122910E+01
   0.205312E-05   0.163505E+08   0.163505E+08   0.218000E+08   0.218000E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415231E+00   0.821069E+07   0.821069E+07   0.125391E+01
   0.209456E-05   0.163505E+08   0.163505E+08   0.218000E+08   0.218000E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.127922E+01
   0.213685E-05   0.163505E+08   0.163505E+08   0.218000E+08   0.217999E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.130504E+01
   0.217998E-05   0.163505E+08   0.163505E+08   0.217999E+08   0.217999E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.133139E+01
   0.222399E-05   0.163505E+08   0.163505E+08   0.217999E+08   0.217999E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.135826E+01
   0.226888E-05   0.163505E+08   0.163505E+08   0.217999E+08   0.217998E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.138568E+01
   0.231468E-05   0.163505E+08   0.163505E+08   0.217998E+08   0.217998E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.141365E+01
   0.236141E-05   0.163505E+08   0.163505E+08   0.217998E+08   0.217998E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821069E+07   0.821069E+07   0.144219E+01
   0.240908E-05   0.163505E+08   0.163505E+08   0.217998E+08   0.217997E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821070E+07   0.821070E+07   0.147130E+01
   0.245771E-05   0.163505E+08   0.163505E+08   0.217997E+08   0.217997E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821070E+07   0.821070E+07   0.150100E+01
   0.250732E-05   0.163505E+08   0.163505E+08   0.217997E+08   0.217997E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821070E+07   0.821070E+07   0.153130E+01
   0.255793E-05   0.163505E+08   0.163505E+08   0.217997E+08   0.217996E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821070E+07   0.821070E+07   0.156221E+01
   0.260957E-05   0.163505E+08   0.163505E+08   0.217996E+08   0.217996E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415232E+00   0.821070E+07   0.821070E+07   0.159374E+01
   0.266225E-05   0.163505E+08   0.163505E+08   0.217996E+08   0.217995E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.162592E+01
   0.271599E-05   0.163505E+08   0.163505E+08   0.217995E+08   0.217995E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.165874E+01
   0.277081E-05   0.163505E+08   0.163505E+08   0.217995E+08   0.217994E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.169222E+01
   0.282675E-05   0.163505E+08   0.163505E+08   0.217994E+08   0.217994E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.172638E+01
   0.288381E-05   0.163505E+08   0.163505E+08   0.217994E+08   0.217994E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.176123E+01
   0.294202E-05   0.163505E+08   0.163505E+08   0.217993E+08   0.217993E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.179678E+01
   0.300141E-05   0.163505E+08   0.163505E+08   0.217993E+08   0.217992E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.183305E+01
   0.306200E-05   0.163505E+08   0.163505E+08   0.217992E+08   0.217992E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415233E+00   0.821070E+07   0.821070E+07   0.187005E+01
   0.312381E-05   0.163505E+08   0.163505E+08   0.217992E+08   0.217991E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415234E+00   0.821070E+07   0.821070E+07   0.190780E+01
   0.318687E-05   0.163505E+08   0.163505E+08   0.217991E+08   0.217991E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415234E+00   0.821070E+07   0.821070E+07   0.194631E+01
   0.325120E-05   0.163505E+08   0.163505E+08   0.217990E+08   0.217990E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415234E+00   0.821070E+07   0.821070E+07   0.198560E+01
   0.331683E-05   0.163505E+08   0.163505E+08   0.217990E+08   0.217989E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415234E+00   0.821070E+07   0.821070E+07   0.202568E+01
   0.338379E-05   0.163505E+08   0.163505E+08   0.217989E+08   0.217989E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415234E+00   0.821070E+07   0.821070E+07   0.206657E+01
   0.345209E-05   0.163505E+08   0.163505E+08   0.217988E+08   0.217988E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415234E+00   0.821071E+07   0.821071E+07   0.210828E+01
   0.352178E-05   0.163505E+08   0.163505E+08   0.217988E+08   0.217987E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415235E+00   0.821071E+07   0.821071E+07   0.215084E+01
   0.359287E-05   0.163505E+08   0.163505E+08   0.217987E+08   0.217986E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415235E+00   0.821071E+07   0.821071E+07   0.219426E+01
   0.366540E-05   0.163505E+08   0.163505E+08   0.217986E+08   0.217986E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415235E+00   0.821071E+07   0.821071E+07   0.223855E+01
   0.373939E-05   0.163505E+08   0.163505E+08   0.217985E+08   0.217985E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415235E+00   0.821071E+07   0.821071E+07   0.228373E+01
   0.381488E-05   0.163505E+08   0.163505E+08   0.217984E+08   0.217984E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415235E+00   0.821071E+07   0.821071E+07   0.232983E+01
   0.389189E-05   0.163505E+08   0.163505E+08   0.217984E+08   0.217983E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415235E+00   0.821071E+07   0.821071E+07   0.237686E+01
   0.397045E-05   0.163505E+08   0.163505E+08   0.217983E+08   0.217982E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415236E+00   0.821071E+07   0.821071E+07   0.242484E+01
   0.405060E-05   0.163505E+08   0.163505E+08   0.217982E+08   0.217981E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415236E+00   0.821071E+07   0.821071E+07   0.247379E+01
   0.413237E-05   0.163505E+08   0.163505E+08   0.217981E+08   0.217980E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415236E+00   0.821072E+07   0.821072E+07   0.252372E+01
   0.421578E-05   0.163505E+08   0.163505E+08   0.217980E+08   0.217979E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415237E+00   0.821072E+07   0.821072E+07   0.257466E+01
   0.430089E-05   0.163505E+08   0.163505E+08   0.217978E+08   0.217978E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415237E+00   0.821072E+07   0.821072E+07   0.262663E+01
   0.438771E-05   0.163505E+08   0.163505E+08   0.217977E+08   0.217976E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415237E+00   0.821072E+07   0.821072E+07   0.267965E+01
   0.447628E-05   0.163505E+08   0.163505E+08   0.217976E+08   0.217975E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415237E+00   0.821072E+07   0.821072E+07   0.273374E+01
   0.456664E-05   0.163505E+08   0.163505E+08   0.217975E+08   0.217974E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415238E+00   0.821072E+07   0.821072E+07   0.278892E+01
   0.465882E-05   0.163505E+08   0.163505E+08   0.217974E+08   0.217973E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415238E+00   0.821072E+07   0.821072E+07   0.284522E+01
   0.475287E-05   0.163505E+08   0.163505E+08   0.217972E+08   0.217971E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415238E+00   0.821072E+07   0.821072E+07   0.290265E+01
   0.484881E-05   0.163505E+08   0.163505E+08   0.217971E+08   0.217970E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415239E+00   0.821073E+07   0.821073E+07   0.296124E+01
   0.494669E-05   0.163505E+08   0.163505E+08   0.217969E+08   0.217968E+08   0.000000E+00   0.163505E+08   0.163505E+08   0.163565E+08  -0.415239E+00   0.821073E+07   0.821073E+07   0.302101E+01
   0.504655E-05   0.163506E+08   0.163506E+08   0.217968E+08   0.217967E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415239E+00   0.821073E+07   0.821073E+07   0.308199E+01
   0.514842E-05   0.163506E+08   0.163506E+08   0.217966E+08   0.217965E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415240E+00   0.821073E+07   0.821073E+07   0.314420E+01
   0.525235E-05   0.163506E+08   0.163506E+08   0.217965E+08   0.217963E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415240E+00   0.821073E+07   0.821073E+07   0.320766E+01
   0.535838E-05   0.163506E+08   0.163506E+08   0.217963E+08   0.217962E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415240E+00   0.821074E+07   0.821074E+07   0.327241E+01
   0.546654E-05   0.163506E+08   0.163506E+08   0.217961E+08   0.217960E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415241E+00   0.821074E+07   0.821074E+07   0.333846E+01
   0.557689E-05   0.163506E+08   0.163506E+08   0.217959E+08   0.217958E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415241E+00   0.821074E+07   0.821074E+07   0.340584E+01
   0.568947E-05   0.163506E+08   0.163506E+08   0.217957E+08   0.217956E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415242E+00   0.821074E+07   0.821074E+07   0.347459E+01
   0.580432E-05   0.163506E+08   0.163506E+08   0.217955E+08   0.217954E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415242E+00   0.821074E+07   0.821074E+07   0.354472E+01
   0.592149E-05   0.163506E+08   0.163506E+08   0.217953E+08   0.217952E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415243E+00   0.821075E+07   0.821075E+07   0.361627E+01
   0.604102E-05   0.163506E+08   0.163506E+08   0.217951E+08   0.217950E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415243E+00   0.821075E+07   0.821075E+07   0.368926E+01
   0.616297E-05   0.163506E+08   0.163506E+08   0.217949E+08   0.217947E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415244E+00   0.821075E+07   0.821075E+07   0.376372E+01
   0.628738E-05   0.163506E+08   0.163506E+08   0.217947E+08   0.217945E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415245E+00   0.821075E+07   0.821075E+07   0.383969E+01
   0.641430E-05   0.163506E+08   0.163506E+08   0.217944E+08   0.217942E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415245E+00   0.821076E+07   0.821076E+07   0.391719E+01
   0.654378E-05   0.163506E+08   0.163506E+08   0.217942E+08   0.217940E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415246E+00   0.821076E+07   0.821076E+07   0.399625E+01
   0.667588E-05   0.163506E+08   0.163506E+08   0.217939E+08   0.217937E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415246E+00   0.821076E+07   0.821076E+07   0.407691E+01
   0.681064E-05   0.163506E+08   0.163506E+08   0.217936E+08   0.217934E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415247E+00   0.821077E+07   0.821077E+07   0.415919E+01
   0.694812E-05   0.163506E+08   0.163506E+08   0.217933E+08   0.217931E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415248E+00   0.821077E+07   0.821077E+07   0.424314E+01
   0.708838E-05   0.163506E+08   0.163506E+08   0.217930E+08   0.217928E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415248E+00   0.821077E+07   0.821077E+07   0.432878E+01
   0.723147E-05   0.163506E+08   0.163506E+08   0.217927E+08   0.217925E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415249E+00   0.821078E+07   0.821078E+07   0.441615E+01
   0.737745E-05   0.163506E+08   0.163506E+08   0.217924E+08   0.217922E+08   0.000000E+00   0.163506E+08   0.163506E+08   0.163566E+08  -0.415250E+00   0.821078E+07   0.821078E+07   0.450528E+01
