#    L    TT             EE             TE             PP             TP          
     2    0.19337E+04    0.54721E-01    0.42238E+01    0.25577E+07   -0.10302E+06
     3    0.19822E+04    0.90679E-01    0.52376E+01    0.38023E+07   -0.13546E+06
     4    0.18824E+04    0.10502E+00    0.52720E+01    0.48139E+07   -0.15052E+06
     5    0.17463E+04    0.96864E-01    0.48053E+01    0.56357E+07   -0.15544E+06
     6    0.16140E+04    0.74944E-01    0.41366E+01    0.63063E+07   -0.15462E+06
     7    0.14983E+04    0.50087E-01    0.34315E+01    0.68594E+07   -0.15067E+06
     8    0.14015E+04    0.29974E-01    0.27787E+01    0.73193E+07   -0.14509E+06
     9    0.13225E+04    0.17439E-01    0.22232E+01    0.77051E+07   -0.13874E+06
    10    0.12586E+04    0.11515E-01    0.17867E+01    0.80294E+07   -0.13207E+06
    11    0.12077E+04    0.95165E-02    0.14740E+01    0.83051E+07   -0.12540E+06
    12    0.11672E+04    0.89392E-02    0.12771E+01    0.85368E+07   -0.11882E+06
    13    0.11356E+04    0.83773E-02    0.11804E+01    0.87353E+07   -0.11251E+06
    14    0.11109E+04    0.75153E-02    0.11616E+01    0.89024E+07   -0.10645E+06
    15    0.10923E+04    0.66383E-02    0.11970E+01    0.90453E+07   -0.10072E+06
    16    0.10786E+04    0.61026E-02    0.12650E+01    0.91665E+07   -0.95308E+05
    17    0.10689E+04    0.60473E-02    0.13471E+01    0.92671E+07   -0.90195E+05
    18    0.10622E+04    0.63731E-02    0.14290E+01    0.93523E+07   -0.85407E+05
    19    0.10597E+04    0.68902E-02    0.15057E+01    0.94231E+07   -0.80927E+05
    20    0.10591E+04    0.74458E-02    0.15701E+01    0.94804E+07   -0.76721E+05
    21    0.10605E+04    0.80126E-02    0.16232E+01    0.95264E+07   -0.72786E+05
    22    0.10639E+04    0.86622E-02    0.16673E+01    0.95629E+07   -0.69107E+05
    23    0.10688E+04    0.95020E-02    0.17060E+01    0.95902E+07   -0.65659E+05
    24    0.10751E+04    0.10613E-01    0.17431E+01    0.96096E+07   -0.62427E+05
    25    0.10826E+04    0.12024E-01    0.17812E+01    0.96217E+07   -0.59390E+05
    26    0.10911E+04    0.13720E-01    0.18228E+01    0.96278E+07   -0.56537E+05
    27    0.11006E+04    0.15668E-01    0.18675E+01    0.96279E+07   -0.53848E+05
    28    0.11109E+04    0.17842E-01    0.19151E+01    0.96232E+07   -0.51319E+05
    29    0.11219E+04    0.20229E-01    0.19627E+01    0.96132E+07   -0.48928E+05
    30    0.11336E+04    0.22827E-01    0.20085E+01    0.95995E+07   -0.46676E+05
    31    0.11459E+04    0.25638E-01    0.20482E+01    0.95816E+07   -0.44545E+05
    32    0.11588E+04    0.28657E-01    0.20804E+01    0.95606E+07   -0.42538E+05
    33    0.11722E+04    0.31881E-01    0.21014E+01    0.95362E+07   -0.40641E+05
    34    0.11860E+04    0.35306E-01    0.21105E+01    0.95092E+07   -0.38850E+05
    35    0.12003E+04    0.38938E-01    0.21061E+01    0.94795E+07   -0.37155E+05
    36    0.12150E+04    0.42790E-01    0.20888E+01    0.94475E+07   -0.35555E+05
    37    0.12301E+04    0.46882E-01    0.20585E+01    0.94134E+07   -0.34041E+05
    38    0.12456E+04    0.51239E-01    0.20163E+01    0.93774E+07   -0.32607E+05
