#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.182111E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.204348E+01
   0.185787E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.208473E+01
   0.189538E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.212682E+01
   0.193364E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.216975E+01
   0.197267E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.221355E+01
   0.201249E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.225823E+01
   0.205312E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.230382E+01
   0.209456E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.235032E+01
   0.213685E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.239777E+01
   0.217998E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.244617E+01
   0.222399E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104485E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.249555E+01
   0.226888E-05   0.783644E+07   0.783644E+07   0.104485E+08   0.104484E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.254592E+01
   0.231468E-05   0.783644E+07   0.783644E+07   0.104484E+08   0.104484E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.259732E+01
   0.236141E-05   0.783644E+07   0.783644E+07   0.104484E+08   0.104484E+08   0.000000E+00   0.783644E+07   0.783644E+07   0.784506E+07  -0.597654E+00   0.777610E+07   0.777610E+07   0.264975E+01
