#           k/h    P           
    0.10000E-03    0.21479E+02
    0.10202E-03    0.21904E+02
    0.10408E-03    0.22337E+02
    0.10618E-03    0.22779E+02
    0.10833E-03    0.23230E+02
    0.11052E-03    0.23690E+02
    0.11275E-03    0.24158E+02
    0.11503E-03    0.24636E+02
    0.11735E-03    0.25124E+02
    0.11972E-03    0.25621E+02
    0.12214E-03    0.26128E+02
    0.12461E-03    0.26645E+02
    0.12712E-03    0.27172E+02
    0.12969E-03    0.27710E+02
    0.13231E-03    0.28258E+02
    0.13499E-03    0.28817E+02
    0.13771E-03    0.29387E+02
    0.14049E-03    0.29968E+02
    0.14333E-03    0.30561E+02
    0.14623E-03    0.31166E+02
    0.14918E-03    0.31782E+02
    0.15220E-03    0.32411E+02
    0.15527E-03    0.33052E+02
    0.15841E-03    0.33706E+02
    0.16161E-03    0.34373E+02
    0.16487E-03    0.35052E+02
    0.16820E-03    0.35746E+02
    0.17160E-03    0.36453E+02
    0.17507E-03    0.37174E+02
    0.17860E-03    0.37909E+02
    0.18221E-03    0.38658E+02
    0.18589E-03    0.39423E+02
    0.18965E-03    0.40203E+02
    0.19348E-03    0.40998E+02
    0.19739E-03    0.41808E+02
    0.20138E-03    0.42635E+02
    0.20544E-03    0.43478E+02
    0.20959E-03    0.44337E+02
    0.21383E-03    0.45214E+02
    0.21815E-03    0.46108E+02
    0.22255E-03    0.47019E+02
    0.22705E-03    0.47949E+02
    0.23164E-03    0.48896E+02
    0.23632E-03    0.49863E+02
    0.24109E-03    0.50848E+02
    0.24596E-03    0.51853E+02
    0.25093E-03    0.52878E+02
    0.25600E-03    0.53922E+02
    0.26117E-03    0.54988E+02
    0.26645E-03    0.56074E+02
    0.27183E-03    0.57182E+02
    0.27732E-03    0.58312E+02
    0.28292E-03    0.59463E+02
    0.28864E-03    0.60638E+02
    0.29447E-03    0.61835E+02
    0.30042E-03    0.63056E+02
    0.30649E-03    0.64301E+02
    0.31268E-03    0.65571E+02
    0.31899E-03    0.66865E+02
    0.32544E-03    0.68185E+02
    0.33201E-03    0.69531E+02
    0.33872E-03    0.70903E+02
    0.34556E-03    0.72302E+02
    0.35254E-03    0.73729E+02
    0.35966E-03    0.75183E+02
    0.36693E-03    0.76666E+02
    0.37434E-03    0.78178E+02
    0.38190E-03    0.79719E+02
    0.38962E-03    0.81291E+02
    0.39749E-03    0.82894E+02
    0.40552E-03    0.84527E+02
    0.41371E-03    0.86193E+02
    0.42207E-03    0.87891E+02
    0.43060E-03    0.89623E+02
    0.43929E-03    0.91388E+02
    0.44817E-03    0.93188E+02
    0.45722E-03    0.95022E+02
    0.46646E-03    0.96892E+02
    0.47588E-03    0.98799E+02
    0.48550E-03    0.10074E+03
    0.49530E-03    0.10272E+03
    0.50531E-03    0.10474E+03
    0.51552E-03    0.10680E+03
    0.52593E-03    0.10890E+03
    0.53656E-03    0.11104E+03
    0.54739E-03    0.11322E+03
    0.55845E-03    0.11545E+03
    0.56973E-03    0.11771E+03
    0.58124E-03    0.12002E+03
    0.59299E-03    0.12238E+03
    0.60496E-03    0.12478E+03
    0.61719E-03    0.12723E+03
    0.62965E-03    0.12972E+03
    0.64237E-03    0.13226E+03
    0.65535E-03    0.13485E+03
    0.66859E-03    0.13749E+03
    0.68210E-03    0.14018E+03
    0.69588E-03    0.14292E+03
    0.70993E-03    0.14572E+03
    0.72427E-03    0.14856E+03
    0.73891E-03    0.15146E+03
    0.75383E-03    0.15442E+03
    0.76906E-03    0.15743E+03
    0.78460E-03    0.16050E+03
    0.80045E-03    0.16363E+03
    0.81662E-03    0.16682E+03
    0.83311E-03    0.17006E+03
    0.84994E-03    0.17337E+03
    0.86711E-03    0.17674E+03
    0.88463E-03    0.18018E+03
    0.90250E-03    0.18367E+03
    0.92073E-03    0.18724E+03
    0.93933E-03    0.19087E+03
    0.95831E-03    0.19456E+03
    0.97767E-03    0.19833E+03
    0.99742E-03    0.20217E+03
    0.10176E-02    0.20607E+03
    0.10381E-02    0.21005E+03
    0.10591E-02    0.21410E+03
    0.10805E-02    0.21823E+03
    0.11023E-02    0.22243E+03
    0.11246E-02    0.22671E+03
    0.11473E-02    0.23107E+03
    0.11705E-02    0.23550E+03
    0.11941E-02    0.24002E+03
    0.12182E-02    0.24462E+03
    0.12429E-02    0.24930E+03
    0.12680E-02    0.25406E+03
    0.12936E-02    0.25891E+03
    0.13197E-02    0.26385E+03
    0.13464E-02    0.26887E+03
    0.13736E-02    0.27399E+03
    0.14013E-02    0.27919E+03
    0.14296E-02    0.28449E+03
    0.14585E-02    0.28988E+03
    0.14880E-02    0.29536E+03
    0.15180E-02    0.30094E+03
    0.15487E-02    0.30661E+03
    0.15800E-02    0.31238E+03
    0.16119E-02    0.31826E+03
    0.16445E-02    0.32423E+03
    0.16777E-02    0.33031E+03
    0.17116E-02    0.33648E+03
    0.17462E-02    0.34277E+03
    0.17814E-02    0.34916E+03
    0.18174E-02    0.35565E+03
    0.18541E-02    0.36226E+03
    0.18916E-02    0.36897E+03
    0.19298E-02    0.37580E+03
    0.19688E-02    0.38274E+03
    0.20086E-02    0.38979E+03
    0.20491E-02    0.39695E+03
    0.20905E-02    0.40423E+03
    0.21328E-02    0.41163E+03
    0.21758E-02    0.41915E+03
    0.22198E-02    0.42679E+03
    0.22646E-02    0.43454E+03
    0.23104E-02    0.44242E+03
    0.23571E-02    0.45042E+03
    0.24047E-02    0.45855E+03
    0.24533E-02    0.46680E+03
    0.25028E-02    0.47517E+03
    0.25534E-02    0.48368E+03
    0.26050E-02    0.49230E+03
    0.26576E-02    0.50106E+03
    0.27113E-02    0.50995E+03
    0.27660E-02    0.51897E+03
    0.28219E-02    0.52811E+03
    0.28789E-02    0.53739E+03
    0.29371E-02    0.54680E+03
    0.29964E-02    0.55634E+03
    0.30569E-02    0.56602E+03
    0.31187E-02    0.57583E+03
    0.31817E-02    0.58577E+03
    0.32460E-02    0.59584E+03
    0.33115E-02    0.60605E+03
    0.33784E-02    0.61640E+03
    0.34467E-02    0.62687E+03
    0.35163E-02    0.63749E+03
    0.35874E-02    0.64823E+03
    0.36598E-02    0.65911E+03
    0.37338E-02    0.67013E+03
    0.38092E-02    0.68127E+03
    0.38861E-02    0.69255E+03
    0.39646E-02    0.70396E+03
    0.40447E-02    0.71551E+03
    0.41264E-02    0.72718E+03
    0.42098E-02    0.73898E+03
    0.42948E-02    0.75091E+03
    0.43816E-02    0.76297E+03
    0.44701E-02    0.77516E+03
    0.45604E-02    0.78747E+03
    0.46525E-02    0.79990E+03
    0.47465E-02    0.81245E+03
    0.48424E-02    0.82513E+03
    0.49402E-02    0.83792E+03
    0.50400E-02    0.85082E+03
    0.51419E-02    0.86384E+03
    0.52457E-02    0.87697E+03
    0.53517E-02    0.89021E+03
    0.54598E-02    0.90355E+03
    0.55701E-02    0.91700E+03
    0.56826E-02    0.93054E+03
    0.57974E-02    0.94418E+03
    0.59145E-02    0.95791E+03
    0.60340E-02    0.97173E+03
    0.61559E-02    0.98564E+03
    0.62803E-02    0.99962E+03
    0.64072E-02    0.10137E+04
    0.65366E-02    0.10278E+04
    0.66686E-02    0.10420E+04
    0.68033E-02    0.10563E+04
    0.69408E-02    0.10706E+04
    0.70810E-02    0.10850E+04
    0.72240E-02    0.10994E+04
    0.73700E-02    0.11138E+04
    0.75189E-02    0.11283E+04
    0.76708E-02    0.11428E+04
    0.78257E-02    0.11573E+04
    0.79838E-02    0.11719E+04
    0.81451E-02    0.11864E+04
    0.83096E-02    0.12010E+04
    0.84775E-02    0.12155E+04
    0.86488E-02    0.12300E+04
    0.88235E-02    0.12445E+04
    0.90017E-02    0.12590E+04
    0.91836E-02    0.12734E+04
    0.93691E-02    0.12878E+04
    0.95583E-02    0.13021E+04
    0.97514E-02    0.13163E+04
    0.99484E-02    0.13305E+04
    0.10149E-01    0.13445E+04
    0.10354E-01    0.13585E+04
    0.10564E-01    0.13723E+04
    0.10777E-01    0.13861E+04
    0.10995E-01    0.13997E+04
    0.11217E-01    0.14131E+04
    0.11443E-01    0.14264E+04
    0.11675E-01    0.14395E+04
    0.11910E-01    0.14524E+04
    0.12151E-01    0.14652E+04
    0.12397E-01    0.14777E+04
    0.12647E-01    0.14900E+04
    0.12902E-01    0.15021E+04
    0.13163E-01    0.15139E+04
    0.13429E-01    0.15255E+04
    0.13700E-01    0.15368E+04
    0.13977E-01    0.15477E+04
    0.14259E-01    0.15584E+04
    0.14547E-01    0.15688E+04
    0.14841E-01    0.15788E+04
    0.15141E-01    0.15885E+04
    0.15447E-01    0.15977E+04
    0.15759E-01    0.16067E+04
    0.16077E-01    0.16152E+04
    0.16402E-01    0.16232E+04
    0.16734E-01    0.16309E+04
    0.17072E-01    0.16381E+04
    0.17416E-01    0.16448E+04
    0.17768E-01    0.16511E+04
    0.18127E-01    0.16568E+04
    0.18493E-01    0.16620E+04
    0.18867E-01    0.16667E+04
    0.19248E-01    0.16709E+04
    0.19637E-01    0.16745E+04
    0.20034E-01    0.16774E+04
    0.20438E-01    0.16798E+04
    0.20851E-01    0.16816E+04
    0.21272E-01    0.16828E+04
    0.21702E-01    0.16833E+04
    0.22141E-01    0.16831E+04
    0.22588E-01    0.16823E+04
    0.23044E-01    0.16807E+04
    0.23510E-01    0.16785E+04
    0.23985E-01    0.16756E+04
    0.24469E-01    0.16719E+04
    0.24964E-01    0.16676E+04
    0.25468E-01    0.16624E+04
    0.25982E-01    0.16566E+04
    0.26507E-01    0.16500E+04
    0.27043E-01    0.16426E+04
    0.27589E-01    0.16345E+04
    0.28146E-01    0.16256E+04
    0.28715E-01    0.16159E+04
    0.29295E-01    0.16055E+04
    0.29887E-01    0.15943E+04
    0.30490E-01    0.15824E+04
    0.31106E-01    0.15697E+04
    0.31735E-01    0.15563E+04
    0.32376E-01    0.15422E+04
