#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.264541E-05   0.270791E+08   0.270791E+08   0.361047E+08   0.361047E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.178419E+01
   0.269884E-05   0.270791E+08   0.270791E+08   0.361047E+08   0.361047E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.182022E+01
   0.275334E-05   0.270791E+08   0.270791E+08   0.361046E+08   0.361046E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.185699E+01
   0.280895E-05   0.270791E+08   0.270791E+08   0.361046E+08   0.361046E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.189449E+01
   0.286568E-05   0.270791E+08   0.270791E+08   0.361046E+08   0.361046E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.193275E+01
   0.292356E-05   0.270791E+08   0.270791E+08   0.361045E+08   0.361045E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.197179E+01
   0.298260E-05   0.270791E+08   0.270791E+08   0.361045E+08   0.361045E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.201161E+01
   0.304284E-05   0.270791E+08   0.270791E+08   0.361045E+08   0.361044E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.205224E+01
   0.310429E-05   0.270791E+08   0.270791E+08   0.361044E+08   0.361044E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.209368E+01
   0.316698E-05   0.270791E+08   0.270791E+08   0.361044E+08   0.361043E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.213597E+01
   0.323094E-05   0.270791E+08   0.270791E+08   0.361043E+08   0.361043E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.217910E+01
   0.329619E-05   0.270791E+08   0.270791E+08   0.361043E+08   0.361043E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.222311E+01
   0.336276E-05   0.270791E+08   0.270791E+08   0.361042E+08   0.361042E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.226801E+01
   0.343068E-05   0.270791E+08   0.270791E+08   0.361042E+08   0.361042E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.231382E+01
   0.349996E-05   0.270791E+08   0.270791E+08   0.361041E+08   0.361041E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.236054E+01
   0.357065E-05   0.270791E+08   0.270791E+08   0.361041E+08   0.361040E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.240821E+01
   0.364276E-05   0.270791E+08   0.270791E+08   0.361040E+08   0.361040E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.245685E+01
   0.371633E-05   0.270791E+08   0.270791E+08   0.361040E+08   0.361039E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.250647E+01
   0.379139E-05   0.270791E+08   0.270791E+08   0.361039E+08   0.361039E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.255709E+01
   0.386796E-05   0.270791E+08   0.270791E+08   0.361038E+08   0.361038E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.260873E+01
   0.394607E-05   0.270791E+08   0.270791E+08   0.361038E+08   0.361037E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.266142E+01
   0.402577E-05   0.270791E+08   0.270791E+08   0.361037E+08   0.361036E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.271517E+01
   0.410707E-05   0.270791E+08   0.270791E+08   0.361036E+08   0.361036E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.277000E+01
   0.419002E-05   0.270791E+08   0.270791E+08   0.361035E+08   0.361035E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.282595E+01
   0.427464E-05   0.270791E+08   0.270791E+08   0.361035E+08   0.361034E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.288302E+01
   0.436097E-05   0.270791E+08   0.270791E+08   0.361034E+08   0.361033E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.294124E+01
   0.444905E-05   0.270791E+08   0.270791E+08   0.361033E+08   0.361032E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523677E+00   0.211330E+08   0.211330E+08   0.300064E+01
   0.453890E-05   0.270791E+08   0.270791E+08   0.361032E+08   0.361032E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523677E+00   0.211330E+08   0.211330E+08   0.306123E+01
   0.463056E-05   0.270791E+08   0.270791E+08   0.361031E+08   0.361031E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523677E+00   0.211330E+08   0.211330E+08   0.312306E+01
   0.472408E-05   0.270791E+08   0.270791E+08   0.361030E+08   0.361030E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523677E+00   0.211330E+08   0.211330E+08   0.318613E+01
