#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.227330E-05   0.167905E+08   0.167905E+08   0.223869E+08   0.223869E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168020E+08  -0.422491E+00   0.138223E+08   0.138223E+08   0.197533E+01
   0.231917E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223869E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168020E+08  -0.422493E+00   0.138224E+08   0.138224E+08   0.201519E+01
   0.236598E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168021E+08  -0.422495E+00   0.138224E+08   0.138224E+08   0.205586E+01
   0.241372E-05   0.167905E+08   0.167905E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167905E+08   0.167905E+08   0.168021E+08  -0.422498E+00   0.138224E+08   0.138224E+08   0.209735E+01
   0.246244E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168021E+08  -0.422500E+00   0.138225E+08   0.138225E+08   0.213967E+01
   0.251213E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168021E+08  -0.422503E+00   0.138225E+08   0.138225E+08   0.218285E+01
   0.256283E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168021E+08  -0.422506E+00   0.138226E+08   0.138226E+08   0.222691E+01
   0.261455E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168022E+08  -0.422509E+00   0.138226E+08   0.138226E+08   0.227185E+01
   0.266731E-05   0.167906E+08   0.167906E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167906E+08   0.167906E+08   0.168022E+08  -0.422512E+00   0.138227E+08   0.138227E+08   0.231769E+01
   0.272114E-05   0.167907E+08   0.167907E+08   0.223870E+08   0.223870E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168022E+08  -0.422515E+00   0.138228E+08   0.138228E+08   0.236447E+01
   0.277605E-05   0.167907E+08   0.167907E+08   0.223871E+08   0.223870E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168022E+08  -0.422518E+00   0.138228E+08   0.138228E+08   0.241218E+01
   0.283208E-05   0.167907E+08   0.167907E+08   0.223871E+08   0.223870E+08   0.000000E+00   0.167907E+08   0.167907E+08   0.168023E+08  -0.422522E+00   0.138229E+08   0.138229E+08   0.246086E+01
   0.288923E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168023E+08  -0.422525E+00   0.138229E+08   0.138229E+08   0.251052E+01
   0.294754E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168023E+08  -0.422529E+00   0.138230E+08   0.138230E+08   0.256119E+01
   0.300702E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168024E+08  -0.422533E+00   0.138231E+08   0.138231E+08   0.261287E+01
   0.306770E-05   0.167908E+08   0.167908E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167908E+08   0.167908E+08   0.168024E+08  -0.422537E+00   0.138231E+08   0.138231E+08   0.266560E+01
   0.312961E-05   0.167909E+08   0.167909E+08   0.223871E+08   0.223871E+08   0.000000E+00   0.167909E+08   0.167909E+08   0.168024E+08  -0.422541E+00   0.138232E+08   0.138232E+08   0.271939E+01
   0.319277E-05   0.167909E+08   0.167909E+08   0.223872E+08   0.223871E+08   0.000000E+00   0.167909E+08   0.167909E+08   0.168024E+08  -0.422546E+00   0.138233E+08   0.138233E+08   0.277427E+01
   0.325720E-05   0.167909E+08   0.167909E+08   0.223872E+08   0.223871E+08   0.000000E+00   0.167909E+08   0.167909E+08   0.168025E+08  -0.422550E+00   0.138234E+08   0.138234E+08   0.283026E+01
   0.332294E-05   0.167910E+08   0.167910E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167910E+08   0.167910E+08   0.168025E+08  -0.422555E+00   0.138235E+08   0.138235E+08   0.288737E+01
   0.338999E-05   0.167910E+08   0.167910E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167910E+08   0.167910E+08   0.168026E+08  -0.422560E+00   0.138235E+08   0.138235E+08   0.294564E+01
   0.345841E-05   0.167911E+08   0.167911E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167911E+08   0.167911E+08   0.168026E+08  -0.422565E+00   0.138236E+08   0.138236E+08   0.300509E+01
   0.352820E-05   0.167911E+08   0.167911E+08   0.223872E+08   0.223872E+08   0.000000E+00   0.167911E+08   0.167911E+08   0.168026E+08  -0.422570E+00   0.138237E+08   0.138237E+08   0.306573E+01
   0.359940E-05   0.167911E+08   0.167911E+08   0.223873E+08   0.223872E+08   0.000000E+00   0.167911E+08   0.167911E+08   0.168027E+08  -0.422576E+00   0.138238E+08   0.138238E+08   0.312760E+01
   0.367204E-05   0.167912E+08   0.167912E+08   0.223873E+08   0.223873E+08   0.000000E+00   0.167912E+08   0.167912E+08   0.168027E+08  -0.422582E+00   0.138239E+08   0.138239E+08   0.319071E+01
   0.374615E-05   0.167912E+08   0.167912E+08   0.223873E+08   0.223873E+08   0.000000E+00   0.167912E+08   0.167912E+08   0.168028E+08  -0.422588E+00   0.138240E+08   0.138240E+08   0.325510E+01
   0.382175E-05   0.167913E+08   0.167913E+08   0.223873E+08   0.223873E+08   0.000000E+00   0.167913E+08   0.167913E+08   0.168028E+08  -0.422594E+00   0.138242E+08   0.138242E+08   0.332079E+01
   0.389887E-05   0.167913E+08   0.167913E+08   0.223874E+08   0.223873E+08   0.000000E+00   0.167913E+08   0.167913E+08   0.168029E+08  -0.422600E+00   0.138243E+08   0.138243E+08   0.338781E+01
   0.397755E-05   0.167914E+08   0.167914E+08   0.223874E+08   0.223873E+08   0.000000E+00   0.167914E+08   0.167914E+08   0.168029E+08  -0.422607E+00   0.138244E+08   0.138244E+08   0.345617E+01
   0.405782E-05   0.167914E+08   0.167914E+08   0.223874E+08   0.223874E+08   0.000000E+00   0.167914E+08   0.167914E+08   0.168030E+08  -0.422614E+00   0.138245E+08   0.138245E+08   0.352592E+01
   0.413971E-05   0.167915E+08   0.167915E+08   0.223874E+08   0.223874E+08   0.000000E+00   0.167915E+08   0.167915E+08   0.168030E+08  -0.422621E+00   0.138246E+08   0.138246E+08   0.359707E+01
   0.422326E-05   0.167916E+08   0.167916E+08   0.223875E+08   0.223874E+08   0.000000E+00   0.167916E+08   0.167916E+08   0.168031E+08  -0.422629E+00   0.138248E+08   0.138248E+08   0.366966E+01
   0.430849E-05   0.167916E+08   0.167916E+08   0.223875E+08   0.223875E+08   0.000000E+00   0.167916E+08   0.167916E+08   0.168032E+08  -0.422637E+00   0.138249E+08   0.138249E+08   0.374372E+01
   0.439543E-05   0.167917E+08   0.167917E+08   0.223875E+08   0.223875E+08   0.000000E+00   0.167917E+08   0.167917E+08   0.168032E+08  -0.422645E+00   0.138251E+08   0.138251E+08   0.381927E+01
   0.448414E-05   0.167917E+08   0.167917E+08   0.223876E+08   0.223875E+08   0.000000E+00   0.167917E+08   0.167917E+08   0.168033E+08  -0.422654E+00   0.138252E+08   0.138252E+08   0.389634E+01
