#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.20991E+04    0.37424E-01    0.00000E+00    0.56421E+01    0.11214E-06   -0.11674E-01   -0.17502E-04
     3    0.18608E+04    0.50267E-01    0.00000E+00    0.50737E+01    0.12961E-06   -0.11508E-01   -0.18178E-04
     4    0.16509E+04    0.48046E-01    0.00000E+00    0.41814E+01    0.14314E-06   -0.10913E-01   -0.16294E-04
     5    0.14837E+04    0.36232E-01    0.00000E+00    0.33109E+01    0.15390E-06   -0.10207E-01   -0.12827E-04
     6    0.13547E+04    0.22803E-01    0.00000E+00    0.25638E+01    0.16254E-06   -0.95037E-02   -0.87333E-05
     7    0.12565E+04    0.12780E-01    0.00000E+00    0.19661E+01    0.16958E-06   -0.88451E-02   -0.48255E-05
     8    0.11817E+04    0.72463E-02    0.00000E+00    0.15174E+01    0.17538E-06   -0.82428E-02   -0.16646E-05
     9    0.11252E+04    0.49284E-02    0.00000E+00    0.12050E+01    0.18017E-06   -0.76966E-02    0.45286E-06
    10    0.10823E+04    0.40956E-02    0.00000E+00    0.10099E+01    0.18414E-06   -0.72007E-02    0.14787E-05
    11    0.10502E+04    0.36221E-02    0.00000E+00    0.90764E+00    0.18744E-06   -0.67513E-02    0.15671E-05
    12    0.10262E+04    0.31446E-02    0.00000E+00    0.87337E+00    0.19012E-06   -0.63401E-02    0.99625E-06
    13    0.10088E+04    0.27244E-02    0.00000E+00    0.88414E+00    0.19235E-06   -0.59661E-02    0.88116E-07
    14    0.99654E+03    0.24878E-02    0.00000E+00    0.92101E+00    0.19413E-06   -0.56229E-02   -0.86282E-06
    15    0.98854E+03    0.24630E-02    0.00000E+00    0.97043E+00    0.19557E-06   -0.53094E-02   -0.16400E-05
    16    0.98399E+03    0.25958E-02    0.00000E+00    0.10239E+01    0.19670E-06   -0.50215E-02   -0.21250E-05
    17    0.98226E+03    0.28257E-02    0.00000E+00    0.10771E+01    0.19753E-06   -0.47553E-02   -0.22931E-05
    18    0.98236E+03    0.31321E-02    0.00000E+00    0.11280E+01    0.19814E-06   -0.45103E-02   -0.21931E-05
    19    0.98570E+03    0.35378E-02    0.00000E+00    0.11802E+01    0.19854E-06   -0.42837E-02   -0.19173E-05
    20    0.99023E+03    0.40670E-02    0.00000E+00    0.12325E+01    0.19874E-06   -0.40727E-02   -0.15709E-05
    21    0.99617E+03    0.47380E-02    0.00000E+00    0.12873E+01    0.19877E-06   -0.38764E-02   -0.12472E-05
    22    0.10034E+04    0.55519E-02    0.00000E+00    0.13457E+01    0.19867E-06   -0.36934E-02   -0.10102E-05
    23    0.10117E+04    0.65009E-02    0.00000E+00    0.14072E+01    0.19843E-06   -0.35220E-02   -0.88872E-06
    24    0.10211E+04    0.75771E-02    0.00000E+00    0.14712E+01    0.19808E-06   -0.33616E-02   -0.88022E-06
    25    0.10313E+04    0.87775E-02    0.00000E+00    0.15346E+01    0.19762E-06   -0.32105E-02   -0.95865E-06
    26    0.10423E+04    0.10104E-01    0.00000E+00    0.15966E+01    0.19707E-06   -0.30689E-02   -0.10845E-05
    27    0.10539E+04    0.11561E-01    0.00000E+00    0.16542E+01    0.19644E-06   -0.29353E-02   -0.12165E-05
    28    0.10663E+04    0.13151E-01    0.00000E+00    0.17068E+01    0.19574E-06   -0.28097E-02   -0.13230E-05
    29    0.10792E+04    0.14878E-01    0.00000E+00    0.17525E+01    0.19496E-06   -0.26909E-02   -0.13860E-05
    30    0.10927E+04    0.16751E-01    0.00000E+00    0.17914E+01    0.19413E-06   -0.25789E-02   -0.14011E-05
    31    0.11067E+04    0.18778E-01    0.00000E+00    0.18231E+01    0.19324E-06   -0.24729E-02   -0.13735E-05
    32    0.11211E+04    0.20968E-01    0.00000E+00    0.18477E+01    0.19231E-06   -0.23726E-02   -0.13174E-05
    33    0.11360E+04    0.23329E-01    0.00000E+00    0.18657E+01    0.19133E-06   -0.22776E-02   -0.12511E-05
    34    0.11513E+04    0.25869E-01    0.00000E+00    0.18767E+01    0.19032E-06   -0.21873E-02   -0.11916E-05
    35    0.11669E+04    0.28594E-01    0.00000E+00    0.18812E+01    0.18927E-06   -0.21016E-02   -0.11492E-05
    36    0.11829E+04    0.31509E-01    0.00000E+00    0.18787E+01    0.18820E-06   -0.20201E-02   -0.11278E-05
    37    0.11993E+04    0.34620E-01    0.00000E+00    0.18690E+01    0.18709E-06   -0.19425E-02   -0.11270E-05
    38    0.12159E+04    0.37932E-01    0.00000E+00    0.18516E+01    0.18597E-06   -0.18686E-02   -0.11441E-05
    39    0.12329E+04    0.41445E-01    0.00000E+00    0.18259E+01    0.18482E-06   -0.17981E-02   -0.11713E-05
