#           k/h    P           
    0.10000E-03    0.19875E+03
    0.10202E-03    0.20258E+03
    0.10408E-03    0.20648E+03
    0.10618E-03    0.21045E+03
    0.10833E-03    0.21450E+03
    0.11052E-03    0.21863E+03
    0.11275E-03    0.22284E+03
    0.11503E-03    0.22713E+03
    0.11735E-03    0.23150E+03
    0.11972E-03    0.23595E+03
    0.12214E-03    0.24049E+03
    0.12461E-03    0.24512E+03
    0.12712E-03    0.24984E+03
    0.12969E-03    0.25464E+03
    0.13231E-03    0.25954E+03
    0.13499E-03    0.26454E+03
    0.13771E-03    0.26962E+03
    0.14049E-03    0.27481E+03
    0.14333E-03    0.28010E+03
    0.14623E-03    0.28549E+03
    0.14918E-03    0.29098E+03
    0.15220E-03    0.29658E+03
    0.15527E-03    0.30228E+03
    0.15841E-03    0.30809E+03
    0.16161E-03    0.31402E+03
    0.16487E-03    0.32006E+03
    0.16820E-03    0.32621E+03
    0.17160E-03    0.33249E+03
    0.17507E-03    0.33888E+03
    0.17860E-03    0.34540E+03
    0.18221E-03    0.35204E+03
    0.18589E-03    0.35881E+03
    0.18965E-03    0.36570E+03
    0.19348E-03    0.37273E+03
    0.19739E-03    0.37990E+03
    0.20138E-03    0.38720E+03
    0.20544E-03    0.39464E+03
    0.20959E-03    0.40223E+03
    0.21383E-03    0.40995E+03
    0.21815E-03    0.41783E+03
    0.22255E-03    0.42586E+03
    0.22705E-03    0.43404E+03
    0.23164E-03    0.44238E+03
    0.23632E-03    0.45088E+03
    0.24109E-03    0.45954E+03
    0.24596E-03    0.46836E+03
    0.25093E-03    0.47736E+03
    0.25600E-03    0.48652E+03
    0.26117E-03    0.49586E+03
    0.26645E-03    0.50538E+03
    0.27183E-03    0.51508E+03
    0.27732E-03    0.52496E+03
    0.28292E-03    0.53504E+03
    0.28864E-03    0.54530E+03
    0.29447E-03    0.55576E+03
    0.30042E-03    0.56642E+03
    0.30649E-03    0.57729E+03
    0.31268E-03    0.58835E+03
    0.31899E-03    0.59963E+03
    0.32544E-03    0.61113E+03
    0.33201E-03    0.62284E+03
    0.33872E-03    0.63477E+03
    0.34556E-03    0.64693E+03
    0.35254E-03    0.65932E+03
    0.35966E-03    0.67195E+03
    0.36693E-03    0.68482E+03
    0.37434E-03    0.69792E+03
    0.38190E-03    0.71128E+03
    0.38962E-03    0.72489E+03
    0.39749E-03    0.73875E+03
    0.40552E-03    0.75288E+03
    0.41371E-03    0.76727E+03
    0.42207E-03    0.78194E+03
    0.43060E-03    0.79688E+03
    0.43929E-03    0.81210E+03
    0.44817E-03    0.82760E+03
    0.45722E-03    0.84340E+03
    0.46646E-03    0.85950E+03
    0.47588E-03    0.87589E+03
    0.48550E-03    0.89260E+03
    0.49530E-03    0.90961E+03
    0.50531E-03    0.92695E+03
    0.51552E-03    0.94460E+03
    0.52593E-03    0.96259E+03
    0.53656E-03    0.98091E+03
    0.54739E-03    0.99957E+03
    0.55845E-03    0.10186E+04
    0.56973E-03    0.10379E+04
    0.58124E-03    0.10577E+04
    0.59299E-03    0.10777E+04
    0.60496E-03    0.10982E+04
    0.61719E-03    0.11190E+04
    0.62965E-03    0.11402E+04
    0.64237E-03    0.11619E+04
    0.65535E-03    0.11839E+04
    0.66859E-03    0.12063E+04
    0.68210E-03    0.12291E+04
    0.69588E-03    0.12523E+04
    0.70993E-03    0.12760E+04
    0.72427E-03    0.13001E+04
    0.73891E-03    0.13246E+04
    0.75383E-03    0.13496E+04
    0.76906E-03    0.13750E+04
    0.78460E-03    0.14009E+04
    0.80045E-03    0.14272E+04
    0.81662E-03    0.14540E+04
    0.83311E-03    0.14814E+04
    0.84994E-03    0.15092E+04
    0.86711E-03    0.15374E+04
    0.88463E-03    0.15662E+04
    0.90250E-03    0.15956E+04
    0.92073E-03    0.16254E+04
    0.93933E-03    0.16558E+04
    0.95831E-03    0.16867E+04
    0.97767E-03    0.17181E+04
