#           k/h    P           
    0.10000E-03    0.49798E+02
    0.10202E-03    0.50756E+02
    0.10408E-03    0.51733E+02
    0.10618E-03    0.52729E+02
    0.10833E-03    0.53744E+02
    0.11052E-03    0.54778E+02
    0.11275E-03    0.55832E+02
    0.11503E-03    0.56907E+02
    0.11735E-03    0.58002E+02
    0.11972E-03    0.59118E+02
    0.12214E-03    0.60256E+02
    0.12461E-03    0.61416E+02
    0.12712E-03    0.62597E+02
    0.12969E-03    0.63802E+02
    0.13231E-03    0.65030E+02
    0.13499E-03    0.66281E+02
    0.13771E-03    0.67556E+02
    0.14049E-03    0.68856E+02
    0.14333E-03    0.70181E+02
    0.14623E-03    0.71531E+02
    0.14918E-03    0.72907E+02
    0.15220E-03    0.74310E+02
    0.15527E-03    0.75740E+02
    0.15841E-03    0.77197E+02
    0.16161E-03    0.78682E+02
    0.16487E-03    0.80195E+02
    0.16820E-03    0.81738E+02
    0.17160E-03    0.83310E+02
    0.17507E-03    0.84912E+02
    0.17860E-03    0.86545E+02
    0.18221E-03    0.88210E+02
    0.18589E-03    0.89906E+02
    0.18965E-03    0.91635E+02
    0.19348E-03    0.93397E+02
    0.19739E-03    0.95193E+02
    0.20138E-03    0.97023E+02
    0.20544E-03    0.98888E+02
    0.20959E-03    0.10079E+03
    0.21383E-03    0.10273E+03
    0.21815E-03    0.10470E+03
    0.22255E-03    0.10671E+03
    0.22705E-03    0.10876E+03
    0.23164E-03    0.11085E+03
    0.23632E-03    0.11298E+03
    0.24109E-03    0.11516E+03
    0.24596E-03    0.11737E+03
    0.25093E-03    0.11962E+03
    0.25600E-03    0.12192E+03
    0.26117E-03    0.12426E+03
    0.26645E-03    0.12665E+03
    0.27183E-03    0.12908E+03
    0.27732E-03    0.13156E+03
    0.28292E-03    0.13408E+03
    0.28864E-03    0.13666E+03
    0.29447E-03    0.13928E+03
    0.30042E-03    0.14195E+03
    0.30649E-03    0.14468E+03
    0.31268E-03    0.14745E+03
    0.31899E-03    0.15028E+03
    0.32544E-03    0.15317E+03
    0.33201E-03    0.15610E+03
    0.33872E-03    0.15910E+03
    0.34556E-03    0.16215E+03
    0.35254E-03    0.16525E+03
    0.35966E-03    0.16842E+03
    0.36693E-03    0.17165E+03
    0.37434E-03    0.17494E+03
    0.38190E-03    0.17829E+03
    0.38962E-03    0.18170E+03
    0.39749E-03    0.18518E+03
    0.40552E-03    0.18872E+03
    0.41371E-03    0.19234E+03
    0.42207E-03    0.19602E+03
    0.43060E-03    0.19977E+03
    0.43929E-03    0.20359E+03
    0.44817E-03    0.20748E+03
    0.45722E-03    0.21144E+03
    0.46646E-03    0.21548E+03
    0.47588E-03    0.21960E+03
    0.48550E-03    0.22379E+03
    0.49530E-03    0.22806E+03
    0.50531E-03    0.23241E+03
    0.51552E-03    0.23685E+03
    0.52593E-03    0.24136E+03
    0.53656E-03    0.24596E+03
    0.54739E-03    0.25065E+03
    0.55845E-03    0.25542E+03
    0.56973E-03    0.26029E+03
    0.58124E-03    0.26524E+03
    0.59299E-03    0.27029E+03
    0.60496E-03    0.27542E+03
    0.61719E-03    0.28066E+03
    0.62965E-03    0.28599E+03
    0.64237E-03    0.29142E+03
    0.65535E-03    0.29695E+03
    0.66859E-03    0.30258E+03
    0.68210E-03    0.30831E+03
    0.69588E-03    0.31415E+03
    0.70993E-03    0.32010E+03
    0.72427E-03    0.32615E+03
    0.73891E-03    0.33232E+03
    0.75383E-03    0.33860E+03
    0.76906E-03    0.34499E+03
    0.78460E-03    0.35150E+03
    0.80045E-03    0.35812E+03
    0.81662E-03    0.36487E+03
    0.83311E-03    0.37174E+03
    0.84994E-03    0.37873E+03
    0.86711E-03    0.38584E+03
    0.88463E-03    0.39309E+03
    0.90250E-03    0.40046E+03
    0.92073E-03    0.40796E+03
    0.93933E-03    0.41560E+03
    0.95831E-03    0.42337E+03
    0.97767E-03    0.43128E+03
    0.99742E-03    0.43933E+03
    0.10176E-02    0.44753E+03
    0.10381E-02    0.45586E+03
    0.10591E-02    0.46434E+03
    0.10805E-02    0.47297E+03
    0.11023E-02    0.48175E+03
    0.11246E-02    0.49068E+03
    0.11473E-02    0.49976E+03
    0.11705E-02    0.50900E+03
    0.11941E-02    0.51840E+03
    0.12182E-02    0.52796E+03
    0.12429E-02    0.53768E+03
    0.12680E-02    0.54757E+03
    0.12936E-02    0.55762E+03
    0.13197E-02    0.56784E+03
    0.13464E-02    0.57823E+03
    0.13736E-02    0.58880E+03
    0.14013E-02    0.59954E+03
    0.14296E-02    0.61046E+03
    0.14585E-02    0.62156E+03
    0.14880E-02    0.63284E+03
    0.15180E-02    0.64431E+03
    0.15487E-02    0.65596E+03
    0.15800E-02    0.66780E+03
    0.16119E-02    0.67983E+03
    0.16445E-02    0.69205E+03
    0.16777E-02    0.70447E+03
    0.17116E-02    0.71709E+03
    0.17462E-02    0.72990E+03
    0.17814E-02    0.74291E+03
    0.18174E-02    0.75612E+03
    0.18541E-02    0.76954E+03
    0.18916E-02    0.78317E+03
    0.19298E-02    0.79700E+03
    0.19688E-02    0.81104E+03
    0.20086E-02    0.82529E+03
    0.20491E-02    0.83976E+03
    0.20905E-02    0.85444E+03
    0.21328E-02    0.86933E+03
    0.21758E-02    0.88444E+03
    0.22198E-02    0.89977E+03
    0.22646E-02    0.91532E+03
    0.23104E-02    0.93109E+03
    0.23571E-02    0.94708E+03
    0.24047E-02    0.96330E+03
    0.24533E-02    0.97974E+03
    0.25028E-02    0.99640E+03
    0.25534E-02    0.10133E+04
    0.26050E-02    0.10304E+04
    0.26576E-02    0.10477E+04
    0.27113E-02    0.10653E+04
    0.27660E-02    0.10831E+04
    0.28219E-02    0.11011E+04
    0.28789E-02    0.11194E+04
    0.29371E-02    0.11378E+04
    0.29964E-02    0.11565E+04
    0.30569E-02    0.11755E+04
    0.31187E-02    0.11946E+04
    0.31817E-02    0.12140E+04
    0.32460E-02    0.12336E+04
    0.33115E-02    0.12534E+04
    0.33784E-02    0.12735E+04
    0.34467E-02    0.12937E+04
    0.35163E-02    0.13142E+04
    0.35874E-02    0.13349E+04
    0.36598E-02    0.13558E+04
    0.37338E-02    0.13769E+04
    0.38092E-02    0.13983E+04
    0.38861E-02    0.14198E+04
    0.39646E-02    0.14415E+04
    0.40447E-02    0.14635E+04
    0.41264E-02    0.14856E+04
    0.42098E-02    0.15079E+04
    0.42948E-02    0.15304E+04
    0.43816E-02    0.15531E+04
    0.44701E-02    0.15760E+04
    0.45604E-02    0.15990E+04
    0.46525E-02    0.16223E+04
    0.47465E-02    0.16456E+04
    0.48424E-02    0.16692E+04
    0.49402E-02    0.16929E+04
    0.50400E-02    0.17167E+04
    0.51419E-02    0.17406E+04
    0.52457E-02    0.17647E+04
    0.53517E-02    0.17890E+04
    0.54598E-02    0.18133E+04
    0.55701E-02    0.18377E+04
    0.56826E-02    0.18622E+04
    0.57974E-02    0.18869E+04
    0.59145E-02    0.19116E+04
    0.60340E-02    0.19363E+04
    0.61559E-02    0.19611E+04
    0.62803E-02    0.19860E+04
    0.64072E-02    0.20109E+04
    0.65366E-02    0.20358E+04
    0.66686E-02    0.20607E+04
    0.68033E-02    0.20857E+04
    0.69408E-02    0.21106E+04
    0.70810E-02    0.21355E+04
    0.72240E-02    0.21603E+04
    0.73700E-02    0.21851E+04
    0.75189E-02    0.22098E+04
    0.76708E-02    0.22344E+04
    0.78257E-02    0.22590E+04
    0.79838E-02    0.22834E+04
    0.81451E-02    0.23076E+04
    0.83096E-02    0.23317E+04
    0.84775E-02    0.23557E+04
    0.86488E-02    0.23794E+04
    0.88235E-02    0.24029E+04
    0.90017E-02    0.24263E+04
    0.91836E-02    0.24493E+04
    0.93691E-02    0.24721E+04
    0.95583E-02    0.24946E+04
    0.97514E-02    0.25167E+04
    0.99484E-02    0.25386E+04
    0.10149E-01    0.25600E+04
    0.10354E-01    0.25811E+04
    0.10564E-01    0.26018E+04
    0.10777E-01    0.26220E+04
    0.10995E-01    0.26418E+04
    0.11217E-01    0.26611E+04
    0.11443E-01    0.26799E+04
    0.11675E-01    0.26982E+04
    0.11910E-01    0.27158E+04
    0.12151E-01    0.27329E+04
    0.12397E-01    0.27494E+04
    0.12647E-01    0.27652E+04
    0.12902E-01    0.27804E+04
    0.13163E-01    0.27948E+04
    0.13429E-01    0.28085E+04
    0.13700E-01    0.28215E+04
    0.13977E-01    0.28336E+04
    0.14259E-01    0.28449E+04
    0.14547E-01    0.28554E+04
    0.14841E-01    0.28650E+04
    0.15141E-01    0.28736E+04
    0.15447E-01    0.28813E+04
    0.15759E-01    0.28880E+04
    0.16077E-01    0.28937E+04
    0.16402E-01    0.28984E+04
    0.16734E-01    0.29020E+04
    0.17072E-01    0.29045E+04
    0.17416E-01    0.29058E+04
    0.17768E-01    0.29060E+04
    0.18127E-01    0.29050E+04
    0.18493E-01    0.29028E+04
    0.18867E-01    0.28994E+04
    0.19248E-01    0.28947E+04
    0.19637E-01    0.28887E+04
    0.20034E-01    0.28814E+04
    0.20438E-01    0.28727E+04
    0.20851E-01    0.28627E+04
    0.21272E-01    0.28514E+04
    0.21702E-01    0.28386E+04
    0.22141E-01    0.28245E+04
    0.22588E-01    0.28090E+04
    0.23044E-01    0.27920E+04
    0.23510E-01    0.27737E+04
    0.23985E-01    0.27539E+04
    0.24469E-01    0.27327E+04
    0.24964E-01    0.27102E+04
    0.25468E-01    0.26862E+04
    0.25982E-01    0.26609E+04
    0.26507E-01    0.26342E+04
    0.27043E-01    0.26062E+04
    0.27589E-01    0.25769E+04
    0.28146E-01    0.25464E+04
    0.28715E-01    0.25146E+04
    0.29295E-01    0.24816E+04
    0.29887E-01    0.24475E+04
    0.30490E-01    0.24123E+04
    0.31106E-01    0.23761E+04
    0.31735E-01    0.23390E+04
    0.32376E-01    0.23009E+04
    0.33030E-01    0.22621E+04
    0.33697E-01    0.22226E+04
    0.34378E-01    0.21824E+04
    0.35072E-01    0.21416E+04
    0.35781E-01    0.21005E+04
    0.36504E-01    0.20589E+04
    0.37241E-01    0.20171E+04
    0.37993E-01    0.19752E+04
    0.38761E-01    0.19332E+04
    0.39544E-01    0.18913E+04
    0.40343E-01    0.18496E+04
    0.41158E-01    0.18082E+04
    0.41989E-01    0.17671E+04
    0.42838E-01    0.17266E+04
    0.43703E-01    0.16867E+04
    0.44586E-01    0.16475E+04
    0.45486E-01    0.16092E+04
    0.46405E-01    0.15717E+04
    0.47343E-01    0.15352E+04
    0.48299E-01    0.14999E+04
    0.49275E-01    0.14657E+04
    0.50270E-01    0.14327E+04
    0.51286E-01    0.14010E+04
    0.52322E-01    0.13707E+04
    0.53379E-01    0.13417E+04
    0.54457E-01    0.13141E+04
    0.55557E-01    0.12879E+04
    0.56680E-01    0.12630E+04
    0.57825E-01    0.12396E+04
    0.58993E-01    0.12175E+04
    0.60184E-01    0.11967E+04
    0.61400E-01    0.11771E+04
    0.62641E-01    0.11587E+04
    0.63906E-01    0.11413E+04
    0.65197E-01    0.11248E+04
    0.66514E-01    0.11091E+04
    0.67858E-01    0.10941E+04
    0.69229E-01    0.10796E+04
    0.70627E-01    0.10654E+04
    0.72054E-01    0.10512E+04
    0.73510E-01    0.10371E+04
    0.74994E-01    0.10226E+04
    0.76509E-01    0.10077E+04
    0.78055E-01    0.99220E+03
    0.79632E-01    0.97584E+03
    0.81241E-01    0.95850E+03
    0.82882E-01    0.94004E+03
    0.84556E-01    0.92036E+03
    0.86264E-01    0.89939E+03
    0.88007E-01    0.87710E+03
    0.89785E-01    0.85351E+03
    0.91598E-01    0.82869E+03
    0.93449E-01    0.80276E+03
    0.95337E-01    0.77589E+03
    0.97263E-01    0.74828E+03
    0.99227E-01    0.72018E+03
    0.10123E+00    0.69189E+03
    0.10328E+00    0.66371E+03
    0.10536E+00    0.63595E+03
    0.10749E+00    0.60894E+03
    0.10966E+00    0.58298E+03
    0.11188E+00    0.55834E+03
    0.11414E+00    0.53529E+03
    0.11644E+00    0.51400E+03
    0.11880E+00    0.49463E+03
    0.12120E+00    0.47726E+03
    0.12365E+00    0.46191E+03
    0.12614E+00    0.44854E+03
    0.12869E+00    0.43702E+03
    0.13129E+00    0.42717E+03
    0.13394E+00    0.41875E+03
    0.13665E+00    0.41144E+03
    0.13941E+00    0.40490E+03
    0.14223E+00    0.39873E+03
    0.14510E+00    0.39253E+03
    0.14803E+00    0.38592E+03
    0.15102E+00    0.37852E+03
    0.15407E+00    0.37007E+03
    0.15718E+00    0.36036E+03
    0.16036E+00    0.34931E+03
    0.16360E+00    0.33698E+03
    0.16690E+00    0.32355E+03
    0.17028E+00    0.30930E+03
    0.17371E+00    0.29463E+03
    0.17722E+00    0.27996E+03
    0.18080E+00    0.26575E+03
    0.18446E+00    0.25240E+03
    0.18818E+00    0.24026E+03
    0.19198E+00    0.22956E+03
    0.19586E+00    0.22043E+03
    0.19982E+00    0.21285E+03
    0.20386E+00    0.20669E+03
    0.20797E+00    0.20168E+03
    0.21218E+00    0.19747E+03
    0.21646E+00    0.19367E+03
    0.22083E+00    0.18982E+03
    0.22530E+00    0.18556E+03
    0.22985E+00    0.18058E+03
    0.23449E+00    0.17472E+03
    0.23923E+00    0.16801E+03
    0.24406E+00    0.16061E+03
    0.24899E+00    0.15283E+03
    0.25402E+00    0.14506E+03
    0.25915E+00    0.13766E+03
    0.26439E+00    0.13097E+03
    0.26973E+00    0.12518E+03
    0.27518E+00    0.12036E+03
    0.28074E+00    0.11640E+03
    0.28641E+00    0.11310E+03
    0.29219E+00    0.11015E+03
    0.29810E+00    0.10723E+03
    0.30412E+00    0.10406E+03
    0.31026E+00    0.10047E+03
    0.31653E+00    0.96453E+02
    0.32292E+00    0.92123E+02
    0.32945E+00    0.87707E+02
    0.33610E+00    0.83463E+02
    0.34289E+00    0.79606E+02
    0.34982E+00    0.76252E+02
    0.35689E+00    0.73393E+02
    0.36409E+00    0.70912E+02
    0.37145E+00    0.68621E+02
    0.37895E+00    0.66326E+02
    0.38661E+00    0.63894E+02
    0.39442E+00    0.61289E+02
    0.40239E+00    0.58578E+02
    0.41052E+00    0.55892E+02
    0.41881E+00    0.53367E+02
    0.42727E+00    0.51091E+02
    0.43590E+00    0.49069E+02
    0.44471E+00    0.47233E+02
    0.45369E+00    0.45480E+02
    0.46286E+00    0.43719E+02
    0.47221E+00    0.41914E+02
    0.48174E+00    0.40091E+02
    0.49148E+00    0.38315E+02
    0.50141E+00    0.36648E+02
    0.51153E+00    0.35115E+02
    0.52187E+00    0.33698E+02
    0.53241E+00    0.32348E+02
    0.54317E+00    0.31022E+02
    0.55414E+00    0.29704E+02
    0.56533E+00    0.28412E+02
    0.57675E+00    0.27175E+02
    0.58840E+00    0.26012E+02
    0.60029E+00    0.24918E+02
    0.61242E+00    0.23875E+02
    0.62479E+00    0.22862E+02
    0.63741E+00    0.21874E+02
    0.65029E+00    0.20920E+02
    0.66342E+00    0.20011E+02
    0.67683E+00    0.19148E+02
    0.69050E+00    0.18325E+02
    0.70445E+00    0.17532E+02
    0.71868E+00    0.16767E+02
    0.73320E+00    0.16031E+02
    0.74801E+00    0.15328E+02
    0.76312E+00    0.14658E+02
    0.77854E+00    0.14016E+02
    0.79426E+00    0.13398E+02
    0.81031E+00    0.12806E+02
    0.82668E+00    0.12239E+02
    0.84338E+00    0.11698E+02
    0.86041E+00    0.11179E+02
    0.87780E+00    0.10681E+02
    0.89553E+00    0.10205E+02
    0.91362E+00    0.97492E+01
    0.93208E+00    0.93132E+01
    0.95091E+00    0.88957E+01
    0.97011E+00    0.84960E+01
    0.98971E+00    0.81136E+01
    0.10097E+01    0.77478E+01
    0.10301E+01    0.73978E+01
    0.10509E+01    0.70630E+01
    0.10721E+01    0.67427E+01
    0.10938E+01    0.64365E+01
    0.11159E+01    0.61437E+01
    0.11384E+01    0.58637E+01
    0.11614E+01    0.55960E+01
    0.11849E+01    0.53401E+01
    0.12088E+01    0.50955E+01
    0.12333E+01    0.48617E+01
    0.12582E+01    0.46383E+01
    0.12836E+01    0.44248E+01
    0.13095E+01    0.42207E+01
    0.13360E+01    0.40258E+01
    0.13630E+01    0.38395E+01
    0.13905E+01    0.36617E+01
    0.14186E+01    0.34918E+01
    0.14472E+01    0.33295E+01
    0.14765E+01    0.31746E+01
    0.15063E+01    0.30266E+01
    0.15367E+01    0.28853E+01
    0.15678E+01    0.27505E+01
    0.15994E+01    0.26217E+01
    0.16318E+01    0.24988E+01
    0.16647E+01    0.23815E+01
    0.16984E+01    0.22695E+01
    0.17327E+01    0.21627E+01
    0.17677E+01    0.20607E+01
    0.18034E+01    0.19634E+01
    0.18398E+01    0.18706E+01
    0.18770E+01    0.17821E+01
    0.19149E+01    0.16976E+01
    0.19536E+01    0.16170E+01
    0.19930E+01    0.15402E+01
    0.20333E+01    0.14669E+01
    0.20744E+01    0.13970E+01
    0.21163E+01    0.13304E+01
    0.21590E+01    0.12668E+01
    0.22026E+01    0.12063E+01
    0.22471E+01    0.11485E+01
    0.22925E+01    0.10935E+01
    0.23388E+01    0.10410E+01
    0.23861E+01    0.99097E+00
    0.24343E+01    0.94330E+00
    0.24835E+01    0.89787E+00
    0.25336E+01    0.85458E+00
    0.25848E+01    0.81333E+00
    0.26370E+01    0.77402E+00
    0.26903E+01    0.73658E+00
    0.27447E+01    0.70091E+00
    0.28001E+01    0.66692E+00
    0.28567E+01    0.63455E+00
    0.29144E+01    0.60372E+00
    0.29733E+01    0.57435E+00
    0.30333E+01    0.54639E+00
    0.30946E+01    0.51975E+00
    0.31571E+01    0.49439E+00
    0.32209E+01    0.47025E+00
    0.32860E+01    0.44726E+00
    0.33523E+01    0.42537E+00
    0.34201E+01    0.40453E+00
    0.34892E+01    0.38469E+00
    0.35596E+01    0.36581E+00
    0.36316E+01    0.34783E+00
    0.37049E+01    0.33073E+00
    0.37798E+01    0.31445E+00
    0.38561E+01    0.29895E+00
    0.39340E+01    0.28421E+00
    0.40135E+01    0.27018E+00
    0.40946E+01    0.25683E+00
    0.41773E+01    0.24413E+00
    0.42617E+01    0.23204E+00
    0.43478E+01    0.22055E+00
    0.44356E+01    0.20961E+00
    0.45252E+01    0.19921E+00
    0.46166E+01    0.18931E+00
    0.47099E+01    0.17990E+00
    0.48050E+01    0.17095E+00
    0.49021E+01    0.16243E+00
    0.50011E+01    0.15434E+00
    0.51021E+01    0.14664E+00
    0.52052E+01    0.13932E+00
    0.53104E+01    0.13236E+00
    0.54176E+01    0.12574E+00
    0.55271E+01    0.11945E+00
    0.56387E+01    0.11346E+00
    0.57526E+01    0.10777E+00
    0.58689E+01    0.10237E+00
    0.59874E+01    0.97229E-01
    0.61084E+01    0.92344E-01
    0.62318E+01    0.87701E-01
    0.63577E+01    0.83287E-01
    0.64861E+01    0.79093E-01
    0.66171E+01    0.75107E-01
    0.67508E+01    0.71319E-01
    0.68872E+01    0.67720E-01
    0.70263E+01    0.64300E-01
    0.71682E+01    0.61050E-01
    0.73130E+01    0.57962E-01
    0.74608E+01    0.55028E-01
    0.76115E+01    0.52241E-01
    0.77653E+01    0.49593E-01
    0.79221E+01    0.47078E-01
    0.80822E+01    0.44688E-01
    0.82454E+01    0.42419E-01
    0.84120E+01    0.40263E-01
    0.85819E+01    0.38215E-01
    0.87553E+01    0.36270E-01
    0.89322E+01    0.34423E-01
    0.91126E+01    0.32669E-01
    0.92967E+01    0.31003E-01
    0.94845E+01    0.29421E-01
    0.96761E+01    0.27919E-01
    0.98716E+01    0.26492E-01
    0.10071E+02    0.25138E-01
    0.10274E+02    0.23852E-01
    0.10482E+02    0.22631E-01
    0.10694E+02    0.21472E-01
    0.10910E+02    0.20372E-01
    0.11130E+02    0.19327E-01
    0.11355E+02    0.18335E-01
    0.11584E+02    0.17394E-01
    0.11818E+02    0.16500E-01
    0.12057E+02    0.15652E-01
    0.12301E+02    0.14847E-01
    0.12549E+02    0.14083E-01
    0.12803E+02    0.13358E-01
    0.13061E+02    0.12669E-01
    0.13325E+02    0.12016E-01
    0.13594E+02    0.11397E-01
    0.13869E+02    0.10808E-01
    0.14149E+02    0.10250E-01
    0.14435E+02    0.97206E-02
    0.14727E+02    0.92180E-02
    0.15024E+02    0.87412E-02
