#    L    TT             EE             BB             TE          
     2    0.19337E+04    0.54723E-01    0.22521E-05    0.42238E+01
     3    0.19822E+04    0.90684E-01    0.45148E-05    0.52376E+01
     4    0.18825E+04    0.10503E+00    0.75476E-05    0.52720E+01
     5    0.17463E+04    0.96876E-01    0.11363E-04    0.48053E+01
     6    0.16140E+04    0.74960E-01    0.15974E-04    0.41365E+01
     7    0.14984E+04    0.50109E-01    0.21394E-04    0.34315E+01
     8    0.14015E+04    0.30001E-01    0.27633E-04    0.27786E+01
     9    0.13225E+04    0.17474E-01    0.34696E-04    0.22231E+01
    10    0.12586E+04    0.11557E-01    0.42582E-04    0.17866E+01
    11    0.12078E+04    0.95673E-02    0.51280E-04    0.14739E+01
    12    0.11673E+04    0.89994E-02    0.60778E-04    0.12770E+01
    13    0.11357E+04    0.84476E-02    0.71055E-04    0.11803E+01
    14    0.11111E+04    0.75966E-02    0.82093E-04    0.11615E+01
    15    0.10925E+04    0.67314E-02    0.93875E-04    0.11970E+01
    16    0.10788E+04    0.62084E-02    0.10639E-03    0.12649E+01
    17    0.10692E+04    0.61665E-02    0.11965E-03    0.13470E+01
    18    0.10625E+04    0.65064E-02    0.13367E-03    0.14289E+01
    19    0.10599E+04    0.70386E-02    0.14846E-03    0.15055E+01
    20    0.10594E+04    0.76100E-02    0.16407E-03    0.15699E+01
    21    0.10609E+04    0.81935E-02    0.18052E-03    0.16229E+01
    22    0.10642E+04    0.88606E-02    0.19783E-03    0.16670E+01
    23    0.10692E+04    0.97186E-02    0.21604E-03    0.17056E+01
    24    0.10755E+04    0.10849E-01    0.23513E-03    0.17426E+01
    25    0.10830E+04    0.12279E-01    0.25509E-03    0.17807E+01
    26    0.10916E+04    0.13996E-01    0.27590E-03    0.18223E+01
    27    0.11011E+04    0.15966E-01    0.29752E-03    0.18669E+01
    28    0.11114E+04    0.18162E-01    0.31993E-03    0.19145E+01
    29    0.11225E+04    0.20571E-01    0.34309E-03    0.19619E+01
    30    0.11342E+04    0.23194E-01    0.36699E-03    0.20077E+01
    31    0.11465E+04    0.26029E-01    0.39165E-03    0.20473E+01
    32    0.11594E+04    0.29074E-01    0.41708E-03    0.20793E+01
    33    0.11729E+04    0.32324E-01    0.44333E-03    0.21001E+01
    34    0.11867E+04    0.35776E-01    0.47042E-03    0.21091E+01
    35    0.12011E+04    0.39436E-01    0.49840E-03    0.21046E+01
    36    0.12158E+04    0.43316E-01    0.52729E-03    0.20871E+01
    37    0.12310E+04    0.47438E-01    0.55711E-03    0.20567E+01
    38    0.12465E+04    0.51825E-01    0.58783E-03    0.20143E+01
    39    0.12624E+04    0.56486E-01    0.61943E-03    0.19610E+01
    40    0.12784E+04    0.61433E-01    0.65187E-03    0.18974E+01
    41    0.12949E+04    0.66678E-01    0.68510E-03    0.18239E+01
    42    0.13116E+04    0.72223E-01    0.71908E-03    0.17410E+01
