#           k/h    P           
    0.10000E-03    0.14211E+03
    0.10202E-03    0.14486E+03
    0.10408E-03    0.14766E+03
    0.10618E-03    0.15051E+03
    0.10833E-03    0.15342E+03
    0.11052E-03    0.15639E+03
    0.11275E-03    0.15941E+03
    0.11503E-03    0.16249E+03
    0.11735E-03    0.16564E+03
    0.11972E-03    0.16884E+03
    0.12214E-03    0.17210E+03
    0.12461E-03    0.17543E+03
    0.12712E-03    0.17882E+03
    0.12969E-03    0.18228E+03
    0.13231E-03    0.18580E+03
    0.13499E-03    0.18939E+03
    0.13771E-03    0.19305E+03
    0.14049E-03    0.19678E+03
    0.14333E-03    0.20058E+03
    0.14623E-03    0.20446E+03
    0.14918E-03    0.20841E+03
    0.15220E-03    0.21244E+03
    0.15527E-03    0.21654E+03
    0.15841E-03    0.22073E+03
    0.16161E-03    0.22499E+03
    0.16487E-03    0.22934E+03
    0.16820E-03    0.23377E+03
    0.17160E-03    0.23829E+03
    0.17507E-03    0.24289E+03
    0.17860E-03    0.24758E+03
    0.18221E-03    0.25236E+03
    0.18589E-03    0.25724E+03
    0.18965E-03    0.26221E+03
    0.19348E-03    0.26727E+03
    0.19739E-03    0.27243E+03
    0.20138E-03    0.27769E+03
    0.20544E-03    0.28305E+03
    0.20959E-03    0.28852E+03
    0.21383E-03    0.29409E+03
    0.21815E-03    0.29976E+03
    0.22255E-03    0.30555E+03
    0.22705E-03    0.31145E+03
    0.23164E-03    0.31746E+03
    0.23632E-03    0.32358E+03
    0.24109E-03    0.32982E+03
    0.24596E-03    0.33619E+03
    0.25093E-03    0.34267E+03
    0.25600E-03    0.34928E+03
    0.26117E-03    0.35602E+03
    0.26645E-03    0.36288E+03
    0.27183E-03    0.36988E+03
    0.27732E-03    0.37701E+03
    0.28292E-03    0.38427E+03
    0.28864E-03    0.39168E+03
    0.29447E-03    0.39923E+03
    0.30042E-03    0.40692E+03
    0.30649E-03    0.41476E+03
    0.31268E-03    0.42274E+03
    0.31899E-03    0.43089E+03
    0.32544E-03    0.43918E+03
    0.33201E-03    0.44763E+03
    0.33872E-03    0.45625E+03
    0.34556E-03    0.46503E+03
    0.35254E-03    0.47397E+03
    0.35966E-03    0.48309E+03
    0.36693E-03    0.49238E+03
    0.37434E-03    0.50184E+03
    0.38190E-03    0.51149E+03
    0.38962E-03    0.52132E+03
    0.39749E-03    0.53133E+03
    0.40552E-03    0.54153E+03
    0.41371E-03    0.55193E+03
    0.42207E-03    0.56252E+03
    0.43060E-03    0.57332E+03
    0.43929E-03    0.58431E+03
    0.44817E-03    0.59552E+03
    0.45722E-03    0.60693E+03
    0.46646E-03    0.61856E+03
    0.47588E-03    0.63041E+03
    0.48550E-03    0.64248E+03
    0.49530E-03    0.65477E+03
    0.50531E-03    0.66730E+03
    0.51552E-03    0.68006E+03
    0.52593E-03    0.69306E+03
    0.53656E-03    0.70630E+03
    0.54739E-03    0.71979E+03
    0.55845E-03    0.73353E+03
    0.56973E-03    0.74752E+03
    0.58124E-03    0.76178E+03
    0.59299E-03    0.77629E+03
    0.60496E-03    0.79108E+03
    0.61719E-03    0.80614E+03
    0.62965E-03    0.82148E+03
    0.64237E-03    0.83709E+03
    0.65535E-03    0.85300E+03
    0.66859E-03    0.86920E+03
    0.68210E-03    0.88569E+03
    0.69588E-03    0.90248E+03
    0.70993E-03    0.91958E+03
    0.72427E-03    0.93700E+03
    0.73891E-03    0.95472E+03
    0.75383E-03    0.97277E+03
    0.76906E-03    0.99114E+03
    0.78460E-03    0.10098E+04
    0.80045E-03    0.10289E+04
    0.81662E-03    0.10483E+04
    0.83311E-03    0.10680E+04
    0.84994E-03    0.10881E+04
    0.86711E-03    0.11085E+04
    0.88463E-03    0.11293E+04
    0.90250E-03    0.11505E+04
    0.92073E-03    0.11720E+04
    0.93933E-03    0.11940E+04
    0.95831E-03    0.12163E+04
    0.97767E-03    0.12390E+04
    0.99742E-03    0.12621E+04
    0.10176E-02    0.12856E+04
    0.10381E-02    0.13095E+04
    0.10591E-02    0.13338E+04
    0.10805E-02    0.13585E+04
    0.11023E-02    0.13836E+04
    0.11246E-02    0.14092E+04
    0.11473E-02    0.14352E+04
    0.11705E-02    0.14617E+04
    0.11941E-02    0.14886E+04
    0.12182E-02    0.15160E+04
    0.12429E-02    0.15438E+04
    0.12680E-02    0.15720E+04
    0.12936E-02    0.16008E+04
    0.13197E-02    0.16300E+04
    0.13464E-02    0.16597E+04
    0.13736E-02    0.16898E+04
    0.14013E-02    0.17205E+04
    0.14296E-02    0.17517E+04
    0.14585E-02    0.17833E+04
    0.14880E-02    0.18155E+04
    0.15180E-02    0.18481E+04
    0.15487E-02    0.18813E+04
    0.15800E-02    0.19150E+04
    0.16119E-02    0.19493E+04
    0.16445E-02    0.19840E+04
    0.16777E-02    0.20193E+04
    0.17116E-02    0.20551E+04
    0.17462E-02    0.20915E+04
    0.17814E-02    0.21284E+04
    0.18174E-02    0.21658E+04
    0.18541E-02    0.22039E+04
    0.18916E-02    0.22424E+04
    0.19298E-02    0.22815E+04
    0.19688E-02    0.23212E+04
    0.20086E-02    0.23615E+04
    0.20491E-02    0.24023E+04
    0.20905E-02    0.24437E+04
    0.21328E-02    0.24857E+04
    0.21758E-02    0.25282E+04
    0.22198E-02    0.25713E+04
    0.22646E-02    0.26150E+04
    0.23104E-02    0.26593E+04
    0.23571E-02    0.27041E+04
    0.24047E-02    0.27496E+04
    0.24533E-02    0.27956E+04
    0.25028E-02    0.28422E+04
    0.25534E-02    0.28893E+04
    0.26050E-02    0.29371E+04
    0.26576E-02    0.29854E+04
    0.27113E-02    0.30343E+04
    0.27660E-02    0.30838E+04
    0.28219E-02    0.31339E+04
    0.28789E-02    0.31845E+04
    0.29371E-02    0.32357E+04
    0.29964E-02    0.32874E+04
    0.30569E-02    0.33397E+04
    0.31187E-02    0.33926E+04
    0.31817E-02    0.34460E+04
    0.32460E-02    0.34999E+04
    0.33115E-02    0.35544E+04
    0.33784E-02    0.36094E+04
    0.34467E-02    0.36649E+04
    0.35163E-02    0.37209E+04
    0.35874E-02    0.37775E+04
    0.36598E-02    0.38345E+04
    0.37338E-02    0.38920E+04
    0.38092E-02    0.39499E+04
    0.38861E-02    0.40083E+04
    0.39646E-02    0.40672E+04
    0.40447E-02    0.41264E+04
    0.41264E-02    0.41861E+04
    0.42098E-02    0.42462E+04
    0.42948E-02    0.43066E+04
    0.43816E-02    0.43674E+04
    0.44701E-02    0.44286E+04
    0.45604E-02    0.44901E+04
    0.46525E-02    0.45518E+04
    0.47465E-02    0.46139E+04
    0.48424E-02    0.46762E+04
    0.49402E-02    0.47387E+04
    0.50400E-02    0.48015E+04
    0.51419E-02    0.48644E+04
    0.52457E-02    0.49275E+04
    0.53517E-02    0.49907E+04
    0.54598E-02    0.50540E+04
    0.55701E-02    0.51174E+04
    0.56826E-02    0.51808E+04
    0.57974E-02    0.52442E+04
    0.59145E-02    0.53075E+04
    0.60340E-02    0.53708E+04
    0.61559E-02    0.54340E+04
    0.62803E-02    0.54971E+04
    0.64072E-02    0.55600E+04
    0.65366E-02    0.56226E+04
    0.66686E-02    0.56850E+04
    0.68033E-02    0.57470E+04
    0.69408E-02    0.58087E+04
    0.70810E-02    0.58700E+04
    0.72240E-02    0.59309E+04
    0.73700E-02    0.59912E+04
    0.75189E-02    0.60510E+04
    0.76708E-02    0.61102E+04
    0.78257E-02    0.61687E+04
    0.79838E-02    0.62265E+04
    0.81451E-02    0.62835E+04
    0.83096E-02    0.63396E+04
    0.84775E-02    0.63949E+04
    0.86488E-02    0.64492E+04
    0.88235E-02    0.65025E+04
    0.90017E-02    0.65547E+04
    0.91836E-02    0.66058E+04
    0.93691E-02    0.66556E+04
    0.95583E-02    0.67042E+04
    0.97514E-02    0.67513E+04
    0.99484E-02    0.67971E+04
    0.10149E-01    0.68413E+04
    0.10354E-01    0.68839E+04
    0.10564E-01    0.69249E+04
    0.10777E-01    0.69642E+04
    0.10995E-01    0.70016E+04
    0.11217E-01    0.70372E+04
    0.11443E-01    0.70708E+04
    0.11675E-01    0.71023E+04
    0.11910E-01    0.71317E+04
    0.12151E-01    0.71589E+04
    0.12397E-01    0.71839E+04
    0.12647E-01    0.72064E+04
    0.12902E-01    0.72265E+04
    0.13163E-01    0.72441E+04
    0.13429E-01    0.72591E+04
    0.13700E-01    0.72715E+04
    0.13977E-01    0.72810E+04
    0.14259E-01    0.72878E+04
    0.14547E-01    0.72916E+04
    0.14841E-01    0.72925E+04
    0.15141E-01    0.72904E+04
    0.15447E-01    0.72852E+04
    0.15759E-01    0.72769E+04
    0.16077E-01    0.72653E+04
    0.16402E-01    0.72505E+04
    0.16734E-01    0.72325E+04
    0.17072E-01    0.72111E+04
    0.17416E-01    0.71863E+04
    0.17768E-01    0.71582E+04
    0.18127E-01    0.71267E+04
    0.18493E-01    0.70917E+04
    0.18867E-01    0.70534E+04
    0.19248E-01    0.70117E+04
    0.19637E-01    0.69666E+04
    0.20034E-01    0.69181E+04
    0.20438E-01    0.68663E+04
    0.20851E-01    0.68113E+04
    0.21272E-01    0.67530E+04
    0.21702E-01    0.66916E+04
    0.22141E-01    0.66272E+04
    0.22588E-01    0.65598E+04
    0.23044E-01    0.64896E+04
    0.23510E-01    0.64166E+04
    0.23985E-01    0.63411E+04
    0.24469E-01    0.62632E+04
    0.24964E-01    0.61829E+04
    0.25468E-01    0.61006E+04
    0.25982E-01    0.60164E+04
    0.26507E-01    0.59304E+04
    0.27043E-01    0.58429E+04
    0.27589E-01    0.57541E+04
    0.28146E-01    0.56643E+04
    0.28715E-01    0.55736E+04
