#    L    TT             EE             TE             PP             TP          
     2    0.18498E+04    0.51508E-01    0.40178E+01    0.24418E+07   -0.98386E+05
     3    0.18957E+04    0.84459E-01    0.49567E+01    0.36289E+07   -0.12933E+06
     4    0.18001E+04    0.96770E-01    0.49668E+01    0.45932E+07   -0.14368E+06
     5    0.16699E+04    0.88225E-01    0.45080E+01    0.53765E+07   -0.14834E+06
     6    0.15435E+04    0.67412E-01    0.38648E+01    0.60153E+07   -0.14753E+06
     7    0.14330E+04    0.44493E-01    0.31941E+01    0.65420E+07   -0.14375E+06
     8    0.13406E+04    0.26383E-01    0.25787E+01    0.69798E+07   -0.13841E+06
     9    0.12653E+04    0.15381E-01    0.20600E+01    0.73469E+07   -0.13233E+06
    10    0.12043E+04    0.10337E-01    0.16570E+01    0.76555E+07   -0.12595E+06
    11    0.11558E+04    0.86820E-02    0.13725E+01    0.79177E+07   -0.11957E+06
    12    0.11172E+04    0.81585E-02    0.11975E+01    0.81379E+07   -0.11329E+06
    13    0.10870E+04    0.75850E-02    0.11156E+01    0.83266E+07   -0.10726E+06
    14    0.10635E+04    0.67637E-02    0.11051E+01    0.84852E+07   -0.10147E+06
    15    0.10457E+04    0.59877E-02    0.11432E+01    0.86209E+07   -0.96001E+05
    16    0.10327E+04    0.55635E-02    0.12096E+01    0.87359E+07   -0.90837E+05
    17    0.10234E+04    0.55793E-02    0.12875E+01    0.88313E+07   -0.85957E+05
    18    0.10170E+04    0.59184E-02    0.13639E+01    0.89120E+07   -0.81390E+05
    19    0.10146E+04    0.64081E-02    0.14351E+01    0.89790E+07   -0.77118E+05
    20    0.10140E+04    0.69279E-02    0.14949E+01    0.90332E+07   -0.73107E+05
    21    0.10154E+04    0.74756E-02    0.15447E+01    0.90765E+07   -0.69355E+05
    22    0.10185E+04    0.81287E-02    0.15870E+01    0.91109E+07   -0.65848E+05
    23    0.10232E+04    0.89827E-02    0.16252E+01    0.91366E+07   -0.62561E+05
    24    0.10292E+04    0.10100E-01    0.16629E+01    0.91546E+07   -0.59479E+05
    25    0.10364E+04    0.11495E-01    0.17022E+01    0.91658E+07   -0.56583E+05
    26    0.10445E+04    0.13148E-01    0.17450E+01    0.91713E+07   -0.53862E+05
    27    0.10535E+04    0.15029E-01    0.17904E+01    0.91710E+07   -0.51298E+05
    28    0.10634E+04    0.17117E-01    0.18382E+01    0.91662E+07   -0.48887E+05
    29    0.10739E+04    0.19405E-01    0.18850E+01    0.91563E+07   -0.46606E+05
    30    0.10851E+04    0.21893E-01    0.19294E+01    0.91429E+07   -0.44459E+05
    31    0.10968E+04    0.24580E-01    0.19670E+01    0.91256E+07   -0.42428E+05
    32    0.11091E+04    0.27465E-01    0.19967E+01    0.91053E+07   -0.40515E+05
    33    0.11219E+04    0.30543E-01    0.20154E+01    0.90818E+07   -0.38707E+05
    34    0.11351E+04    0.33814E-01    0.20226E+01    0.90558E+07   -0.37001E+05
    35    0.11488E+04    0.37287E-01    0.20170E+01    0.90273E+07   -0.35387E+05
    36    0.11628E+04    0.40976E-01    0.19994E+01    0.89965E+07   -0.33863E+05
    37    0.11772E+04    0.44902E-01    0.19698E+01    0.89638E+07   -0.32421E+05
    38    0.11920E+04    0.49085E-01    0.19294E+01    0.89292E+07   -0.31055E+05
    39    0.12072E+04    0.53532E-01    0.18788E+01    0.88930E+07   -0.29759E+05
    40    0.12225E+04    0.58252E-01    0.18188E+01    0.88553E+07   -0.28530E+05
    41    0.12382E+04    0.63253E-01    0.17495E+01    0.88162E+07   -0.27363E+05
    42    0.12541E+04    0.68538E-01    0.16711E+01    0.87759E+07   -0.26253E+05
    43    0.12703E+04    0.74107E-01    0.15834E+01    0.87345E+07   -0.25197E+05
    44    0.12867E+04    0.79951E-01    0.14854E+01    0.86921E+07   -0.24191E+05
    45    0.13034E+04    0.86076E-01    0.13765E+01    0.86488E+07   -0.23233E+05
    46    0.13203E+04    0.92491E-01    0.12559E+01    0.86046E+07   -0.22320E+05
    47    0.13375E+04    0.99184E-01    0.11228E+01    0.85598E+07   -0.21451E+05
    48    0.13549E+04    0.10616E+00    0.97644E+00    0.85142E+07   -0.20622E+05
    49    0.13725E+04    0.11341E+00    0.81629E+00    0.84682E+07   -0.19831E+05
    50    0.13904E+04    0.12097E+00    0.64221E+00    0.84216E+07   -0.19078E+05
    51    0.14084E+04    0.12881E+00    0.45435E+00    0.83745E+07   -0.18359E+05
    52    0.14268E+04    0.13693E+00    0.25287E+00    0.83271E+07   -0.17673E+05
    53    0.14455E+04    0.14536E+00    0.37870E-01    0.82793E+07   -0.17017E+05
    54    0.14642E+04    0.15408E+00   -0.19015E+00    0.82312E+07   -0.16389E+05
    55    0.14831E+04    0.16309E+00   -0.43075E+00    0.81829E+07   -0.15790E+05
    56    0.15023E+04    0.17241E+00   -0.68383E+00    0.81343E+07   -0.15217E+05
    57    0.15217E+04    0.18201E+00   -0.94945E+00    0.80856E+07   -0.14668E+05
    58    0.15413E+04    0.19191E+00   -0.12279E+01    0.80368E+07   -0.14141E+05
    59    0.15611E+04    0.20211E+00   -0.15193E+01    0.79879E+07   -0.13636E+05
    60    0.15812E+04    0.21256E+00   -0.18225E+01    0.79389E+07   -0.13152E+05
    61    0.16018E+04    0.22328E+00   -0.21364E+01    0.78899E+07   -0.12688E+05
    62    0.16223E+04    0.23426E+00   -0.24624E+01    0.78408E+07   -0.12242E+05
    63    0.16430E+04    0.24549E+00   -0.28022E+01    0.77918E+07   -0.11815E+05
    64    0.16641E+04    0.25702E+00   -0.31576E+01    0.77428E+07   -0.11405E+05
    65    0.16852E+04    0.26887E+00   -0.35299E+01    0.76938E+07   -0.11011E+05
    66    0.17065E+04    0.28098E+00   -0.39178E+01    0.76449E+07   -0.10632E+05
    67    0.17280E+04    0.29334E+00   -0.43190E+01    0.75961E+07   -0.10269E+05
    68    0.17499E+04    0.30598E+00   -0.47319E+01    0.75474E+07   -0.99199E+04
    69    0.17719E+04    0.31882E+00   -0.51538E+01    0.74989E+07   -0.95841E+04
    70    0.17943E+04    0.33187E+00   -0.55850E+01    0.74505E+07   -0.92613E+04
    71    0.18169E+04    0.34512E+00   -0.60268E+01    0.74023E+07   -0.89507E+04
    72    0.18397E+04    0.35853E+00   -0.64805E+01    0.73543E+07   -0.86519E+04
    73    0.18627E+04    0.37210E+00   -0.69467E+01    0.73064E+07   -0.83642E+04
    74    0.18859E+04    0.38584E+00   -0.74248E+01    0.72587E+07   -0.80870E+04
    75    0.19094E+04    0.39977E+00   -0.79134E+01    0.72112E+07   -0.78198E+04
    76    0.19331E+04    0.41391E+00   -0.84129E+01    0.71640E+07   -0.75621E+04
    77    0.19570E+04    0.42824E+00   -0.89230E+01    0.71170E+07   -0.73137E+04
    78    0.19813E+04    0.44279E+00   -0.94450E+01    0.70701E+07   -0.70742E+04
    79    0.20058E+04    0.45748E+00   -0.99749E+01    0.70236E+07   -0.68432E+04
    80    0.20306E+04    0.47230E+00   -0.10514E+02    0.69773E+07   -0.66203E+04
    81    0.20555E+04    0.48721E+00   -0.11062E+02    0.69312E+07   -0.64052E+04
    82    0.20808E+04    0.50222E+00   -0.11620E+02    0.68854E+07   -0.61976E+04
    83    0.21062E+04    0.51731E+00   -0.12186E+02    0.68399E+07   -0.59972E+04
    84    0.21319E+04    0.53247E+00   -0.12760E+02    0.67946E+07   -0.58038E+04
    85    0.21578E+04    0.54769E+00   -0.13342E+02    0.67496E+07   -0.56169E+04
    86    0.21838E+04    0.56297E+00   -0.13932E+02    0.67049E+07   -0.54365E+04
    87    0.22103E+04    0.57828E+00   -0.14529E+02    0.66605E+07   -0.52622E+04
    88    0.22368E+04    0.59364E+00   -0.15131E+02    0.66164E+07   -0.50937E+04
    89    0.22637E+04    0.60903E+00   -0.15742E+02    0.65726E+07   -0.49309E+04
    90    0.22908E+04    0.62441E+00   -0.16357E+02    0.65290E+07   -0.47733E+04
    91    0.23181E+04    0.63978E+00   -0.16976E+02    0.64858E+07   -0.46210E+04
    92    0.23457E+04    0.65511E+00   -0.17601E+02    0.64428E+07   -0.44735E+04
    93    0.23735E+04    0.67040E+00   -0.18230E+02    0.64001E+07   -0.43309E+04
    94    0.24015E+04    0.68562E+00   -0.18862E+02    0.63578E+07   -0.41928E+04
    95    0.24297E+04    0.70076E+00   -0.19498E+02    0.63157E+07   -0.40592E+04
    96    0.24580E+04    0.71582E+00   -0.20137E+02    0.62740E+07   -0.39298E+04
    97    0.24867E+04    0.73077E+00   -0.20778E+02    0.62326E+07   -0.38044E+04
    98    0.25156E+04    0.74560E+00   -0.21420E+02    0.61914E+07   -0.36829E+04
    99    0.25446E+04    0.76029E+00   -0.22065E+02    0.61506E+07   -0.35652E+04
   100    0.25738E+04    0.77483E+00   -0.22709E+02    0.61101E+07   -0.34510E+04
   101    0.26033E+04    0.78928E+00   -0.23355E+02    0.60699E+07   -0.33405E+04
   102    0.26332E+04    0.80349E+00   -0.24000E+02    0.60300E+07   -0.32334E+04
   103    0.26631E+04    0.81753E+00   -0.24646E+02    0.59904E+07   -0.31296E+04
   104    0.26931E+04    0.83140E+00   -0.25289E+02    0.59511E+07   -0.30290E+04
   105    0.27234E+04    0.84504E+00   -0.25931E+02    0.59121E+07   -0.29316E+04
   106    0.27538E+04    0.85850E+00   -0.26571E+02    0.58734E+07   -0.28372E+04
   107    0.27842E+04    0.87165E+00   -0.27207E+02    0.58351E+07   -0.27457E+04
   108    0.28149E+04    0.88456E+00   -0.27841E+02    0.57970E+07   -0.26570E+04
   109    0.28458E+04    0.89715E+00   -0.28471E+02    0.57592E+07   -0.25710E+04
