#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.19337E+04    0.42238E+01   -0.45121E-02    0.42238E+01    0.54721E-01   -0.77739E-05   -0.45121E-02   -0.77739E-05    0.20550E-07
     3    0.19822E+04    0.52376E+01   -0.35157E-02    0.52376E+01    0.90679E-01   -0.66222E-05   -0.35157E-02   -0.66222E-05    0.12069E-07
     4    0.18824E+04    0.52720E+01   -0.27468E-02    0.52720E+01    0.10502E+00   -0.52209E-05   -0.27468E-02   -0.52209E-05    0.80577E-08
     5    0.17463E+04    0.48053E+01   -0.21784E-02    0.48053E+01    0.96864E-01   -0.38662E-05   -0.21784E-02   -0.38662E-05    0.57959E-08
     6    0.16140E+04    0.41366E+01   -0.17556E-02    0.41366E+01    0.74944E-01   -0.26650E-05   -0.17556E-02   -0.26650E-05    0.43787E-08
     7    0.14983E+04    0.34315E+01   -0.14365E-02    0.34315E+01    0.50087E-01   -0.16683E-05   -0.14365E-02   -0.16683E-05    0.34277E-08
     8    0.14015E+04    0.27787E+01   -0.11915E-02    0.27787E+01    0.29974E-01   -0.89385E-06   -0.11915E-02   -0.89385E-06    0.27566E-08
     9    0.13225E+04    0.22232E+01   -0.10002E-02    0.22232E+01    0.17439E-01   -0.33752E-06   -0.10002E-02   -0.33752E-06    0.22645E-08
    10    0.12586E+04    0.17867E+01   -0.84832E-03    0.17867E+01    0.11515E-01    0.20935E-07   -0.84832E-03    0.20935E-07    0.18924E-08
    11    0.12077E+04    0.14740E+01   -0.72619E-03    0.14740E+01    0.95165E-02    0.21390E-06   -0.72619E-03    0.21390E-06    0.16043E-08
    12    0.11672E+04    0.12771E+01   -0.62640E-03    0.12771E+01    0.89392E-02    0.27937E-06   -0.62640E-03    0.27937E-06    0.13760E-08
    13    0.11356E+04    0.11804E+01   -0.54425E-03    0.11804E+01    0.83773E-02    0.25641E-06   -0.54425E-03    0.25641E-06    0.11926E-08
    14    0.11109E+04    0.11616E+01   -0.47572E-03    0.11616E+01    0.75153E-02    0.18099E-06   -0.47572E-03    0.18099E-06    0.10427E-08
    15    0.10923E+04    0.11970E+01   -0.41824E-03    0.11970E+01    0.66383E-02    0.83403E-07   -0.41824E-03    0.83403E-07    0.91875E-09
    16    0.10786E+04    0.12650E+01   -0.36958E-03    0.12650E+01    0.61026E-02   -0.13327E-07   -0.36958E-03   -0.13327E-07    0.81512E-09
    17    0.10689E+04    0.13471E+01   -0.32804E-03    0.13471E+01    0.60473E-02   -0.93788E-07   -0.32804E-03   -0.93788E-07    0.72744E-09
    18    0.10622E+04    0.14290E+01   -0.29247E-03    0.14290E+01    0.63731E-02   -0.14975E-06   -0.29247E-03   -0.14975E-06    0.65280E-09
    19    0.10597E+04    0.15057E+01   -0.26181E-03    0.15057E+01    0.68902E-02   -0.17904E-06   -0.26181E-03   -0.17904E-06    0.58870E-09
    20    0.10591E+04    0.15701E+01   -0.23521E-03    0.15701E+01    0.74458E-02   -0.18407E-06   -0.23521E-03   -0.18407E-06    0.53319E-09
    21    0.10605E+04    0.16232E+01   -0.21203E-03    0.16232E+01    0.80126E-02   -0.17031E-06   -0.21203E-03   -0.17031E-06    0.48486E-09
    22    0.10639E+04    0.16673E+01   -0.19177E-03    0.16673E+01    0.86622E-02   -0.14452E-06   -0.19177E-03   -0.14452E-06    0.44256E-09
    23    0.10688E+04    0.17060E+01   -0.17395E-03    0.17060E+01    0.95020E-02   -0.11350E-06   -0.17395E-03   -0.11350E-06    0.40531E-09
    24    0.10751E+04    0.17431E+01   -0.15822E-03    0.17431E+01    0.10613E-01   -0.83109E-07   -0.15822E-03   -0.83109E-07    0.37234E-09
    25    0.10826E+04    0.17812E+01   -0.14427E-03    0.17812E+01    0.12024E-01   -0.57700E-07   -0.14427E-03   -0.57700E-07    0.34303E-09
    26    0.10911E+04    0.18228E+01   -0.13186E-03    0.18228E+01    0.13720E-01   -0.39783E-07   -0.13186E-03   -0.39783E-07    0.31688E-09
    27    0.11006E+04    0.18675E+01   -0.12077E-03    0.18675E+01    0.15668E-01   -0.30066E-07   -0.12077E-03   -0.30066E-07    0.29345E-09
    28    0.11109E+04    0.19151E+01   -0.11085E-03    0.19151E+01    0.17842E-01   -0.27830E-07   -0.11085E-03   -0.27830E-07    0.27238E-09
    29    0.11219E+04    0.19627E+01   -0.10192E-03    0.19627E+01    0.20229E-01   -0.31415E-07   -0.10192E-03   -0.31415E-07    0.25335E-09
    30    0.11336E+04    0.20085E+01   -0.93882E-04    0.20085E+01    0.22827E-01   -0.38665E-07   -0.93882E-04   -0.38665E-07    0.23614E-09
    31    0.11459E+04    0.20482E+01   -0.86617E-04    0.20482E+01    0.25638E-01   -0.47283E-07   -0.86617E-04   -0.47283E-07    0.22051E-09
    32    0.11588E+04    0.20804E+01   -0.80051E-04    0.20804E+01    0.28657E-01   -0.55247E-07   -0.80051E-04   -0.55247E-07    0.20629E-09
    33    0.11722E+04    0.21014E+01   -0.74094E-04    0.21014E+01    0.31881E-01   -0.61115E-07   -0.74094E-04   -0.61115E-07    0.19330E-09
    34    0.11860E+04    0.21105E+01   -0.68686E-04    0.21105E+01    0.35306E-01   -0.64144E-07   -0.68686E-04   -0.64144E-07    0.18143E-09
    35    0.12003E+04    0.21061E+01   -0.63762E-04    0.21061E+01    0.38938E-01   -0.64183E-07   -0.63762E-04   -0.64183E-07    0.17053E-09
    36    0.12150E+04    0.20888E+01   -0.59275E-04    0.20888E+01    0.42790E-01   -0.61550E-07   -0.59275E-04   -0.61550E-07    0.16052E-09
    37    0.12301E+04    0.20585E+01   -0.55177E-04    0.20585E+01    0.46882E-01   -0.56939E-07   -0.55177E-04   -0.56939E-07    0.15131E-09
    38    0.12456E+04    0.20163E+01   -0.51426E-04    0.20163E+01    0.51239E-01   -0.51358E-07   -0.51426E-04   -0.51358E-07    0.14280E-09
    39    0.12614E+04    0.19631E+01   -0.47986E-04    0.19631E+01    0.55870E-01   -0.45606E-07   -0.47986E-04   -0.45606E-07    0.13493E-09
    40    0.12775E+04    0.18996E+01   -0.44828E-04    0.18996E+01    0.60785E-01   -0.40413E-07   -0.44828E-04   -0.40413E-07    0.12765E-09
    41    0.12939E+04    0.18263E+01   -0.41922E-04    0.18263E+01    0.65998E-01   -0.36404E-07   -0.41922E-04   -0.36404E-07    0.12090E-09
    42    0.13105E+04    0.17434E+01   -0.39244E-04    0.17434E+01    0.71510E-01   -0.33785E-07   -0.39244E-04   -0.33785E-07    0.11462E-09
    43    0.13276E+04    0.16510E+01   -0.36770E-04    0.16510E+01    0.77320E-01   -0.32588E-07   -0.36770E-04   -0.32588E-07    0.10878E-09
    44    0.13447E+04    0.15482E+01   -0.34483E-04    0.15482E+01    0.83421E-01   -0.32571E-07   -0.34483E-04   -0.32571E-07    0.10334E-09
    45    0.13621E+04    0.14344E+01   -0.32366E-04    0.14344E+01    0.89817E-01   -0.33400E-07   -0.32366E-04   -0.33400E-07    0.98255E-10
    46    0.13799E+04    0.13087E+01   -0.30405E-04    0.13087E+01    0.96518E-01   -0.34640E-07   -0.30405E-04   -0.34640E-07    0.93507E-10
    47    0.13979E+04    0.11702E+01   -0.28586E-04    0.11702E+01    0.10351E+00   -0.35868E-07   -0.28586E-04   -0.35868E-07    0.89065E-10
    48    0.14161E+04    0.10181E+01   -0.26898E-04    0.10181E+01    0.11080E+00   -0.36806E-07   -0.26898E-04   -0.36806E-07    0.84904E-10
    49    0.14345E+04    0.85162E+00   -0.25328E-04    0.85162E+00    0.11838E+00   -0.37242E-07   -0.25328E-04   -0.37242E-07    0.81001E-10
    50    0.14532E+04    0.67055E+00   -0.23868E-04    0.67055E+00    0.12627E+00   -0.37078E-07   -0.23868E-04   -0.37078E-07    0.77337E-10
    51    0.14721E+04    0.47494E+00   -0.22510E-04    0.47494E+00    0.13446E+00   -0.36294E-07   -0.22510E-04   -0.36294E-07    0.73891E-10
    52    0.14914E+04    0.26488E+00   -0.21244E-04    0.26488E+00    0.14294E+00   -0.35050E-07   -0.21244E-04   -0.35050E-07    0.70649E-10
