#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.182111E-05   0.138467E+08   0.138467E+08   0.184620E+08   0.184620E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.150846E+01
   0.185787E-05   0.138467E+08   0.138467E+08   0.184620E+08   0.184620E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.153891E+01
   0.189538E-05   0.138467E+08   0.138467E+08   0.184620E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.156997E+01
   0.193364E-05   0.138467E+08   0.138467E+08   0.184619E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.160166E+01
   0.197267E-05   0.138467E+08   0.138467E+08   0.184619E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.163399E+01
   0.201249E-05   0.138467E+08   0.138467E+08   0.184619E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.166698E+01
   0.205312E-05   0.138467E+08   0.138467E+08   0.184619E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.170063E+01
   0.209456E-05   0.138467E+08   0.138467E+08   0.184619E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.173496E+01
   0.213685E-05   0.138467E+08   0.138467E+08   0.184619E+08   0.184619E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.176998E+01
   0.217998E-05   0.138467E+08   0.138467E+08   0.184618E+08   0.184618E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.180571E+01
   0.222399E-05   0.138467E+08   0.138467E+08   0.184618E+08   0.184618E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.184216E+01
   0.226888E-05   0.138467E+08   0.138467E+08   0.184618E+08   0.184618E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.187935E+01
   0.231468E-05   0.138467E+08   0.138467E+08   0.184618E+08   0.184618E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.191728E+01
   0.236141E-05   0.138467E+08   0.138467E+08   0.184618E+08   0.184618E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.195598E+01
   0.240908E-05   0.138467E+08   0.138467E+08   0.184618E+08   0.184617E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.199547E+01
   0.245771E-05   0.138467E+08   0.138467E+08   0.184617E+08   0.184617E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.203575E+01
   0.250732E-05   0.138467E+08   0.138467E+08   0.184617E+08   0.184617E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.207684E+01
   0.255793E-05   0.138467E+08   0.138467E+08   0.184617E+08   0.184617E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.211877E+01
   0.260957E-05   0.138467E+08   0.138467E+08   0.184617E+08   0.184616E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.216154E+01
   0.266225E-05   0.138467E+08   0.138467E+08   0.184616E+08   0.184616E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.220517E+01
   0.271599E-05   0.138467E+08   0.138467E+08   0.184616E+08   0.184616E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.224968E+01
   0.277081E-05   0.138467E+08   0.138467E+08   0.184616E+08   0.184616E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.229510E+01
   0.282675E-05   0.138467E+08   0.138467E+08   0.184616E+08   0.184615E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527604E+00   0.109573E+08   0.109573E+08   0.234142E+01
   0.288381E-05   0.138467E+08   0.138467E+08   0.184615E+08   0.184615E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.238869E+01
   0.294202E-05   0.138467E+08   0.138467E+08   0.184615E+08   0.184615E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.243691E+01
   0.300141E-05   0.138467E+08   0.138467E+08   0.184615E+08   0.184614E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.248610E+01
   0.306200E-05   0.138467E+08   0.138467E+08   0.184614E+08   0.184614E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.253628E+01
   0.312381E-05   0.138467E+08   0.138467E+08   0.184614E+08   0.184614E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.258748E+01
   0.318687E-05   0.138467E+08   0.138467E+08   0.184614E+08   0.184613E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.263971E+01
   0.325120E-05   0.138467E+08   0.138467E+08   0.184613E+08   0.184613E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.269300E+01
   0.331683E-05   0.138467E+08   0.138467E+08   0.184613E+08   0.184613E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.274736E+01
   0.338379E-05   0.138467E+08   0.138467E+08   0.184612E+08   0.184612E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.280281E+01
   0.345209E-05   0.138467E+08   0.138467E+08   0.184612E+08   0.184612E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.285939E+01
   0.352178E-05   0.138467E+08   0.138467E+08   0.184612E+08   0.184611E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.291711E+01
   0.359287E-05   0.138467E+08   0.138467E+08   0.184611E+08   0.184611E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.297599E+01
   0.366540E-05   0.138467E+08   0.138467E+08   0.184611E+08   0.184610E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.303607E+01
   0.373939E-05   0.138467E+08   0.138467E+08   0.184610E+08   0.184610E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.309735E+01
   0.381488E-05   0.138467E+08   0.138467E+08   0.184610E+08   0.184609E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527605E+00   0.109573E+08   0.109573E+08   0.315987E+01
   0.389189E-05   0.138467E+08   0.138467E+08   0.184609E+08   0.184609E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527606E+00   0.109573E+08   0.109573E+08   0.322366E+01
   0.397045E-05   0.138467E+08   0.138467E+08   0.184609E+08   0.184608E+08   0.000000E+00   0.138467E+08   0.138467E+08   0.138543E+08  -0.527606E+00   0.109573E+08   0.109573E+08   0.328873E+01
