#    L    TT             EE             BB             TE          
     2    0.18006E+04    0.54177E-01    0.21658E-05    0.42504E+01
     3    0.18302E+04    0.90031E-01    0.43416E-05    0.52319E+01
     4    0.17325E+04    0.10472E+00    0.72576E-05    0.52579E+01
     5    0.16075E+04    0.97074E-01    0.10926E-04    0.47936E+01
     6    0.14893E+04    0.75527E-01    0.15359E-04    0.41303E+01
     7    0.13877E+04    0.50775E-01    0.20570E-04    0.34304E+01
     8    0.13040E+04    0.30533E-01    0.26569E-04    0.27809E+01
     9    0.12366E+04    0.17775E-01    0.33360E-04    0.22266E+01
    10    0.11830E+04    0.11666E-01    0.40943E-04    0.17892E+01
    11    0.11409E+04    0.95841E-02    0.49309E-04    0.14738E+01
    12    0.11081E+04    0.90117E-02    0.58443E-04    0.12730E+01
    13    0.10831E+04    0.84875E-02    0.68328E-04    0.11718E+01
    14    0.10642E+04    0.76443E-02    0.78943E-04    0.11486E+01
    15    0.10505E+04    0.67469E-02    0.90275E-04    0.11803E+01
    16    0.10412E+04    0.61627E-02    0.10231E-03    0.12454E+01
    17    0.10353E+04    0.60557E-02    0.11506E-03    0.13254E+01
    18    0.10320E+04    0.63468E-02    0.12854E-03    0.14059E+01
    19    0.10324E+04    0.68502E-02    0.14276E-03    0.14818E+01
    20    0.10344E+04    0.74025E-02    0.15776E-03    0.15459E+01
    21    0.10382E+04    0.79606E-02    0.17358E-03    0.15988E+01
    22    0.10436E+04    0.85843E-02    0.19023E-03    0.16425E+01
    23    0.10504E+04    0.93785E-02    0.20773E-03    0.16802E+01
    24    0.10584E+04    0.10429E-01    0.22609E-03    0.17160E+01
    25    0.10674E+04    0.11772E-01    0.24529E-03    0.17527E+01
    26    0.10774E+04    0.13398E-01    0.26530E-03    0.17928E+01
    27    0.10881E+04    0.15273E-01    0.28610E-03    0.18359E+01
    28    0.10996E+04    0.17372E-01    0.30765E-03    0.18824E+01
    29    0.11117E+04    0.19677E-01    0.32992E-03    0.19291E+01
    30    0.11244E+04    0.22188E-01    0.35291E-03    0.19748E+01
    31    0.11376E+04    0.24904E-01    0.37663E-03    0.20150E+01
    32    0.11514E+04    0.27825E-01    0.40108E-03    0.20482E+01
    33    0.11656E+04    0.30944E-01    0.42632E-03    0.20710E+01
    34    0.11802E+04    0.34260E-01    0.45237E-03    0.20823E+01
    35    0.11952E+04    0.37773E-01    0.47929E-03    0.20806E+01
    36    0.12106E+04    0.41497E-01    0.50708E-03    0.20662E+01
    37    0.12264E+04    0.45450E-01    0.53576E-03    0.20391E+01
    38    0.12425E+04    0.49655E-01    0.56531E-03    0.20001E+01
    39    0.12589E+04    0.54122E-01    0.59572E-03    0.19502E+01
    40    0.12755E+04    0.58865E-01    0.62693E-03    0.18902E+01
    41    0.12924E+04    0.63895E-01    0.65891E-03    0.18204E+01
    42    0.13096E+04    0.69216E-01    0.69161E-03    0.17413E+01
    43    0.13272E+04    0.74828E-01    0.72503E-03    0.16530E+01
    44    0.13448E+04    0.80721E-01    0.75915E-03    0.15546E+01
    45    0.13627E+04    0.86902E-01    0.79401E-03    0.14456E+01
    46    0.13809E+04    0.93379E-01    0.82963E-03    0.13251E+01
    47    0.13993E+04    0.10014E+00    0.86607E-03    0.11925E+01
    48    0.14179E+04    0.10719E+00    0.90336E-03    0.10466E+01
