#           k/h    P           
    0.10000E-03    0.12828E+03
    0.10202E-03    0.13077E+03
    0.10408E-03    0.13330E+03
    0.10618E-03    0.13588E+03
    0.10833E-03    0.13852E+03
    0.11052E-03    0.14120E+03
    0.11275E-03    0.14394E+03
    0.11503E-03    0.14673E+03
    0.11735E-03    0.14957E+03
    0.11972E-03    0.15247E+03
    0.12214E-03    0.15542E+03
    0.12461E-03    0.15843E+03
    0.12712E-03    0.16150E+03
    0.12969E-03    0.16463E+03
    0.13231E-03    0.16782E+03
    0.13499E-03    0.17107E+03
    0.13771E-03    0.17438E+03
    0.14049E-03    0.17776E+03
    0.14333E-03    0.18120E+03
    0.14623E-03    0.18471E+03
    0.14918E-03    0.18829E+03
    0.15220E-03    0.19193E+03
    0.15527E-03    0.19565E+03
    0.15841E-03    0.19944E+03
    0.16161E-03    0.20330E+03
    0.16487E-03    0.20723E+03
    0.16820E-03    0.21125E+03
    0.17160E-03    0.21534E+03
    0.17507E-03    0.21951E+03
    0.17860E-03    0.22375E+03
    0.18221E-03    0.22809E+03
    0.18589E-03    0.23250E+03
    0.18965E-03    0.23700E+03
    0.19348E-03    0.24159E+03
    0.19739E-03    0.24626E+03
    0.20138E-03    0.25103E+03
    0.20544E-03    0.25588E+03
    0.20959E-03    0.26083E+03
    0.21383E-03    0.26588E+03
    0.21815E-03    0.27102E+03
    0.22255E-03    0.27627E+03
    0.22705E-03    0.28161E+03
    0.23164E-03    0.28705E+03
    0.23632E-03    0.29261E+03
    0.24109E-03    0.29826E+03
    0.24596E-03    0.30403E+03
    0.25093E-03    0.30991E+03
    0.25600E-03    0.31590E+03
    0.26117E-03    0.32200E+03
    0.26645E-03    0.32822E+03
    0.27183E-03    0.33457E+03
    0.27732E-03    0.34103E+03
    0.28292E-03    0.34762E+03
    0.28864E-03    0.35433E+03
    0.29447E-03    0.36117E+03
    0.30042E-03    0.36815E+03
    0.30649E-03    0.37525E+03
    0.31268E-03    0.38250E+03
    0.31899E-03    0.38988E+03
    0.32544E-03    0.39740E+03
    0.33201E-03    0.40507E+03
    0.33872E-03    0.41288E+03
    0.34556E-03    0.42084E+03
    0.35254E-03    0.42895E+03
    0.35966E-03    0.43722E+03
    0.36693E-03    0.44565E+03
    0.37434E-03    0.45423E+03
    0.38190E-03    0.46298E+03
    0.38962E-03    0.47190E+03
    0.39749E-03    0.48098E+03
    0.40552E-03    0.49024E+03
    0.41371E-03    0.49967E+03
    0.42207E-03    0.50928E+03
    0.43060E-03    0.51908E+03
    0.43929E-03    0.52905E+03
    0.44817E-03    0.53922E+03
    0.45722E-03    0.54958E+03
    0.46646E-03    0.56013E+03
    0.47588E-03    0.57089E+03
    0.48550E-03    0.58184E+03
    0.49530E-03    0.59300E+03
    0.50531E-03    0.60437E+03
    0.51552E-03    0.61596E+03
    0.52593E-03    0.62776E+03
    0.53656E-03    0.63978E+03
    0.54739E-03    0.65202E+03
    0.55845E-03    0.66450E+03
    0.56973E-03    0.67720E+03
    0.58124E-03    0.69015E+03
    0.59299E-03    0.70333E+03
    0.60496E-03    0.71676E+03
    0.61719E-03    0.73043E+03
    0.62965E-03    0.74436E+03
    0.64237E-03    0.75855E+03
    0.65535E-03    0.77299E+03
    0.66859E-03    0.78771E+03
    0.68210E-03    0.80269E+03
    0.69588E-03    0.81795E+03
    0.70993E-03    0.83348E+03
    0.72427E-03    0.84930E+03
    0.73891E-03    0.86541E+03
    0.75383E-03    0.88181E+03
    0.76906E-03    0.89850E+03
    0.78460E-03    0.91550E+03
    0.80045E-03    0.93281E+03
    0.81662E-03    0.95042E+03
    0.83311E-03    0.96836E+03
    0.84994E-03    0.98661E+03
    0.86711E-03    0.10052E+04
    0.88463E-03    0.10241E+04
    0.90250E-03    0.10433E+04
    0.92073E-03    0.10629E+04
    0.93933E-03    0.10829E+04
    0.95831E-03    0.11031E+04
    0.97767E-03    0.11238E+04
    0.99742E-03    0.11448E+04
    0.10176E-02    0.11662E+04
    0.10381E-02    0.11879E+04
    0.10591E-02    0.12100E+04
    0.10805E-02    0.12325E+04
    0.11023E-02    0.12554E+04
    0.11246E-02    0.12787E+04
    0.11473E-02    0.13023E+04
    0.11705E-02    0.13264E+04
    0.11941E-02    0.13509E+04
    0.12182E-02    0.13758E+04
    0.12429E-02    0.14011E+04
    0.12680E-02    0.14268E+04
    0.12936E-02    0.14530E+04
    0.13197E-02    0.14796E+04
    0.13464E-02    0.15066E+04
    0.13736E-02    0.15341E+04
    0.14013E-02    0.15620E+04
    0.14296E-02    0.15904E+04
    0.14585E-02    0.16192E+04
    0.14880E-02    0.16485E+04
    0.15180E-02    0.16783E+04
    0.15487E-02    0.17085E+04
    0.15800E-02    0.17392E+04
    0.16119E-02    0.17704E+04
    0.16445E-02    0.18021E+04
    0.16777E-02    0.18343E+04
    0.17116E-02    0.18669E+04
    0.17462E-02    0.19001E+04
    0.17814E-02    0.19337E+04
    0.18174E-02    0.19679E+04
    0.18541E-02    0.20026E+04
    0.18916E-02    0.20377E+04
    0.19298E-02    0.20734E+04
    0.19688E-02    0.21096E+04
    0.20086E-02    0.21464E+04
    0.20491E-02    0.21836E+04
    0.20905E-02    0.22214E+04
    0.21328E-02    0.22597E+04
    0.21758E-02    0.22986E+04
    0.22198E-02    0.23380E+04
    0.22646E-02    0.23779E+04
    0.23104E-02    0.24183E+04
    0.23571E-02    0.24593E+04
    0.24047E-02    0.25008E+04
    0.24533E-02    0.25429E+04
    0.25028E-02    0.25855E+04
    0.25534E-02    0.26286E+04
    0.26050E-02    0.26723E+04
    0.26576E-02    0.27165E+04
    0.27113E-02    0.27612E+04
    0.27660E-02    0.28065E+04
    0.28219E-02    0.28523E+04
    0.28789E-02    0.28986E+04
    0.29371E-02    0.29455E+04
    0.29964E-02    0.29929E+04
    0.30569E-02    0.30408E+04
    0.31187E-02    0.30892E+04
    0.31817E-02    0.31381E+04
    0.32460E-02    0.31875E+04
    0.33115E-02    0.32375E+04
    0.33784E-02    0.32879E+04
    0.34467E-02    0.33388E+04
    0.35163E-02    0.33902E+04
    0.35874E-02    0.34420E+04
    0.36598E-02    0.34943E+04
    0.37338E-02    0.35471E+04
    0.38092E-02    0.36003E+04
    0.38861E-02    0.36539E+04
    0.39646E-02    0.37080E+04
    0.40447E-02    0.37625E+04
    0.41264E-02    0.38173E+04
    0.42098E-02    0.38725E+04
    0.42948E-02    0.39281E+04
    0.43816E-02    0.39841E+04
    0.44701E-02    0.40403E+04
    0.45604E-02    0.40969E+04
    0.46525E-02    0.41538E+04
    0.47465E-02    0.42110E+04
    0.48424E-02    0.42684E+04
    0.49402E-02    0.43261E+04
    0.50400E-02    0.43839E+04
    0.51419E-02    0.44420E+04
    0.52457E-02    0.45002E+04
    0.53517E-02    0.45586E+04
    0.54598E-02    0.46171E+04
    0.55701E-02    0.46757E+04
    0.56826E-02    0.47343E+04
    0.57974E-02    0.47930E+04
    0.59145E-02    0.48517E+04
    0.60340E-02    0.49103E+04
    0.61559E-02    0.49689E+04
    0.62803E-02    0.50274E+04
    0.64072E-02    0.50857E+04
    0.65366E-02    0.51439E+04
    0.66686E-02    0.52019E+04
    0.68033E-02    0.52596E+04
    0.69408E-02    0.53170E+04
    0.70810E-02    0.53742E+04
    0.72240E-02    0.54309E+04
    0.73700E-02    0.54872E+04
    0.75189E-02    0.55431E+04
    0.76708E-02    0.55984E+04
    0.78257E-02    0.56532E+04
    0.79838E-02    0.57074E+04
    0.81451E-02    0.57609E+04
    0.83096E-02    0.58137E+04
    0.84775E-02    0.58658E+04
    0.86488E-02    0.59170E+04
    0.88235E-02    0.59673E+04
    0.90017E-02    0.60167E+04
    0.91836E-02    0.60651E+04
    0.93691E-02    0.61124E+04
    0.95583E-02    0.61587E+04
    0.97514E-02    0.62037E+04
    0.99484E-02    0.62475E+04
    0.10149E-01    0.62899E+04
    0.10354E-01    0.63310E+04
    0.10564E-01    0.63707E+04
    0.10777E-01    0.64088E+04
    0.10995E-01    0.64453E+04
    0.11217E-01    0.64802E+04
    0.11443E-01    0.65133E+04
    0.11675E-01    0.65446E+04
    0.11910E-01    0.65740E+04
    0.12151E-01    0.66015E+04
    0.12397E-01    0.66270E+04
    0.12647E-01    0.66504E+04
    0.12902E-01    0.66716E+04
    0.13163E-01    0.66905E+04
    0.13429E-01    0.67071E+04
    0.13700E-01    0.67214E+04
    0.13977E-01    0.67332E+04
    0.14259E-01    0.67424E+04
    0.14547E-01    0.67491E+04
    0.14841E-01    0.67531E+04
    0.15141E-01    0.67543E+04
    0.15447E-01    0.67528E+04
    0.15759E-01    0.67485E+04
    0.16077E-01    0.67412E+04
    0.16402E-01    0.67310E+04
    0.16734E-01    0.67178E+04
    0.17072E-01    0.67015E+04
    0.17416E-01    0.66821E+04
    0.17768E-01    0.66597E+04
    0.18127E-01    0.66341E+04
    0.18493E-01    0.66053E+04
    0.18867E-01    0.65734E+04
    0.19248E-01    0.65383E+04
    0.19637E-01    0.65000E+04
    0.20034E-01    0.64586E+04
    0.20438E-01    0.64140E+04
    0.20851E-01    0.63663E+04
    0.21272E-01    0.63155E+04
    0.21702E-01    0.62617E+04
    0.22141E-01    0.62049E+04
    0.22588E-01    0.61453E+04
    0.23044E-01    0.60828E+04
    0.23510E-01    0.60176E+04
    0.23985E-01    0.59498E+04
    0.24469E-01    0.58795E+04
    0.24964E-01    0.58069E+04
    0.25468E-01    0.57320E+04
    0.25982E-01    0.56551E+04
    0.26507E-01    0.55763E+04
    0.27043E-01    0.54957E+04
    0.27589E-01    0.54136E+04
    0.28146E-01    0.53302E+04
    0.28715E-01    0.52456E+04
    0.29295E-01    0.51601E+04
    0.29887E-01    0.50740E+04
