#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.18006E+04    0.42504E+01   -0.41618E-02    0.42504E+01    0.54174E-01   -0.77183E-05   -0.41618E-02   -0.77183E-05    0.19684E-07
     3    0.18302E+04    0.52319E+01   -0.32120E-02    0.52319E+01    0.90027E-01   -0.65792E-05   -0.32120E-02   -0.65792E-05    0.11550E-07
     4    0.17325E+04    0.52579E+01   -0.24935E-02    0.52579E+01    0.10472E+00   -0.51962E-05   -0.24935E-02   -0.51962E-05    0.77116E-08
     5    0.16075E+04    0.47936E+01   -0.19683E-02    0.47936E+01    0.97063E-01   -0.38575E-05   -0.19683E-02   -0.38575E-05    0.55494E-08
     6    0.14892E+04    0.41304E+01   -0.15807E-02    0.41304E+01    0.75512E-01   -0.26678E-05   -0.15807E-02   -0.26678E-05    0.41951E-08
     7    0.13877E+04    0.34304E+01   -0.12898E-02    0.34304E+01    0.50754E-01   -0.16779E-05   -0.12898E-02   -0.16779E-05    0.32863E-08
     8    0.13039E+04    0.27810E+01   -0.10675E-02    0.27810E+01    0.30507E-01   -0.90556E-06   -0.10675E-02   -0.90556E-06    0.26447E-08
     9    0.12366E+04    0.22266E+01   -0.89454E-03    0.22266E+01    0.17742E-01   -0.34764E-06   -0.89454E-03   -0.34764E-06    0.21742E-08
    10    0.11829E+04    0.17893E+01   -0.75758E-03    0.17893E+01    0.11625E-01    0.14921E-07   -0.75758E-03    0.14921E-07    0.18181E-08
    11    0.11408E+04    0.14739E+01   -0.64768E-03    0.14739E+01    0.95352E-02    0.21319E-06   -0.64768E-03    0.21319E-06    0.15424E-08
    12    0.11080E+04    0.12731E+01   -0.55802E-03    0.12731E+01    0.89539E-02    0.28398E-06   -0.55802E-03    0.28398E-06    0.13237E-08
    13    0.10830E+04    0.11719E+01   -0.48432E-03    0.11719E+01    0.84198E-02    0.26549E-06   -0.48432E-03    0.26549E-06    0.11480E-08
    14    0.10640E+04    0.11486E+01   -0.42291E-03    0.11486E+01    0.75661E-02    0.19315E-06   -0.42291E-03    0.19315E-06    0.10042E-08
    15    0.10504E+04    0.11804E+01   -0.37145E-03    0.11804E+01    0.66574E-02    0.96983E-07   -0.37145E-03    0.96983E-07    0.88531E-09
    16    0.10410E+04    0.12454E+01   -0.32793E-03    0.12454E+01    0.60610E-02    0.45397E-10   -0.32793E-03    0.45397E-10    0.78583E-09
    17    0.10351E+04    0.13255E+01   -0.29080E-03    0.13255E+01    0.59411E-02   -0.81957E-07   -0.29080E-03   -0.81957E-07    0.70162E-09
    18    0.10317E+04    0.14060E+01   -0.25903E-03    0.14060E+01    0.62185E-02   -0.14035E-06   -0.25903E-03   -0.14035E-06    0.62990E-09
    19    0.10321E+04    0.14820E+01   -0.23168E-03    0.14820E+01    0.67075E-02   -0.17251E-06   -0.23168E-03   -0.17251E-06    0.56827E-09
    20    0.10341E+04    0.15461E+01   -0.20795E-03    0.15461E+01    0.72446E-02   -0.18041E-06   -0.20795E-03   -0.18041E-06    0.51489E-09
    21    0.10379E+04    0.15991E+01   -0.18730E-03    0.15991E+01    0.77866E-02   -0.16909E-06   -0.18730E-03   -0.16909E-06    0.46838E-09
    22    0.10433E+04    0.16428E+01   -0.16925E-03    0.16428E+01    0.83936E-02   -0.14507E-06   -0.16925E-03   -0.14507E-06    0.42766E-09
    23    0.10500E+04    0.16806E+01   -0.15340E-03    0.16806E+01    0.91702E-02   -0.11502E-06   -0.15340E-03   -0.11502E-06    0.39177E-09
    24    0.10580E+04    0.17165E+01   -0.13941E-03    0.17165E+01    0.10203E-01   -0.84855E-07   -0.13941E-03   -0.84855E-07    0.36001E-09
    25    0.10670E+04    0.17531E+01   -0.12702E-03    0.17531E+01    0.11527E-01   -0.59049E-07   -0.12702E-03   -0.59049E-07    0.33176E-09
    26    0.10769E+04    0.17933E+01   -0.11600E-03    0.17933E+01    0.13132E-01   -0.40279E-07   -0.11600E-03   -0.40279E-07    0.30655E-09
    27    0.10876E+04    0.18364E+01   -0.10616E-03    0.18364E+01    0.14987E-01   -0.29477E-07   -0.10616E-03   -0.29477E-07    0.28394E-09
    28    0.10991E+04    0.18830E+01   -0.97350E-04    0.18830E+01    0.17064E-01   -0.26178E-07   -0.97350E-04   -0.26178E-07    0.26361E-09
    29    0.11112E+04    0.19298E+01   -0.89427E-04    0.19298E+01    0.19348E-01   -0.28917E-07   -0.89427E-04   -0.28917E-07    0.24524E-09
    30    0.11238E+04    0.19756E+01   -0.82300E-04    0.19756E+01    0.21836E-01   -0.35625E-07   -0.82300E-04   -0.35625E-07    0.22863E-09
    31    0.11370E+04    0.20159E+01   -0.75860E-04    0.20159E+01    0.24528E-01   -0.44030E-07   -0.75860E-04   -0.44030E-07    0.21353E-09
    32    0.11507E+04    0.20492E+01   -0.70044E-04    0.20492E+01    0.27424E-01   -0.52119E-07   -0.70044E-04   -0.52119E-07    0.19979E-09
    33    0.11649E+04    0.20721E+01   -0.64767E-04    0.20721E+01    0.30518E-01   -0.58415E-07   -0.64767E-04   -0.58415E-07    0.18724E-09
    34    0.11795E+04    0.20836E+01   -0.59978E-04    0.20836E+01    0.33808E-01   -0.62065E-07   -0.59978E-04   -0.62065E-07    0.17577E-09
    35    0.11944E+04    0.20821E+01   -0.55622E-04    0.20821E+01    0.37294E-01   -0.62765E-07   -0.55622E-04   -0.62765E-07    0.16523E-09
    36    0.12098E+04    0.20678E+01   -0.51655E-04    0.20678E+01    0.40991E-01   -0.60724E-07   -0.51655E-04   -0.60724E-07    0.15555E-09
    37    0.12255E+04    0.20408E+01   -0.48034E-04    0.20408E+01    0.44915E-01   -0.56588E-07   -0.48034E-04   -0.56588E-07    0.14664E-09
    38    0.12416E+04    0.20020E+01   -0.44721E-04    0.20020E+01    0.49091E-01   -0.51308E-07   -0.44721E-04   -0.51308E-07    0.13840E-09
    39    0.12580E+04    0.19522E+01   -0.41686E-04    0.19522E+01    0.53529E-01   -0.45676E-07   -0.41686E-04   -0.45676E-07    0.13079E-09
    40    0.12745E+04    0.18923E+01   -0.38901E-04    0.18923E+01    0.58241E-01   -0.40425E-07   -0.38901E-04   -0.40425E-07    0.12375E-09
    41    0.12915E+04    0.18226E+01   -0.36340E-04    0.18226E+01    0.63241E-01   -0.36199E-07   -0.36340E-04   -0.36199E-07    0.11721E-09
    42    0.13086E+04    0.17437E+01   -0.33981E-04    0.17437E+01    0.68530E-01   -0.33286E-07   -0.33981E-04   -0.33286E-07    0.11113E-09
