#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.187656E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.159846E+01
   0.191443E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.163072E+01
   0.195306E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.166363E+01
   0.199248E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.169720E+01
   0.203269E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.173145E+01
   0.207371E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194899E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.176640E+01
   0.211556E-05   0.146177E+08   0.146177E+08   0.194899E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.180204E+01
   0.215826E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.183841E+01
   0.220181E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.187551E+01
   0.224625E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.191336E+01
   0.229158E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.195197E+01
   0.233782E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194898E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.199136E+01
   0.238500E-05   0.146177E+08   0.146177E+08   0.194898E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.203155E+01
   0.243314E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.207255E+01
   0.248224E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.211438E+01
   0.253233E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194897E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.215705E+01
   0.258344E-05   0.146177E+08   0.146177E+08   0.194897E+08   0.194896E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.220058E+01
   0.263558E-05   0.146177E+08   0.146177E+08   0.194896E+08   0.194896E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.224499E+01
   0.268876E-05   0.146177E+08   0.146177E+08   0.194896E+08   0.194896E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.229029E+01
   0.274303E-05   0.146177E+08   0.146177E+08   0.194896E+08   0.194896E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533952E+00   0.118275E+08   0.118275E+08   0.233651E+01
   0.279838E-05   0.146177E+08   0.146177E+08   0.194896E+08   0.194895E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.238366E+01
   0.285486E-05   0.146177E+08   0.146177E+08   0.194895E+08   0.194895E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.243177E+01
   0.291247E-05   0.146177E+08   0.146177E+08   0.194895E+08   0.194895E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.248084E+01
   0.297125E-05   0.146177E+08   0.146177E+08   0.194895E+08   0.194894E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.253091E+01
   0.303121E-05   0.146177E+08   0.146177E+08   0.194894E+08   0.194894E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.258198E+01
   0.309239E-05   0.146177E+08   0.146177E+08   0.194894E+08   0.194894E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.263409E+01
   0.315479E-05   0.146177E+08   0.146177E+08   0.194894E+08   0.194893E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.268724E+01
   0.321846E-05   0.146177E+08   0.146177E+08   0.194893E+08   0.194893E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.274147E+01
   0.328341E-05   0.146177E+08   0.146177E+08   0.194893E+08   0.194893E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.279680E+01
   0.334967E-05   0.146177E+08   0.146177E+08   0.194893E+08   0.194892E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.285324E+01
   0.341727E-05   0.146177E+08   0.146177E+08   0.194892E+08   0.194892E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.291082E+01
   0.348624E-05   0.146177E+08   0.146177E+08   0.194892E+08   0.194891E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.296956E+01
   0.355660E-05   0.146177E+08   0.146177E+08   0.194891E+08   0.194891E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.302949E+01
   0.362837E-05   0.146177E+08   0.146177E+08   0.194891E+08   0.194891E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.309062E+01
   0.370160E-05   0.146177E+08   0.146177E+08   0.194890E+08   0.194890E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.315299E+01
   0.377630E-05   0.146177E+08   0.146177E+08   0.194890E+08   0.194890E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.321662E+01
   0.385251E-05   0.146177E+08   0.146177E+08   0.194889E+08   0.194889E+08   0.000000E+00   0.146177E+08   0.146177E+08   0.146261E+08  -0.533953E+00   0.118275E+08   0.118275E+08   0.328153E+01
