#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.187656E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.215362E+01
   0.191443E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.219708E+01
   0.195306E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.224142E+01
   0.199248E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.228665E+01
   0.203269E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.233280E+01
   0.207371E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.237988E+01
   0.211556E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.242791E+01
   0.215826E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.247690E+01
   0.220181E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.252689E+01
   0.224625E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.257788E+01
   0.229158E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.262991E+01
   0.233782E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.268298E+01
   0.238500E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.273713E+01
   0.243314E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109057E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.279237E+01
   0.248224E-05   0.817935E+07   0.817935E+07   0.109057E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.284872E+01
   0.253233E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.290621E+01
   0.258344E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.296486E+01
   0.263558E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.302469E+01
   0.268876E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.308573E+01
   0.274303E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.314800E+01
   0.279838E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.321153E+01
   0.285486E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.327634E+01
   0.291247E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.334246E+01
   0.297125E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.340992E+01
   0.303121E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.347873E+01
   0.309239E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.354893E+01
   0.315479E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109056E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.362055E+01
   0.321846E-05   0.817935E+07   0.817935E+07   0.109056E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.369362E+01
   0.328341E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.376816E+01
   0.334967E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.384420E+01
   0.341727E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.392178E+01
   0.348624E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.400093E+01
   0.355660E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.408167E+01
   0.362837E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.416404E+01
   0.370160E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109055E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.424807E+01
   0.377630E-05   0.817935E+07   0.817935E+07   0.109055E+08   0.109054E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.433380E+01
   0.385251E-05   0.817935E+07   0.817935E+07   0.109054E+08   0.109054E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.442126E+01
   0.393025E-05   0.817935E+07   0.817935E+07   0.109054E+08   0.109054E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.451048E+01
   0.400957E-05   0.817935E+07   0.817935E+07   0.109054E+08   0.109054E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.460150E+01
   0.409049E-05   0.817935E+07   0.817935E+07   0.109054E+08   0.109054E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.469437E+01
   0.417304E-05   0.817935E+07   0.817935E+07   0.109054E+08   0.109054E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.478910E+01
   0.425726E-05   0.817935E+07   0.817935E+07   0.109054E+08   0.109053E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.488575E+01
   0.434317E-05   0.817935E+07   0.817935E+07   0.109053E+08   0.109053E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.498434E+01
   0.443082E-05   0.817935E+07   0.817935E+07   0.109053E+08   0.109053E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.508493E+01
   0.452024E-05   0.817935E+07   0.817935E+07   0.109053E+08   0.109053E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.518754E+01
   0.461146E-05   0.817935E+07   0.817935E+07   0.109053E+08   0.109053E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.529223E+01
   0.470453E-05   0.817935E+07   0.817935E+07   0.109053E+08   0.109052E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.539903E+01
   0.479947E-05   0.817935E+07   0.817935E+07   0.109052E+08   0.109052E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.550798E+01
   0.489633E-05   0.817935E+07   0.817935E+07   0.109052E+08   0.109052E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.561914E+01
   0.499514E-05   0.817935E+07   0.817935E+07   0.109052E+08   0.109052E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.573253E+01
   0.509595E-05   0.817935E+07   0.817935E+07   0.109052E+08   0.109051E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.584821E+01
   0.519879E-05   0.817935E+07   0.817935E+07   0.109051E+08   0.109051E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.596623E+01
   0.530371E-05   0.817935E+07   0.817935E+07   0.109051E+08   0.109051E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.608663E+01
   0.541074E-05   0.817935E+07   0.817935E+07   0.109051E+08   0.109051E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.620946E+01
   0.551994E-05   0.817935E+07   0.817935E+07   0.109051E+08   0.109050E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.633477E+01
   0.563134E-05   0.817935E+07   0.817935E+07   0.109050E+08   0.109050E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.646260E+01
   0.574498E-05   0.817935E+07   0.817935E+07   0.109050E+08   0.109050E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.659302E+01
   0.586092E-05   0.817935E+07   0.817935E+07   0.109050E+08   0.109049E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.672606E+01
   0.597920E-05   0.817935E+07   0.817935E+07   0.109049E+08   0.109049E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.686179E+01
   0.609987E-05   0.817935E+07   0.817935E+07   0.109049E+08   0.109049E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.700026E+01
   0.622297E-05   0.817935E+07   0.817935E+07   0.109049E+08   0.109048E+08   0.000000E+00   0.817935E+07   0.817935E+07   0.818874E+07  -0.598045E+00   0.812542E+07   0.812542E+07   0.714153E+01
