#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.95400E+03    0.35512E-01    0.00000E+00    0.38367E+01    0.83772E-07   -0.33787E-02   -0.14688E-04
     3    0.93768E+03    0.67746E-01    0.00000E+00    0.46814E+01    0.98656E-07   -0.31801E-02   -0.18784E-04
     4    0.90747E+03    0.91749E-01    0.00000E+00    0.48802E+01    0.11090E-06   -0.29042E-02   -0.20637E-04
     5    0.88035E+03    0.10050E+00    0.00000E+00    0.46789E+01    0.12113E-06   -0.26305E-02   -0.20578E-04
     6    0.85921E+03    0.94083E-01    0.00000E+00    0.42631E+01    0.12976E-06   -0.23799E-02   -0.18958E-04
     7    0.84404E+03    0.77326E-01    0.00000E+00    0.37556E+01    0.13711E-06   -0.21577E-02   -0.16189E-04
     8    0.83391E+03    0.56674E-01    0.00000E+00    0.32331E+01    0.14344E-06   -0.19629E-02   -0.12690E-04
     9    0.82828E+03    0.37648E-01    0.00000E+00    0.27404E+01    0.14891E-06   -0.17925E-02   -0.88772E-05
    10    0.82620E+03    0.23508E-01    0.00000E+00    0.23043E+01    0.15366E-06   -0.16425E-02   -0.51369E-05
    11    0.82721E+03    0.15037E-01    0.00000E+00    0.19392E+01    0.15782E-06   -0.15098E-02   -0.17856E-05
    12    0.83063E+03    0.11223E-01    0.00000E+00    0.16500E+01    0.16141E-06   -0.13906E-02    0.94491E-06
    13    0.83616E+03    0.10251E-01    0.00000E+00    0.14387E+01    0.16457E-06   -0.12835E-02    0.29187E-05
    14    0.84320E+03    0.10359E-01    0.00000E+00    0.13003E+01    0.16730E-06   -0.11860E-02    0.40923E-05
    15    0.85161E+03    0.10379E-01    0.00000E+00    0.12273E+01    0.16970E-06   -0.10973E-02    0.45041E-05
    16    0.86110E+03    0.98575E-02    0.00000E+00    0.12088E+01    0.17180E-06   -0.10157E-02    0.42549E-05
    17    0.87147E+03    0.88982E-02    0.00000E+00    0.12325E+01    0.17358E-06   -0.94003E-03    0.34893E-05
    18    0.88200E+03    0.78664E-02    0.00000E+00    0.12842E+01    0.17514E-06   -0.87012E-03    0.23762E-05
    19    0.89440E+03    0.71317E-02    0.00000E+00    0.13553E+01    0.17647E-06   -0.80549E-03    0.10884E-05
    20    0.90682E+03    0.68886E-02    0.00000E+00    0.14326E+01    0.17759E-06   -0.74527E-03   -0.21087E-06
    21    0.91967E+03    0.71405E-02    0.00000E+00    0.15089E+01    0.17853E-06   -0.68961E-03   -0.13858E-05
    22    0.93297E+03    0.77497E-02    0.00000E+00    0.15791E+01    0.17931E-06   -0.63824E-03   -0.23353E-05
    23    0.94656E+03    0.85365E-02    0.00000E+00    0.16398E+01    0.17994E-06   -0.59046E-03   -0.29978E-05
    24    0.96055E+03    0.93623E-02    0.00000E+00    0.16906E+01    0.18044E-06   -0.54660E-03   -0.33507E-05
    25    0.97479E+03    0.10171E-01    0.00000E+00    0.17314E+01    0.18080E-06   -0.50593E-03   -0.34073E-05
    26    0.98934E+03    0.10991E-01    0.00000E+00    0.17640E+01    0.18106E-06   -0.46853E-03   -0.32107E-05
    27    0.10041E+04    0.11901E-01    0.00000E+00    0.17896E+01    0.18122E-06   -0.43378E-03   -0.28244E-05
    28    0.10191E+04    0.12989E-01    0.00000E+00    0.18110E+01    0.18128E-06   -0.40163E-03   -0.23218E-05
    29    0.10344E+04    0.14320E-01    0.00000E+00    0.18302E+01    0.18125E-06   -0.37175E-03   -0.17772E-05
    30    0.10497E+04    0.15919E-01    0.00000E+00    0.18487E+01    0.18114E-06   -0.34384E-03   -0.12596E-05
    31    0.10653E+04    0.17777E-01    0.00000E+00    0.18683E+01    0.18096E-06   -0.31772E-03   -0.82562E-06
