#           k/h    P           
    0.10000E-03    0.26276E+02
    0.10202E-03    0.26785E+02
    0.10408E-03    0.27305E+02
    0.10618E-03    0.27834E+02
    0.10833E-03    0.28373E+02
    0.11052E-03    0.28923E+02
    0.11275E-03    0.29483E+02
    0.11503E-03    0.30055E+02
    0.11735E-03    0.30637E+02
    0.11972E-03    0.31231E+02
    0.12214E-03    0.31836E+02
    0.12461E-03    0.32453E+02
    0.12712E-03    0.33082E+02
    0.12969E-03    0.33723E+02
    0.13231E-03    0.34376E+02
    0.13499E-03    0.35042E+02
    0.13771E-03    0.35721E+02
    0.14049E-03    0.36413E+02
    0.14333E-03    0.37119E+02
    0.14623E-03    0.37838E+02
    0.14918E-03    0.38571E+02
    0.15220E-03    0.39318E+02
    0.15527E-03    0.40080E+02
    0.15841E-03    0.40857E+02
    0.16161E-03    0.41648E+02
    0.16487E-03    0.42455E+02
    0.16820E-03    0.43277E+02
    0.17160E-03    0.44115E+02
    0.17507E-03    0.44970E+02
    0.17860E-03    0.45841E+02
    0.18221E-03    0.46729E+02
    0.18589E-03    0.47634E+02
    0.18965E-03    0.48556E+02
    0.19348E-03    0.49497E+02
    0.19739E-03    0.50455E+02
    0.20138E-03    0.51432E+02
    0.20544E-03    0.52428E+02
    0.20959E-03    0.53443E+02
    0.21383E-03    0.54478E+02
    0.21815E-03    0.55533E+02
    0.22255E-03    0.56608E+02
    0.22705E-03    0.57704E+02
    0.23164E-03    0.58821E+02
    0.23632E-03    0.59959E+02
    0.24109E-03    0.61120E+02
    0.24596E-03    0.62303E+02
    0.25093E-03    0.63509E+02
    0.25600E-03    0.64738E+02
    0.26117E-03    0.65990E+02
    0.26645E-03    0.67267E+02
    0.27183E-03    0.68569E+02
    0.27732E-03    0.69895E+02
    0.28292E-03    0.71247E+02
    0.28864E-03    0.72625E+02
    0.29447E-03    0.74030E+02
    0.30042E-03    0.75462E+02
    0.30649E-03    0.76921E+02
    0.31268E-03    0.78408E+02
    0.31899E-03    0.79924E+02
    0.32544E-03    0.81469E+02
    0.33201E-03    0.83044E+02
    0.33872E-03    0.84649E+02
    0.34556E-03    0.86284E+02
    0.35254E-03    0.87951E+02
    0.35966E-03    0.89651E+02
    0.36693E-03    0.91382E+02
    0.37434E-03    0.93147E+02
    0.38190E-03    0.94946E+02
    0.38962E-03    0.96779E+02
    0.39749E-03    0.98648E+02
    0.40552E-03    0.10055E+03
    0.41371E-03    0.10249E+03
    0.42207E-03    0.10447E+03
    0.43060E-03    0.10649E+03
    0.43929E-03    0.10854E+03
    0.44817E-03    0.11063E+03
    0.45722E-03    0.11276E+03
    0.46646E-03    0.11494E+03
    0.47588E-03    0.11715E+03
    0.48550E-03    0.11941E+03
    0.49530E-03    0.12171E+03
    0.50531E-03    0.12405E+03
    0.51552E-03    0.12644E+03
    0.52593E-03    0.12888E+03
    0.53656E-03    0.13136E+03
    0.54739E-03    0.13388E+03
    0.55845E-03    0.13646E+03
    0.56973E-03    0.13908E+03
    0.58124E-03    0.14175E+03
    0.59299E-03    0.14448E+03
    0.60496E-03    0.14725E+03
    0.61719E-03    0.15008E+03
    0.62965E-03    0.15296E+03
    0.64237E-03    0.15589E+03
    0.65535E-03    0.15888E+03
    0.66859E-03    0.16193E+03
    0.68210E-03    0.16503E+03
    0.69588E-03    0.16819E+03
    0.70993E-03    0.17141E+03
    0.72427E-03    0.17469E+03
    0.73891E-03    0.17803E+03
    0.75383E-03    0.18143E+03
    0.76906E-03    0.18490E+03
    0.78460E-03    0.18843E+03
    0.80045E-03    0.19202E+03
    0.81662E-03    0.19568E+03
    0.83311E-03    0.19941E+03
    0.84994E-03    0.20321E+03
    0.86711E-03    0.20708E+03
    0.88463E-03    0.21102E+03
    0.90250E-03    0.21503E+03
    0.92073E-03    0.21911E+03
    0.93933E-03    0.22327E+03
    0.95831E-03    0.22750E+03
    0.97767E-03    0.23181E+03
    0.99742E-03    0.23620E+03
    0.10176E-02    0.24067E+03
    0.10381E-02    0.24522E+03
    0.10591E-02    0.24985E+03
    0.10805E-02    0.25456E+03
    0.11023E-02    0.25936E+03
    0.11246E-02    0.26424E+03
    0.11473E-02    0.26921E+03
    0.11705E-02    0.27427E+03
    0.11941E-02    0.27942E+03
    0.12182E-02    0.28466E+03
    0.12429E-02    0.28999E+03
    0.12680E-02    0.29541E+03
    0.12936E-02    0.30093E+03
    0.13197E-02    0.30655E+03
    0.13464E-02    0.31226E+03
    0.13736E-02    0.31807E+03
    0.14013E-02    0.32398E+03
    0.14296E-02    0.33000E+03
    0.14585E-02    0.33611E+03
    0.14880E-02    0.34233E+03
    0.15180E-02    0.34866E+03
    0.15487E-02    0.35509E+03
    0.15800E-02    0.36163E+03
    0.16119E-02    0.36828E+03
    0.16445E-02    0.37505E+03
    0.16777E-02    0.38192E+03
    0.17116E-02    0.38891E+03
    0.17462E-02    0.39601E+03
    0.17814E-02    0.40323E+03
    0.18174E-02    0.41057E+03
    0.18541E-02    0.41803E+03
    0.18916E-02    0.42561E+03
    0.19298E-02    0.43331E+03
    0.19688E-02    0.44113E+03
    0.20086E-02    0.44908E+03
    0.20491E-02    0.45715E+03
    0.20905E-02    0.46535E+03
    0.21328E-02    0.47368E+03
    0.21758E-02    0.48213E+03
    0.22198E-02    0.49072E+03
    0.22646E-02    0.49944E+03
    0.23104E-02    0.50829E+03
    0.23571E-02    0.51728E+03
    0.24047E-02    0.52640E+03
    0.24533E-02    0.53565E+03
    0.25028E-02    0.54505E+03
    0.25534E-02    0.55458E+03
    0.26050E-02    0.56424E+03
    0.26576E-02    0.57405E+03
    0.27113E-02    0.58400E+03
    0.27660E-02    0.59409E+03
    0.28219E-02    0.60432E+03
    0.28789E-02    0.61469E+03
    0.29371E-02    0.62520E+03
    0.29964E-02    0.63586E+03
    0.30569E-02    0.64666E+03
    0.31187E-02    0.65760E+03
    0.31817E-02    0.66868E+03
    0.32460E-02    0.67991E+03
    0.33115E-02    0.69129E+03
    0.33784E-02    0.70281E+03
    0.34467E-02    0.71447E+03
    0.35163E-02    0.72627E+03
    0.35874E-02    0.73822E+03
    0.36598E-02    0.75031E+03
    0.37338E-02    0.76254E+03
    0.38092E-02    0.77491E+03
    0.38861E-02    0.78743E+03
    0.39646E-02    0.80008E+03
    0.40447E-02    0.81288E+03
    0.41264E-02    0.82581E+03
    0.42098E-02    0.83888E+03
    0.42948E-02    0.85208E+03
    0.43816E-02    0.86542E+03
    0.44701E-02    0.87889E+03
    0.45604E-02    0.89249E+03
    0.46525E-02    0.90621E+03
    0.47465E-02    0.92007E+03
    0.48424E-02    0.93405E+03
    0.49402E-02    0.94815E+03
    0.50400E-02    0.96237E+03
