#    L    TT             EE             TE             PP             TP          
     2    0.80709E+03    0.29442E-01    0.31873E+01    0.15363E+07   -0.27544E+05
     3    0.79851E+03    0.56046E-01    0.38978E+01    0.22986E+07   -0.31168E+05
     4    0.77660E+03    0.75577E-01    0.40666E+01    0.29477E+07   -0.31529E+05
     5    0.75652E+03    0.82281E-01    0.38994E+01    0.35012E+07   -0.30495E+05
     6    0.74107E+03    0.76431E-01    0.35518E+01    0.39747E+07   -0.28889E+05
     7    0.73043E+03    0.62236E-01    0.31276E+01    0.43835E+07   -0.27102E+05
     8    0.72387E+03    0.45147E-01    0.26913E+01    0.47386E+07   -0.25318E+05
     9    0.72100E+03    0.29708E-01    0.22810E+01    0.50494E+07   -0.23615E+05
    10    0.72104E+03    0.18488E-01    0.19194E+01    0.53218E+07   -0.22018E+05
    11    0.72362E+03    0.11969E-01    0.16186E+01    0.55627E+07   -0.20535E+05
    12    0.72819E+03    0.91794E-02    0.13829E+01    0.57742E+07   -0.19148E+05
    13    0.73449E+03    0.85612E-02    0.12136E+01    0.59627E+07   -0.17863E+05
    14    0.74204E+03    0.86735E-02    0.11061E+01    0.61287E+07   -0.16660E+05
    15    0.75070E+03    0.86197E-02    0.10535E+01    0.62769E+07   -0.15540E+05
    16    0.76026E+03    0.81054E-02    0.10461E+01    0.64086E+07   -0.14491E+05
    17    0.77054E+03    0.72743E-02    0.10733E+01    0.65244E+07   -0.13501E+05
    18    0.78093E+03    0.64494E-02    0.11227E+01    0.66279E+07   -0.12574E+05
    19    0.79291E+03    0.59232E-02    0.11872E+01    0.67195E+07   -0.11707E+05
    20    0.80490E+03    0.58246E-02    0.12558E+01    0.67999E+07   -0.10891E+05
    21    0.81723E+03    0.61253E-02    0.13226E+01    0.68706E+07   -0.10130E+05
    22    0.82995E+03    0.66937E-02    0.13836E+01    0.69329E+07   -0.94220E+04
    23    0.84289E+03    0.73822E-02    0.14362E+01    0.69871E+07   -0.87589E+04
    24    0.85618E+03    0.80910E-02    0.14806E+01    0.70340E+07   -0.81463E+04
    25    0.86968E+03    0.87941E-02    0.15166E+01    0.70742E+07   -0.75746E+04
    26    0.88343E+03    0.95309E-02    0.15462E+01    0.71086E+07   -0.70459E+04
    27    0.89737E+03    0.10373E-01    0.15705E+01    0.71372E+07   -0.65515E+04
    28    0.91151E+03    0.11392E-01    0.15917E+01    0.71609E+07   -0.60915E+04
    29    0.92584E+03    0.12631E-01    0.16116E+01    0.71796E+07   -0.56615E+04
    30    0.94031E+03    0.14102E-01    0.16312E+01    0.71943E+07   -0.52577E+04
    31    0.95494E+03    0.15790E-01    0.16520E+01    0.72047E+07   -0.48777E+04
    32    0.96974E+03    0.17670E-01    0.16734E+01    0.72117E+07   -0.45171E+04
    33    0.98463E+03    0.19720E-01    0.16954E+01    0.72152E+07   -0.41771E+04
    34    0.99969E+03    0.21930E-01    0.17165E+01    0.72157E+07   -0.38538E+04
    35    0.10149E+04    0.24302E-01    0.17359E+01    0.72133E+07   -0.35472E+04
    36    0.10302E+04    0.26841E-01    0.17516E+01    0.72081E+07   -0.32545E+04
    37    0.10456E+04    0.29552E-01    0.17620E+01    0.72005E+07   -0.29772E+04
    38    0.10612E+04    0.32441E-01    0.17653E+01    0.71907E+07   -0.27148E+04
    39    0.10769E+04    0.35501E-01    0.17604E+01    0.71787E+07   -0.24664E+04
    40    0.10927E+04    0.38725E-01    0.17463E+01    0.71647E+07   -0.22315E+04
    41    0.11086E+04    0.42116E-01    0.17221E+01    0.71490E+07   -0.20097E+04
    42    0.11247E+04    0.45675E-01    0.16877E+01    0.71315E+07   -0.18009E+04
    43    0.11410E+04    0.49409E-01    0.16429E+01    0.71125E+07   -0.16048E+04
    44    0.11572E+04    0.53322E-01    0.15879E+01    0.70921E+07   -0.14201E+04
    45    0.11737E+04    0.57431E-01    0.15232E+01    0.70703E+07   -0.12453E+04
    46    0.11903E+04    0.61758E-01    0.14493E+01    0.70472E+07   -0.10802E+04
    47    0.12071E+04    0.66301E-01    0.13666E+01    0.70230E+07   -0.92458E+03
    48    0.12239E+04    0.71069E-01    0.12755E+01    0.69978E+07   -0.77721E+03
    49    0.12408E+04    0.76059E-01    0.11765E+01    0.69716E+07   -0.63689E+03
    50    0.12579E+04    0.81287E-01    0.10695E+01    0.69444E+07   -0.50312E+03
    51    0.12750E+04    0.86746E-01    0.95456E+00    0.69165E+07   -0.37557E+03
    52    0.12924E+04    0.92410E-01    0.83147E+00    0.68877E+07   -0.25389E+03
    53    0.13099E+04    0.98312E-01    0.69985E+00    0.68582E+07   -0.13766E+03
    54    0.13275E+04    0.10443E+00    0.55910E+00    0.68281E+07   -0.26375E+02
    55    0.13451E+04    0.11077E+00    0.40858E+00    0.67974E+07    0.80366E+02
    56    0.13630E+04    0.11734E+00    0.24810E+00    0.67662E+07    0.18222E+03
    57    0.13810E+04    0.12413E+00    0.77388E-01    0.67344E+07    0.27886E+03
    58    0.13992E+04    0.13114E+00   -0.10437E+00    0.67022E+07    0.37071E+03
    59    0.14174E+04    0.13839E+00   -0.29759E+00    0.66696E+07    0.45822E+03
    60    0.14358E+04    0.14582E+00   -0.50067E+00    0.66366E+07    0.54119E+03
    61    0.14547E+04    0.15346E+00   -0.71203E+00    0.66033E+07    0.61940E+03
    62    0.14734E+04    0.16131E+00   -0.93290E+00    0.65696E+07    0.69309E+03
    63    0.14921E+04    0.16936E+00   -0.11649E+01    0.65357E+07    0.76263E+03
    64    0.15112E+04    0.17766E+00   -0.14097E+01    0.65015E+07    0.82838E+03
    65    0.15302E+04    0.18624E+00   -0.16687E+01    0.64671E+07    0.89071E+03
    66    0.15494E+04    0.19505E+00   -0.19405E+01    0.64325E+07    0.94998E+03
    67    0.15686E+04    0.20408E+00   -0.22227E+01    0.63977E+07    0.10065E+04
    68    0.15882E+04    0.21335E+00   -0.25138E+01    0.63628E+07    0.10607E+04
    69    0.16078E+04    0.22280E+00   -0.28111E+01    0.63278E+07    0.11126E+04
    70    0.16278E+04    0.23244E+00   -0.31153E+01    0.62927E+07    0.11622E+04
    71    0.16479E+04    0.24226E+00   -0.34280E+01    0.62575E+07    0.12097E+04
