#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.264541E-05   0.270791E+08   0.270791E+08   0.361047E+08   0.361047E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.179384E+01
   0.269884E-05   0.270791E+08   0.270791E+08   0.361047E+08   0.361047E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.183007E+01
   0.275334E-05   0.270791E+08   0.270791E+08   0.361046E+08   0.361046E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.186703E+01
   0.280895E-05   0.270791E+08   0.270791E+08   0.361046E+08   0.361046E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.190474E+01
   0.286568E-05   0.270791E+08   0.270791E+08   0.361046E+08   0.361046E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.194321E+01
   0.292356E-05   0.270791E+08   0.270791E+08   0.361045E+08   0.361045E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.198245E+01
   0.298260E-05   0.270791E+08   0.270791E+08   0.361045E+08   0.361045E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.202249E+01
   0.304284E-05   0.270791E+08   0.270791E+08   0.361045E+08   0.361044E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.206334E+01
   0.310429E-05   0.270791E+08   0.270791E+08   0.361044E+08   0.361044E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523675E+00   0.211330E+08   0.211330E+08   0.210501E+01
   0.316698E-05   0.270791E+08   0.270791E+08   0.361044E+08   0.361043E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.214752E+01
   0.323094E-05   0.270791E+08   0.270791E+08   0.361043E+08   0.361043E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.219089E+01
   0.329619E-05   0.270791E+08   0.270791E+08   0.361043E+08   0.361043E+08   0.000000E+00   0.270791E+08   0.270791E+08   0.270922E+08  -0.523676E+00   0.211330E+08   0.211330E+08   0.223514E+01
