#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.264541E-05   0.202034E+08   0.202034E+08   0.269375E+08   0.269374E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.231138E+01
   0.269884E-05   0.202034E+08   0.202034E+08   0.269374E+08   0.269374E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.235807E+01
   0.275334E-05   0.202034E+08   0.202034E+08   0.269374E+08   0.269374E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.240569E+01
   0.280895E-05   0.202034E+08   0.202034E+08   0.269374E+08   0.269374E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.245428E+01
   0.286568E-05   0.202034E+08   0.202034E+08   0.269374E+08   0.269374E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.250385E+01
   0.292356E-05   0.202034E+08   0.202034E+08   0.269374E+08   0.269374E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.255441E+01
   0.298260E-05   0.202034E+08   0.202034E+08   0.269374E+08   0.269373E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.260600E+01
   0.304284E-05   0.202034E+08   0.202034E+08   0.269373E+08   0.269373E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.265863E+01
   0.310429E-05   0.202034E+08   0.202034E+08   0.269373E+08   0.269373E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.271233E+01
   0.316698E-05   0.202034E+08   0.202034E+08   0.269373E+08   0.269373E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.276711E+01
   0.323094E-05   0.202034E+08   0.202034E+08   0.269373E+08   0.269373E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.282299E+01
   0.329619E-05   0.202034E+08   0.202034E+08   0.269373E+08   0.269372E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.288000E+01
   0.336276E-05   0.202034E+08   0.202034E+08   0.269372E+08   0.269372E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.293817E+01
   0.343068E-05   0.202034E+08   0.202034E+08   0.269372E+08   0.269372E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.299751E+01
   0.349996E-05   0.202034E+08   0.202034E+08   0.269372E+08   0.269372E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.305804E+01
   0.357065E-05   0.202034E+08   0.202034E+08   0.269372E+08   0.269371E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.311980E+01
   0.364276E-05   0.202034E+08   0.202034E+08   0.269371E+08   0.269371E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.318281E+01
   0.371633E-05   0.202034E+08   0.202034E+08   0.269371E+08   0.269371E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.324708E+01
   0.379139E-05   0.202034E+08   0.202034E+08   0.269371E+08   0.269370E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.331266E+01
   0.386796E-05   0.202034E+08   0.202034E+08   0.269370E+08   0.269370E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.337956E+01
   0.394607E-05   0.202034E+08   0.202034E+08   0.269370E+08   0.269370E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.344782E+01
   0.402577E-05   0.202034E+08   0.202034E+08   0.269370E+08   0.269369E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.351746E+01
   0.410707E-05   0.202034E+08   0.202034E+08   0.269369E+08   0.269369E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.358850E+01
   0.419002E-05   0.202034E+08   0.202034E+08   0.269369E+08   0.269369E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.366097E+01
   0.427464E-05   0.202034E+08   0.202034E+08   0.269368E+08   0.269368E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.373490E+01
   0.436097E-05   0.202034E+08   0.202034E+08   0.269368E+08   0.269368E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.381033E+01
   0.444905E-05   0.202034E+08   0.202034E+08   0.269368E+08   0.269367E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.388728E+01
   0.453890E-05   0.202034E+08   0.202034E+08   0.269367E+08   0.269367E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.396578E+01
   0.463056E-05   0.202034E+08   0.202034E+08   0.269367E+08   0.269366E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.404587E+01
   0.472408E-05   0.202034E+08   0.202034E+08   0.269366E+08   0.269366E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.412758E+01
   0.481949E-05   0.202034E+08   0.202034E+08   0.269366E+08   0.269365E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.421094E+01
   0.491683E-05   0.202034E+08   0.202034E+08   0.269365E+08   0.269365E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.429598E+01
   0.501613E-05   0.202034E+08   0.202034E+08   0.269365E+08   0.269364E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.438274E+01
   0.511743E-05   0.202034E+08   0.202034E+08   0.269364E+08   0.269364E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.447125E+01
   0.522078E-05   0.202034E+08   0.202034E+08   0.269364E+08   0.269363E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.456155E+01
   0.532622E-05   0.202034E+08   0.202034E+08   0.269363E+08   0.269363E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.465367E+01
   0.543379E-05   0.202034E+08   0.202034E+08   0.269362E+08   0.269362E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.474765E+01
   0.554353E-05   0.202034E+08   0.202034E+08   0.269362E+08   0.269361E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.484353E+01
   0.565549E-05   0.202034E+08   0.202034E+08   0.269361E+08   0.269360E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.494135E+01
   0.576970E-05   0.202034E+08   0.202034E+08   0.269360E+08   0.269360E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.504114E+01
   0.588623E-05   0.202034E+08   0.202034E+08   0.269360E+08   0.269359E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.514295E+01
   0.600511E-05   0.202034E+08   0.202034E+08   0.269359E+08   0.269358E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.524681E+01
   0.612639E-05   0.202034E+08   0.202034E+08   0.269358E+08   0.269357E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.535277E+01
   0.625011E-05   0.202034E+08   0.202034E+08   0.269357E+08   0.269357E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.546087E+01
   0.637634E-05   0.202034E+08   0.202034E+08   0.269356E+08   0.269356E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.557115E+01
   0.650512E-05   0.202034E+08   0.202034E+08   0.269355E+08   0.269355E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.568366E+01
   0.663649E-05   0.202034E+08   0.202034E+08   0.269354E+08   0.269354E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.579844E+01
   0.677052E-05   0.202034E+08   0.202034E+08   0.269354E+08   0.269353E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.591554E+01
   0.690726E-05   0.202034E+08   0.202034E+08   0.269352E+08   0.269352E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.603500E+01
   0.704676E-05   0.202034E+08   0.202034E+08   0.269351E+08   0.269351E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.615688E+01
   0.718908E-05   0.202034E+08   0.202034E+08   0.269350E+08   0.269349E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.628122E+01
   0.733427E-05   0.202034E+08   0.202034E+08   0.269349E+08   0.269348E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.640807E+01
   0.748239E-05   0.202034E+08   0.202034E+08   0.269348E+08   0.269347E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.653748E+01
   0.763350E-05   0.202034E+08   0.202034E+08   0.269347E+08   0.269346E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.666950E+01
   0.778767E-05   0.202034E+08   0.202034E+08   0.269345E+08   0.269344E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.680418E+01
   0.794495E-05   0.202034E+08   0.202034E+08   0.269344E+08   0.269343E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.694159E+01
   0.810540E-05   0.202034E+08   0.202034E+08   0.269343E+08   0.269342E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.708177E+01
   0.826910E-05   0.202034E+08   0.202034E+08   0.269341E+08   0.269340E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.722479E+01
   0.843610E-05   0.202034E+08   0.202034E+08   0.269340E+08   0.269339E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.737068E+01
   0.860648E-05   0.202034E+08   0.202034E+08   0.269338E+08   0.269337E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.751953E+01
   0.878029E-05   0.202034E+08   0.202034E+08   0.269337E+08   0.269335E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.767138E+01
   0.895762E-05   0.202034E+08   0.202034E+08   0.269335E+08   0.269334E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.782630E+01
   0.913853E-05   0.202034E+08   0.202034E+08   0.269333E+08   0.269332E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586226E+00   0.193803E+08   0.193803E+08   0.798434E+01
   0.932309E-05   0.202034E+08   0.202034E+08   0.269331E+08   0.269330E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.814558E+01
   0.951138E-05   0.202034E+08   0.202034E+08   0.269329E+08   0.269328E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.831007E+01
   0.970347E-05   0.202034E+08   0.202034E+08   0.269327E+08   0.269326E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.847788E+01
   0.989944E-05   0.202034E+08   0.202034E+08   0.269325E+08   0.269324E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.864908E+01
   0.100994E-04   0.202034E+08   0.202034E+08   0.269323E+08   0.269321E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.882373E+01
   0.103033E-04   0.202034E+08   0.202034E+08   0.269321E+08   0.269319E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.900191E+01
   0.105114E-04   0.202034E+08   0.202034E+08   0.269318E+08   0.269317E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.918369E+01
   0.107237E-04   0.202034E+08   0.202034E+08   0.269316E+08   0.269314E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.936914E+01
   0.109403E-04   0.202034E+08   0.202034E+08   0.269313E+08   0.269311E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.955834E+01
   0.111612E-04   0.202034E+08   0.202034E+08   0.269311E+08   0.269309E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.975135E+01
   0.113866E-04   0.202034E+08   0.202034E+08   0.269308E+08   0.269306E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.994825E+01
   0.116166E-04   0.202034E+08   0.202034E+08   0.269305E+08   0.269303E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193802E+08   0.193802E+08   0.101491E+02
   0.118512E-04   0.202034E+08   0.202034E+08   0.269302E+08   0.269300E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.103541E+02
   0.120906E-04   0.202034E+08   0.202034E+08   0.269299E+08   0.269297E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193802E+08   0.193802E+08   0.105632E+02
   0.123347E-04   0.202034E+08   0.202034E+08   0.269296E+08   0.269293E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193803E+08   0.107764E+02
   0.125839E-04   0.202034E+08   0.202034E+08   0.269292E+08   0.269290E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193803E+08   0.193802E+08   0.109940E+02
   0.128380E-04   0.202034E+08   0.202034E+08   0.269289E+08   0.269286E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193802E+08   0.193802E+08   0.112160E+02
   0.130973E-04   0.202034E+08   0.202034E+08   0.269285E+08   0.269282E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586227E+00   0.193802E+08   0.193802E+08   0.114425E+02
   0.133618E-04   0.202034E+08   0.202034E+08   0.269281E+08   0.269278E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.116736E+02
   0.136316E-04   0.202034E+08   0.202034E+08   0.269277E+08   0.269274E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.119093E+02
   0.139069E-04   0.202034E+08   0.202034E+08   0.269273E+08   0.269270E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.121497E+02
   0.141878E-04   0.202034E+08   0.202034E+08   0.269269E+08   0.269266E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.123951E+02
   0.144743E-04   0.202034E+08   0.202034E+08   0.269265E+08   0.269261E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.126453E+02
   0.147667E-04   0.202034E+08   0.202034E+08   0.269260E+08   0.269256E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.129006E+02
   0.150649E-04   0.202034E+08   0.202034E+08   0.269255E+08   0.269251E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.131611E+02
   0.153691E-04   0.202034E+08   0.202034E+08   0.269250E+08   0.269246E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.134268E+02
   0.156795E-04   0.202034E+08   0.202034E+08   0.269245E+08   0.269241E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.136979E+02
   0.159962E-04   0.202034E+08   0.202034E+08   0.269239E+08   0.269235E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.139745E+02
   0.163193E-04   0.202034E+08   0.202034E+08   0.269234E+08   0.269229E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586228E+00   0.193802E+08   0.193802E+08   0.142566E+02
   0.166488E-04   0.202034E+08   0.202034E+08   0.269228E+08   0.269223E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586229E+00   0.193802E+08   0.193802E+08   0.145445E+02
   0.169851E-04   0.202034E+08   0.202034E+08   0.269222E+08   0.269217E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586229E+00   0.193802E+08   0.193802E+08   0.148381E+02
   0.173281E-04   0.202034E+08   0.202034E+08   0.269215E+08   0.269210E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586229E+00   0.193802E+08   0.193802E+08   0.151377E+02
   0.176781E-04   0.202034E+08   0.202034E+08   0.269209E+08   0.269204E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586229E+00   0.193802E+08   0.193802E+08   0.154433E+02
   0.180351E-04   0.202034E+08   0.202034E+08   0.269202E+08   0.269196E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586229E+00   0.193802E+08   0.193802E+08   0.157551E+02
   0.183993E-04   0.202034E+08   0.202034E+08   0.269194E+08   0.269189E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586229E+00   0.193802E+08   0.193802E+08   0.160731E+02
   0.187709E-04   0.202034E+08   0.202034E+08   0.269187E+08   0.269181E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586230E+00   0.193802E+08   0.193802E+08   0.163976E+02
   0.191500E-04   0.202034E+08   0.202034E+08   0.269179E+08   0.269173E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586230E+00   0.193802E+08   0.193802E+08   0.167286E+02
   0.195368E-04   0.202034E+08   0.202034E+08   0.269171E+08   0.269165E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586230E+00   0.193802E+08   0.193802E+08   0.170663E+02
   0.199313E-04   0.202034E+08   0.202034E+08   0.269163E+08   0.269156E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586230E+00   0.193802E+08   0.193802E+08   0.174108E+02
   0.203339E-04   0.202034E+08   0.202034E+08   0.269154E+08   0.269147E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586230E+00   0.193802E+08   0.193802E+08   0.177623E+02
   0.207445E-04   0.202034E+08   0.202034E+08   0.269145E+08   0.269138E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586230E+00   0.193802E+08   0.193802E+08   0.181208E+02
   0.211635E-04   0.202034E+08   0.202034E+08   0.269135E+08   0.269128E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586231E+00   0.193802E+08   0.193802E+08   0.184866E+02
   0.215909E-04   0.202034E+08   0.202034E+08   0.269125E+08   0.269118E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586231E+00   0.193802E+08   0.193802E+08   0.188598E+02
   0.220270E-04   0.202034E+08   0.202034E+08   0.269115E+08   0.269107E+08   0.000000E+00   0.202034E+08   0.202034E+08   0.202180E+08  -0.586231E+00   0.193802E+08   0.193802E+08   0.192405E+02
