#    L    TT             EE             BB             TE             PP             TP             EP          
     2   3.92158E+003   4.36084E-002   0.00000E+000   1.05246E+000   1.12637E-008   4.87616E-003  -1.03626E-005
     3   3.84884E+003   7.21950E-002   0.00000E+000   8.39144E-001   1.25726E-008   5.25856E-003  -1.21776E-005
     4   3.66975E+003   8.14408E-002   0.00000E+000   1.25425E+000   1.38865E-008   5.44974E-003  -1.10980E-005
     5   3.46564E+003   7.29501E-002   0.00000E+000   2.20200E+000   1.51428E-008   5.53405E-003  -7.97374E-006
     6   3.26414E+003   5.64581E-002   0.00000E+000   3.49022E+000   1.63271E-008   5.55428E-003  -3.57155E-006
     7   3.07602E+003   4.17952E-002   0.00000E+000   4.87047E+000   1.74433E-008   5.53508E-003   1.36631E-006
     8   2.90500E+003   3.42344E-002   0.00000E+000   6.10960E+000   1.84959E-008   5.49135E-003   6.17371E-006
     9   2.75258E+003   3.37488E-002   0.00000E+000   7.03779E+000   1.94907E-008   5.43303E-003   1.03183E-005
    10   2.61770E+003   3.69942E-002   0.00000E+000   7.56795E+000   2.04287E-008   5.36541E-003   1.34392E-005
    11   2.49990E+003   4.00098E-002   0.00000E+000   7.69401E+000   2.13190E-008   5.29405E-003   1.53752E-005
    12   2.39683E+003   4.01845E-002   0.00000E+000   7.46676E+000   2.21555E-008   5.21950E-003   1.61344E-005
    13   2.30745E+003   3.69403E-002   0.00000E+000   6.97852E+000   2.29519E-008   5.14562E-003   1.58800E-005
    14   2.22923E+003   3.12471E-002   0.00000E+000   6.33185E+000   2.37016E-008   5.07134E-003   1.48577E-005
    15   2.16098E+003   2.47332E-002   0.00000E+000   5.62837E+000   2.44150E-008   4.99829E-003   1.33649E-005
    16   2.10118E+003   1.88463E-002   0.00000E+000   4.95208E+000   2.50911E-008   4.92612E-003   1.16879E-005
    17   2.04847E+003   1.44407E-002   0.00000E+000   4.36339E+000   2.57275E-008   4.85429E-003   1.00709E-005
    18   2.00148E+003   1.17516E-002   0.00000E+000   3.89650E+000   2.63334E-008   4.78380E-003   8.69549E-006
    19   1.96100E+003   1.06007E-002   0.00000E+000   3.56533E+000   2.69079E-008   4.71389E-003   7.66094E-006
    20   1.92473E+003   1.06212E-002   0.00000E+000   3.35777E+000   2.74498E-008   4.64463E-003   6.99303E-006
    21   1.89256E+003   1.14438E-002   0.00000E+000   3.25219E+000   2.79630E-008   4.57615E-003   6.65517E-006
    22   1.86418E+003   1.27596E-002   0.00000E+000   3.21924E+000   2.84504E-008   4.50876E-003   6.56737E-006
    23   1.83921E+003   1.43294E-002   0.00000E+000   3.22786E+000   2.89110E-008   4.44236E-003   6.62639E-006
    24   1.81736E+003   1.59743E-002   0.00000E+000   3.25090E+000   2.93466E-008   4.37706E-003   6.72847E-006
    25   1.79843E+003   1.75746E-002   0.00000E+000   3.26688E+000   2.97583E-008   4.31311E-003   6.78564E-006
    26   1.78213E+003   1.90780E-002   0.00000E+000   3.26296E+000   3.01483E-008   4.25051E-003   6.73706E-006
    27   1.76832E+003   2.05030E-002   0.00000E+000   3.23221E+000   3.05161E-008   4.18938E-003   6.55280E-006
    28   1.75668E+003   2.19287E-002   0.00000E+000   3.17619E+000   3.08640E-008   4.12958E-003   6.23408E-006
    29   1.74715E+003   2.34665E-002   0.00000E+000   3.09863E+000   3.11904E-008   4.07109E-003   5.80667E-006
    30   1.73941E+003   2.52304E-002   0.00000E+000   3.00831E+000   3.14995E-008   4.01386E-003   5.31375E-006
    31   1.73339E+003   2.73073E-002   0.00000E+000   2.91172E+000   3.17894E-008   3.95783E-003   4.80373E-006
    32   1.72888E+003   2.97476E-002   0.00000E+000   2.81723E+000   3.20630E-008   3.90287E-003   4.32250E-006
    33   1.72583E+003   3.25643E-002   0.00000E+000   2.72837E+000   3.23191E-008   3.84895E-003   3.90567E-006
    34   1.72401E+003   3.57457E-002   0.00000E+000   2.64829E+000   3.25600E-008   3.79595E-003   3.57521E-006
    35   1.72344E+003   3.92659E-002   0.00000E+000   2.57606E+000   3.27855E-008   3.74387E-003   3.33721E-006
    36   1.72398E+003   4.30955E-002   0.00000E+000   2.51002E+000   3.29961E-008   3.69262E-003   3.18309E-006
    37   1.72560E+003   4.72070E-002   0.00000E+000   2.44596E+000   3.31929E-008   3.64231E-003   3.09341E-006
    38   1.72824E+003   5.15774E-002   0.00000E+000   2.37958E+000   3.33762E-008   3.59287E-003   3.04206E-006
    39   1.73183E+003   5.61906E-002   0.00000E+000   2.30716E+000   3.35465E-008   3.54428E-003   3.00523E-006
    40   1.73620E+003   6.10383E-002   0.00000E+000   2.22506E+000   3.37043E-008   3.49658E-003   2.96016E-006
    41   1.74153E+003   6.61198E-002   0.00000E+000   2.12999E+000   3.38502E-008   3.44980E-003   2.88732E-006
    42   1.74763E+003   7.14462E-002   0.00000E+000   2.02092E+000   3.39846E-008   3.40391E-003   2.77999E-006
    43   1.75462E+003   7.70334E-002   0.00000E+000   1.89731E+000   3.41082E-008   3.35889E-003   2.63688E-006
    44   1.76218E+003   8.28914E-002   0.00000E+000   1.75938E+000   3.42211E-008   3.31469E-003   2.46575E-006
    45   1.77048E+003   8.90434E-002   0.00000E+000   1.60800E+000   3.43236E-008   3.27128E-003   2.27722E-006
    46   1.77950E+003   9.55122E-002   0.00000E+000   1.44426E+000   3.44162E-008   3.22864E-003   2.08441E-006
    47   1.78918E+003   1.02296E-001   0.00000E+000   1.26939E+000   3.44995E-008   3.18675E-003   1.90034E-006
    48   1.79942E+003   1.09402E-001   0.00000E+000   1.08386E+000   3.45738E-008   3.14556E-003   1.73518E-006
    49   1.81022E+003   1.16825E-001   0.00000E+000   8.88202E-001   3.46395E-008   3.10506E-003   1.59666E-006
    50   1.82171E+003   1.24580E-001   0.00000E+000   6.82368E-001   3.46967E-008   3.06522E-003   1.48561E-006
    51   1.83361E+003   1.32653E-001   0.00000E+000   4.66305E-001   3.47458E-008   3.02602E-003   1.40024E-006
    52   1.84624E+003   1.41017E-001   0.00000E+000   2.39314E-001   3.47870E-008   2.98745E-003   1.33512E-006
    53   1.85934E+003   1.49701E-001   0.00000E+000   4.89137E-004   3.48208E-008   2.94950E-003   1.28365E-006
    54   1.87279E+003   1.58676E-001   0.00000E+000  -2.50702E-001   3.48475E-008   2.91216E-003   1.23794E-006
    55   1.88674E+003   1.67951E-001   0.00000E+000  -5.14788E-001   3.48672E-008   2.87542E-003   1.19051E-006
    56   1.90125E+003   1.77525E-001   0.00000E+000  -7.92298E-001   3.48803E-008   2.83929E-003   1.13661E-006
    57   1.91616E+003   1.87389E-001   0.00000E+000  -1.08376E+000   3.48868E-008   2.80375E-003   1.07289E-006
    58   1.93155E+003   1.97554E-001   0.00000E+000  -1.38964E+000   3.48873E-008   2.76880E-003   9.98895E-007
    59   1.94737E+003   2.08023E-001   0.00000E+000  -1.70988E+000   3.48820E-008   2.73443E-003   9.16015E-007
    60   1.96365E+003   2.18761E-001   0.00000E+000  -2.04271E+000   3.48710E-008   2.70062E-003   8.30066E-007
    61   1.98069E+003   2.29779E-001   0.00000E+000  -2.38646E+000   3.48545E-008   2.66734E-003   7.46864E-007
    62   1.99786E+003   2.41075E-001   0.00000E+000  -2.74236E+000   3.48326E-008   2.63459E-003   6.67811E-007
    63   2.01536E+003   2.52642E-001   0.00000E+000  -3.11200E+000   3.48056E-008   2.60234E-003   5.93205E-007
