#           k/h    P           
   1.00000E-004   5.26729E+002
   1.02020E-004   5.36743E+002
   1.04081E-004   5.46941E+002
   1.06184E-004   5.57323E+002
   1.08329E-004   5.67894E+002
   1.10517E-004   5.78655E+002
   1.12750E-004   5.89610E+002
   1.15027E-004   6.00762E+002
   1.17351E-004   6.12113E+002
   1.19722E-004   6.23667E+002
   1.22140E-004   6.35426E+002
   1.24608E-004   6.47393E+002
   1.27125E-004   6.59570E+002
   1.29693E-004   6.71962E+002
   1.32313E-004   6.84571E+002
   1.34986E-004   6.97399E+002
   1.37713E-004   7.10449E+002
   1.40495E-004   7.23724E+002
   1.43333E-004   7.37227E+002
   1.46228E-004   7.50961E+002
   1.49182E-004   7.64927E+002
   1.52196E-004   7.79129E+002
   1.55271E-004   7.93570E+002
   1.58407E-004   8.08251E+002
   1.61607E-004   8.23175E+002
   1.64872E-004   8.38344E+002
   1.68203E-004   8.53761E+002
   1.71601E-004   8.69428E+002
   1.75067E-004   8.85346E+002
   1.78604E-004   9.01519E+002
   1.82212E-004   9.17946E+002
   1.85893E-004   9.34631E+002
   1.89648E-004   9.51575E+002
   1.93479E-004   9.68777E+002
   1.97388E-004   9.86242E+002
   2.01375E-004   1.00397E+003
   2.05443E-004   1.02196E+003
   2.09594E-004   1.04021E+003
   2.13828E-004   1.05873E+003
   2.18147E-004   1.07751E+003
   2.22554E-004   1.09655E+003
   2.27050E-004   1.11586E+003
   2.31637E-004   1.13543E+003
   2.36316E-004   1.15526E+003
   2.41090E-004   1.17536E+003
   2.45960E-004   1.19571E+003
   2.50929E-004   1.21632E+003
   2.55998E-004   1.23718E+003
   2.61170E-004   1.25830E+003
   2.66446E-004   1.27966E+003
   2.71828E-004   1.30127E+003
   2.77319E-004   1.32312E+003
   2.82922E-004   1.34521E+003
   2.88637E-004   1.36753E+003
   2.94468E-004   1.39007E+003
   3.00417E-004   1.41284E+003
   3.06485E-004   1.43582E+003
   3.12677E-004   1.45900E+003
   3.18993E-004   1.48239E+003
   3.25437E-004   1.50596E+003
   3.32012E-004   1.52972E+003
   3.38719E-004   1.55365E+003
   3.45561E-004   1.57774E+003
   3.52542E-004   1.60198E+003
   3.59664E-004   1.62636E+003
   3.66930E-004   1.65087E+003
   3.74342E-004   1.67549E+003
   3.81904E-004   1.70021E+003
   3.89619E-004   1.72502E+003
   3.97490E-004   1.74990E+003
   4.05520E-004   1.77484E+003
   4.13712E-004   1.79981E+003
